lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.627203333333334,117.22067999999999,455.0,492.0,2.533034634805467,93.72228148780228,37.0,0,,121.4996826655286,198.74421610324313,397.48843220648627,30.29463477656565
-31.62634814814815,117.21982222222222,492.0,525.0,1.5838168923274976,52.26595744680742,33.0,1,,116.76358141646776,170.34876059248495,340.6975211849699,32.190777331992585
-31.62579074074074,117.21876481481483,525.0,557.0,1.5916666666666681,50.93333333333338,32.0,2,,121.48370320798847,171.86428329475652,343.72856658951304,34.03603087395824
-31.625564814814815,117.21789074074074,557.0,589.0,1.4249999999999976,45.59999999999992,32.0,3,,121.73304860890097,172.21703487780056,344.4340697556011,34.090541708216286
-31.625274074074078,117.21660185185186,589.0,624.0,0.8281911675740966,28.986690865093383,35.0,4,,126.4177917714525,195.61127109211137,391.22254218422273,32.725267799051174
-31.624576388888883,117.21548888888888,624.0,651.0,1.2049549549549559,32.53378378378381,27.0,5,,131.11846977297512,156.5111444626069,313.0222889252138,40.826671293875705
-31.624203030303025,117.21402424242424,651.0,682.0,1.3910097504544396,43.12130226408763,31.0,6,,131.54270482713963,180.2793952023442,360.5587904046884,37.0506781357255
-31.623532051282048,117.21362307692306,682.0,717.0,0.5399532079546576,18.898362278413018,35.0,7,,127.45913632497347,197.2225848866708,394.4451697733416,32.93940120583179
-31.6224375,117.21215208333334,717.0,747.0,0.09702560839828674,2.910768251948602,30.0,8,,130.63554853224795,173.2607774369038,346.5215548738076,37.765897125450316
-31.621319444444442,117.21036111111113,747.0,792.0,0.12166458296124291,5.474906233255931,45.0,9,,137.45335305898917,273.4547572986702,546.9095145973404,28.521403195021893
-31.61956666666667,117.20651388888888,792.0,836.0,0.5515734265734088,24.26923076922999,44.0,10,,132.11982125446372,257.0030544041346,514.0061088082692,28.112217208720544
-31.64487777777778,117.23003333333332,1009.0,1041.0,2.2124999999999884,70.79999999999963,32.0,11,,122.92443014736504,173.9024949751782,347.8049899503564,34.35002934865486
-31.644325000000002,117.22957291666665,1041.0,1069.0,2.913690476190483,81.58333333333353,28.0,12,,128.14740190952526,158.6300524533257,317.2601049066514,39.15435658690511
-31.64422037037037,117.22806481481481,1069.0,1101.0,1.5833333333333006,50.66666666666562,32.0,13,,124.82144372424726,176.58622020071812,353.17244040143623,34.759913437864554
-31.643366666666665,117.22769583333334,1101.0,1129.0,1.875000000000026,52.500000000000725,28.0,14,,125.92090690102822,155.87393711487888,311.74787422975777,38.66355280779512
-31.643589583333334,117.22648541666666,1129.0,1157.0,1.61607142857145,45.2500000000006,28.0,15,,123.01563691112122,152.27758538224367,304.55517076448734,38.012853763325154
-31.64404074074074,117.2251574074074,1157.0,1191.0,-0.2824533545057216,-9.603414053194536,34.0,16,,123.42569886656536,185.52487297008642,371.04974594017284,32.85659868662647
-31.64380833333333,117.2239,1191.0,1229.0,0.4865415700330536,18.488579661256036,38.0,17,,121.72239429746217,204.4898300061194,408.9796600122388,29.67862210028507
-31.64297962962963,117.22251666666665,1229.0,1261.0,-0.3958333333333411,-12.666666666666915,32.0,18,,129.36515564078687,183.0142576362988,366.0285152725976,35.72531546558828
