thermal_id,lat,lon,n_matches,alt_gain_m_sum,climb_rate_ms_mean,t_start,t_end,duration_s,circle_cluster_ids,alt_cluster_ids
0,-32.87277597776452,117.12741299081127,3,651.0,2.6102469135802466,,,,"3,6,8","2,5,10"
1,-32.43520615758277,117.00157293183571,2,313.0,3.5199579831932777,,,,"9,10","16,20"
2,-32.13877659722222,116.9494525462963,1,128.0,4.0,,,,11,24
3,-32.152298842592586,117.19437233796296,1,226.0,3.323529411764706,,,,12,27
4,-32.1557542680776,117.61619154761904,1,140.0,2.6923076923076925,,,,14,33
5,-32.20399401585297,118.19971804328001,2,462.0,3.056034482758621,,,,"16,17","39,43"
6,-32.457901902284966,117.933010460319,3,725.0,2.65754664438875,,,,"18,19,20","50,51,54"
7,-32.76269189814815,117.35245028356482,1,171.0,2.25,,,,21,59
