lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-31.65083566071429,117.21524171428572,1.6,32.0,20.0,0,2,-31.65043798809524,117.21586676190478,-31.651233333333337,117.21461666666666,147.72661665573256,20.0,1.0
-31.646256523569022,117.2204550084175,1.8,36.0,20.0,1,5,-31.648090824915826,117.21960446127946,-31.644422222222218,117.22130555555556,438.5624403280539,20.0,1.0
-31.64673608134921,117.2199727579365,1.6666666666666667,40.0,24.0,2,13,-31.646267400793654,117.22305265873015,-31.647204761904764,117.21689285714285,592.3311401123425,24.0,1.0
-31.644211653693528,117.22511109737482,2.3333333333333335,84.0,36.0,3,15,-31.642396640720392,117.22613219474968,-31.646026666666664,117.22408999999998,447.54742400176804,36.0,1.0
-31.58423159722222,117.23880983796295,3.227272727272727,142.0,44.0,4,17,-31.584160416666666,117.23891689814815,-31.58430277777778,117.23870277777776,25.728514787059417,44.0,1.0
-31.58335877525252,117.24215274621213,2.225,89.0,40.0,5,18,-31.583356944444443,117.24278125000001,-31.5833606060606,117.24152424242425,119.07044134161929,36.0,0.9
-31.669164319816467,117.24458235057044,3.4583333333333335,83.0,24.0,6,19,-31.668754830109126,117.24551708209326,-31.669573809523804,117.24364761904762,198.98295210894926,24.0,1.0
-31.6050297718254,117.18129614583334,2.25,135.0,60.0,8,21,-31.60443246031746,117.18157041666669,-31.605627083333335,117.181021875,142.63271762297506,56.0,0.9333333333333333
-31.62135228587963,117.12428808490411,1.9375,62.0,32.0,9,24,-31.62063420138889,117.1246076512897,-31.62207037037037,117.12396851851852,170.77698044183632,32.0,1.0
-31.63345375,117.1496680357143,1.9078947368421053,145.0,76.0,10,27,-31.633478333333336,117.14948523809524,-31.633429166666666,117.14985083333336,35.04140367904222,76.0,1.0
-31.73186369047619,117.1476521577381,2.216666666666667,133.0,60.0,11,30,-31.73223779761905,117.14784702380952,-31.73148958333333,117.14745729166667,90.9967137223516,52.0,0.8666666666666667
-31.845878273809525,117.15768072089948,2.7,54.0,20.0,12,32,-31.845234325396827,117.15783644179895,-31.846522222222223,117.157525,146.19808677706507,20.0,1.0
-31.890206549157128,117.15078631875232,3.6547619047619047,614.0,168.0,13,35,-31.890141005291003,117.15082341269841,-31.890272093023256,117.15074922480622,16.171813059909642,132.0,1.0
-32.27273538961039,116.941636882215,3.840909090909091,169.0,44.0,14,41,-32.270659668109666,116.94262098665223,-32.27481111111111,116.94065277777777,497.32776589932485,44.0,1.0
-32.42754135338346,116.88980332080199,4.133928571428571,926.0,224.0,15,44,-32.42673095238095,116.89053412698411,-32.428351754385965,116.88907251461987,226.49494945289936,140.0,0.9722222222222222
-32.513129241071425,117.21244742063492,2.95,59.0,20.0,16,48,-32.51278348214285,117.21268928571428,-32.51347499999999,117.21220555555556,89.27455655637412,16.0,0.8
-32.4998314484127,117.41135074404761,2.9642857142857144,83.0,28.0,17,51,-32.50000873015873,117.41122857142857,-32.499654166666666,117.41147291666667,45.60135225156659,28.0,1.0
-32.49481586538461,117.41064961080586,2.96,296.0,100.0,18,53,-32.495104166666664,117.41040178571427,-32.49452756410256,117.41089743589745,79.19379957614429,80.0,0.8333333333333334
-32.48595665922619,117.60798179315478,3.3026315789473686,251.0,76.0,19,57,-32.486429985119045,117.60761941964287,-32.485483333333335,117.60834416666667,125.30492917056617,68.0,0.8947368421052632
-32.474507875457874,118.0998145909646,2.988888888888889,1076.0,360.0,20,66,-32.47535,118.09982460317461,-32.47366575091575,118.09980457875457,187.28963231183207,72.0,1.0
-32.193726252480154,117.91076586474867,3.346774193548387,415.0,124.0,21,70,-32.19369365079365,117.91088068783068,-32.19375885416666,117.91065104166667,22.79333664718842,68.0,1.0
-31.97341733211233,117.70258367445055,3.03125,776.0,256.0,23,73,-31.97422825396825,117.7025986309524,-31.97260641025641,117.70256871794872,180.36311320730252,116.0,1.0
-31.970627907509158,117.70292066849817,3.03125,776.0,256.0,24,73,-31.968649404761905,117.70327261904762,-31.97260641025641,117.70256871794872,444.9812669928099,96.0,1.0
