cluster_id,n,start_time,end_time,total_gain_m,total_duration_s,mean_mps,center_lat,center_lon
1,1,2020-11-08 03:03:14,2020-11-08 03:04:59,170.66666666666663,105.0,1.625396825396825,-31.796866666666666,117.27459999999999
2,1,2020-11-08 03:05:38,2020-11-08 03:13:50,998.6666666666666,492.0,2.029810298102981,-31.809583333333332,117.29488333333333
3,1,2020-11-08 03:18:44,2020-11-08 03:21:41,431.66666666666674,177.0,2.4387947269303205,-31.96105,117.34543333333332
4,1,2020-11-08 03:39:59,2020-11-08 03:43:14,442.0,195.0,2.2666666666666666,-32.42066666666667,117.28816666666667
5,1,2020-11-08 03:48:02,2020-11-08 03:49:47,250.33333333333326,105.0,2.384126984126983,-32.5419,117.29161666666667
6,1,2020-11-08 03:50:14,2020-11-08 03:54:38,656.3333333333333,264.0,2.4861111111111107,-32.56316666666667,117.29941666666667
7,1,2020-11-08 04:09:53,2020-11-08 04:12:26,563.0,153.0,3.679738562091503,-32.93456666666667,117.27265000000001
8,1,2020-11-08 04:17:14,2020-11-08 04:18:26,170.33333333333326,72.0,2.3657407407407396,-33.069833333333335,117.26365
9,1,2020-11-08 04:21:05,2020-11-08 04:24:20,722.0000000000002,195.0,3.7025641025641036,-33.13896666666667,117.27215
10,1,2020-11-08 04:36:41,2020-11-08 04:40:32,601.0000000000002,231.0,2.601731601731603,-33.48928333333333,117.41825
11,1,2020-11-08 04:47:20,2020-11-08 04:49:23,308.0000000000002,123.0,2.504065040650408,-33.481833333333334,117.53078333333333
12,1,2020-11-08 04:54:26,2020-11-08 04:56:41,482.0000000000002,135.0,3.570370370370372,-33.3742,117.53383333333333
13,1,2020-11-08 05:02:02,2020-11-08 05:03:14,278.6666666666665,72.0,3.8703703703703685,-33.240716666666664,117.64881666666665
14,1,2020-11-08 05:08:11,2020-11-08 05:12:53,878.3333333333333,282.0,3.114657210401891,-33.138783333333336,117.79491666666668
15,1,2020-11-08 05:22:20,2020-11-08 05:25:50,708.3333333333335,210.0,3.373015873015874,-32.937533333333334,117.85025
16,1,2020-11-08 05:26:20,2020-11-08 05:29:47,767.333333333333,207.0,3.7069243156199665,-32.929966666666665,117.87820000000002
17,1,2020-11-08 05:52:20,2020-11-08 05:53:23,228.0,63.0,3.619047619047619,-32.4596,118.27551666666665
18,1,2020-11-08 05:54:32,2020-11-08 05:56:23,326.33333333333326,111.0,2.939939939939939,-32.45381666666667,118.30916666666667
19,1,2020-11-08 05:58:08,2020-11-08 06:01:32,625.3333333333333,204.0,3.0653594771241828,-32.441716666666665,118.3325
20,1,2020-11-08 06:05:47,2020-11-08 06:07:47,356.0,120.0,2.966666666666667,-32.36391666666667,118.34265
21,1,2020-11-08 06:09:29,2020-11-08 06:12:53,727.3333333333335,204.0,3.5653594771241837,-32.30591666666667,118.41316666666668
22,1,2020-11-08 06:17:53,2020-11-08 06:19:17,245.66666666666697,84.0,2.9246031746031784,-32.163,118.553
23,1,2020-11-08 06:20:50,2020-11-08 06:24:38,769.0000000000002,228.0,3.3728070175438605,-32.10265,118.59908333333334
24,1,2020-11-08 06:36:50,2020-11-08 06:37:50,179.33333333333303,60.0,2.988888888888884,-31.79763333333333,118.80358333333335
25,1,2020-11-08 06:43:59,2020-11-08 06:45:08,234.66666666666652,69.0,3.400966183574877,-31.68745,118.94453333333334
26,1,2020-11-08 06:46:26,2020-11-08 06:51:44,851.0,318.0,2.6761006289308176,-31.68271666666667,119.01103333333333
27,1,2020-11-08 06:58:08,2020-11-08 06:59:20,145.0,72.0,2.013888888888889,-31.56,119.04919999999998
28,1,2020-11-08 07:16:02,2020-11-08 07:21:35,741.0000000000002,333.0,2.225225225225226,-31.250616666666666,119.38828333333332
29,1,2020-11-08 07:21:47,2020-11-08 07:24:47,244.66666666666697,180.0,1.359259259259261,-31.2569,119.40011666666666
30,1,2020-11-08 07:35:44,2020-11-08 07:40:38,632.6666666666665,294.0,2.151927437641723,-31.27953333333333,119.21976666666667
31,1,2020-11-08 07:52:20,2020-11-08 07:58:47,960.0,387.0,2.4806201550387597,-31.30955,118.96715
32,1,2020-11-08 08:09:08,2020-11-08 08:13:41,701.0,273.0,2.567765567765568,-31.363033333333334,118.6971
33,2,2020-11-08 08:36:32,2020-11-08 08:45:02,735.3333333333333,432.0,1.7021604938271604,-31.507537753097612,118.09850536415836
34,1,2020-11-08 08:48:20,2020-11-08 08:50:26,223.66666666666652,126.0,1.775132275132274,-31.516583333333333,118.11391666666667
35,1,2020-11-08 08:50:38,2020-11-08 08:51:56,120.0,78.0,1.5384615384615385,-31.520633333333333,118.12351666666667
