cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,9,2020-11-08 03:04:05,2020-11-08 03:13:11,79.25078558846059,-31.806655555555558,117.29003703703704
2,3,2020-11-08 03:20:02,2020-11-08 03:21:47,52.27118290530038,-31.962511111111105,117.34881666666665
3,1,2020-11-08 03:28:05,2020-11-08 03:28:20,79.84308575951971,-32.14026666666667,117.32205
4,1,2020-11-08 03:41:11,2020-11-08 03:42:17,98.3271898951047,-32.41955,117.29045
5,1,2020-11-08 03:48:23,2020-11-08 03:48:41,55.59634167542306,-32.54215,117.28956666666669
6,4,2020-11-08 03:50:56,2020-11-08 03:53:29,83.37556126998862,-32.561391666666665,117.299375
7,1,2020-11-08 04:08:14,2020-11-08 04:09:08,99.89874891102905,-32.90623333333333,117.27556666666666
8,3,2020-11-08 04:10:59,2020-11-08 04:12:17,42.742889303384025,-32.936361111111104,117.27562222222221
9,2,2020-11-08 04:17:11,2020-11-08 04:17:47,71.34531587441984,-33.07106666666667,117.26208333333334
10,4,2020-11-08 04:21:50,2020-11-08 04:24:29,65.32963461359137,-33.1392125,117.27253333333333
11,4,2020-11-08 04:37:11,2020-11-08 04:39:44,82.96981492179484,-33.48680416666667,117.41727083333335
12,3,2020-11-08 04:48:44,2020-11-08 04:49:56,61.18228096724683,-33.48201111111111,117.53569444444443
13,1,2020-11-08 04:53:08,2020-11-08 04:53:35,194.04366393273432,-33.40128333333333,117.53201666666666
14,5,2020-11-08 04:53:35,2020-11-08 04:56:26,138.42563684475394,-33.37821666666667,117.53102666666666
15,1,2020-11-08 05:03:11,2020-11-08 05:03:29,125.92475620567218,-33.2406,117.64948333333334
16,8,2020-11-08 05:08:53,2020-11-08 05:13:23,71.57425804589724,-33.14155625,117.79892708333335
17,2,2020-11-08 05:23:14,2020-11-08 05:24:53,73.4101798966031,-32.935525000000005,117.84875
18,3,2020-11-08 05:26:50,2020-11-08 05:28:35,87.36556331103206,-32.92735555555555,117.87775555555554
19,1,2020-11-08 05:55:08,2020-11-08 05:55:38,43.81294620916592,-32.4539,118.31016666666666
20,1,2020-11-08 05:58:47,2020-11-08 05:59:56,136.48398274658308,-32.44226666666667,118.32788333333333
21,1,2020-11-08 06:01:41,2020-11-08 06:02:35,226.9523075400527,-32.444266666666664,118.3449
22,3,2020-11-08 06:05:29,2020-11-08 06:07:11,130.83983767181314,-32.36393888888888,118.34118888888888
23,1,2020-11-08 06:11:17,2020-11-08 06:11:59,49.82073596355491,-32.30615,118.415
24,4,2020-11-08 06:21:53,2020-11-08 06:24:47,62.06258927136382,-32.100966666666665,118.59722083333332
25,1,2020-11-08 06:34:35,2020-11-08 06:35:11,373.32968198915916,-31.864266666666666,118.77591666666667
26,5,2020-11-08 06:47:32,2020-11-08 06:51:29,93.22943498365757,-31.68527,119.01732333333334
27,2,2020-11-08 06:57:17,2020-11-08 06:59:02,177.21942089297718,-31.565175,119.04711666666667
28,1,2020-11-08 07:11:59,2020-11-08 07:12:14,125.4865466767269,-31.3099,119.32416666666668
29,7,2020-11-08 07:16:50,2020-11-08 07:24:41,68.0182838060206,-31.25168333333334,119.39332142857144
30,1,2020-11-08 07:31:38,2020-11-08 07:32:17,125.50480358005109,-31.271116666666668,119.32011666666668
31,5,2020-11-08 07:37:02,2020-11-08 07:40:23,85.82572134786633,-31.280013333333336,119.22483666666668
32,11,2020-11-08 07:49:59,2020-11-08 07:58:38,75.90754178088746,-31.309521212121208,118.96800454545453
33,4,2020-11-08 08:10:17,2020-11-08 08:13:20,73.31006688989994,-31.366795833333335,118.69902500000002
34,15,2020-11-08 08:37:47,2020-11-08 08:52:35,85.02189554810661,-31.512836666666658,118.11100555555554
35,1,2020-11-08 09:37:45,2020-11-08 09:38:57,413.4654068904918,-31.624183333333335,117.22788333333334
