cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,1,2020-11-08 03:20:02,2020-11-08 03:20:23,70.56403629282627,-31.96105,117.34543333333335
2,1,2020-11-08 03:48:23,2020-11-08 03:48:41,55.59634167542306,-32.54215,117.28956666666669
3,1,2020-11-08 03:50:56,2020-11-08 03:51:14,62.68305752702741,-32.55891666666667,117.29593333333334
4,2,2020-11-08 04:17:11,2020-11-08 04:17:47,71.34531587441984,-33.07106666666667,117.26208333333334
5,1,2020-11-08 04:48:44,2020-11-08 04:49:08,79.07764143607577,-33.48031666666667,117.53641666666667
6,1,2020-11-08 04:53:08,2020-11-08 04:53:35,194.04366393273432,-33.40128333333333,117.53201666666666
7,3,2020-11-08 04:53:35,2020-11-08 04:54:59,180.88306527210202,-33.380066666666664,117.52874444444443
8,1,2020-11-08 05:03:11,2020-11-08 05:03:29,125.92475620567218,-33.2406,117.64948333333334
9,3,2020-11-08 05:09:23,2020-11-08 05:13:23,102.83937302383775,-33.14158333333333,117.79989444444445
10,2,2020-11-08 05:23:14,2020-11-08 05:24:53,73.4101798966031,-32.935525000000005,117.84875
11,3,2020-11-08 05:26:50,2020-11-08 05:28:35,87.36556331103206,-32.92735555555555,117.87775555555554
12,3,2020-11-08 06:05:29,2020-11-08 06:07:11,130.83983767181314,-32.36393888888888,118.34118888888888
13,1,2020-11-08 06:24:02,2020-11-08 06:24:47,55.711971249753574,-32.10208333333333,118.59321666666666
14,1,2020-11-08 06:34:35,2020-11-08 06:35:11,373.32968198915916,-31.864266666666666,118.77591666666667
15,1,2020-11-08 06:58:17,2020-11-08 06:59:02,140.84062657104408,-31.561933333333332,119.04903333333333
16,4,2020-11-08 07:16:50,2020-11-08 07:24:41,80.9408775794046,-31.252137499999996,119.39354166666668
17,1,2020-11-08 07:31:38,2020-11-08 07:32:17,125.50480358005109,-31.271116666666668,119.32011666666668
18,3,2020-11-08 07:37:02,2020-11-08 07:40:23,103.5168588537947,-31.279355555555558,119.22316111111108
19,6,2020-11-08 07:49:59,2020-11-08 07:58:38,90.69220117164934,-31.309569444444445,118.96761388888889
20,3,2020-11-08 08:10:17,2020-11-08 08:13:20,73.17358917918237,-31.366311111111106,118.69882777777778
21,10,2020-11-08 08:37:47,2020-11-08 08:52:35,93.88361792449625,-31.512935000000002,118.11119500000001
