cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,7,1970-01-01 02:43:43,1970-01-01 09:40:25,318.3442308324371,-31.62095822133562,117.22635415316878
2,1,1970-01-01 02:45:07,1970-01-01 02:50:19,234.23559861220298,-31.65355,117.19258333333333
3,3,1970-01-01 02:55:29,1970-01-01 02:57:23,75.50883526605449,-31.672399999999996,117.22539444444443
4,1,1970-01-01 02:57:23,1970-01-01 03:01:26,1917.33206569617,-31.72366666666667,117.23253333333334
5,1,1970-01-01 03:01:26,1970-01-01 03:03:35,862.2660411405842,-31.776566666666668,117.25866666666668
6,18,1970-01-01 03:03:35,1970-01-01 03:13:26,55.63409467205392,-31.80765406929571,117.29058338645126
7,1,1970-01-01 03:13:26,1970-01-01 03:16:41,1930.3947241379549,-31.85456666666667,117.3218
8,1,1970-01-01 03:16:41,1970-01-01 03:19:05,1071.555809858811,-31.938866666666666,117.33278333333334
9,4,1970-01-01 03:19:05,1970-01-01 03:21:32,83.5490750964903,-31.96044583333333,117.34687916666667
10,1,1970-01-01 03:21:32,1970-01-01 03:28:05,3793.2083158528667,-32.05676666666667,117.34871666666666
11,1,1970-01-01 03:28:05,1970-01-01 03:28:14,49.51158036470617,-32.141016666666665,117.32243333333334
12,1,1970-01-01 03:28:14,1970-01-01 03:35:32,4133.613485630063,-32.23148333333334,117.29948333333333
13,1,1970-01-01 03:35:32,1970-01-01 03:37:29,673.5629150043225,-32.346333333333334,117.29121666666667
14,1,1970-01-01 03:37:29,1970-01-01 03:40:20,1190.0103496849395,-32.38433333333333,117.2907
15,5,1970-01-01 03:40:20,1970-01-01 03:43:05,60.150003947278186,-32.42071,117.28929333333335
16,1,1970-01-01 03:43:05,1970-01-01 03:46:29,1621.9090450015376,-32.454316666666664,117.29018333333333
17,1,1970-01-01 03:46:29,1970-01-01 03:48:38,908.6571042034655,-32.527366666666666,117.28821666666668
18,8,1970-01-01 03:48:38,1970-01-01 03:53:44,95.21630962396765,-32.55730208333333,117.2977375
19,1,1970-01-01 03:53:44,1970-01-01 04:03:17,4931.530989220658,-32.675066666666666,117.28198333333333
20,1,1970-01-01 04:03:17,1970-01-01 04:08:11,2322.2703874275862,-32.86643333333333,117.30178333333335
21,2,1970-01-01 04:08:11,1970-01-01 04:10:20,334.47846799183367,-32.90655833333333,117.27156666666666
22,2,1970-01-01 04:10:20,1970-01-01 04:12:02,87.74153482741598,-32.934925,117.27328333333332
23,1,1970-01-01 04:12:02,1970-01-01 04:17:11,2865.0528846246766,-33.00245,117.2779
24,2,1970-01-01 04:17:11,1970-01-01 04:18:20,62.33975041466316,-33.0711,117.261825
25,1,1970-01-01 04:18:20,1970-01-01 04:21:14,1387.5807940600462,-33.110166666666665,117.26061666666666
26,7,1970-01-01 04:21:14,1970-01-01 04:25:08,55.19255389166707,-33.13940787217865,117.2722505986437
27,1,1970-01-01 04:25:08,1970-01-01 04:37:11,7557.177646069516,-33.3168,117.34615
28,3,1970-01-01 04:37:11,1970-01-01 04:40:05,136.44184306424765,-33.48690555555555,117.41786666666665
29,1,1970-01-01 04:40:05,1970-01-01 04:48:29,1953.42824304548,-33.56066666666667,117.44631666666666
30,4,1970-01-01 04:48:29,1970-01-01 04:49:59,58.534979720605364,-33.48234583333333,117.53391666666667
31,1,1970-01-01 04:49:59,1970-01-01 04:53:08,1556.2938343210324,-33.44871666666667,117.5388
32,1,1970-01-01 04:53:08,1970-01-01 04:53:35,194.04366393273432,-33.40128333333333,117.53201666666666
33,4,1970-01-01 04:53:35,1970-01-01 04:56:26,161.78142300571503,-33.37869583333333,117.53162916666668
34,1,1970-01-01 04:56:26,1970-01-01 04:59:11,1521.4866319329242,-33.3478,117.5477
35,1,1970-01-01 04:59:11,1970-01-01 05:03:08,2017.289236465815,-33.26251666666667,117.6109
36,1,1970-01-01 05:03:08,1970-01-01 05:03:20,50.760145675350095,-33.24211666666667,117.64835
37,1,1970-01-01 05:03:20,1970-01-01 05:08:53,3291.705338979407,-33.17276666666667,117.70935000000001
38,9,1970-01-01 05:08:53,1970-01-01 05:13:20,72.74298575503798,-33.14078148148148,117.79889814814815
39,1,1970-01-01 05:13:20,1970-01-01 05:20:29,3801.1670709346936,-33.06438333333333,117.84210000000002
40,1,1970-01-01 05:20:29,1970-01-01 05:22:56,896.2543569951251,-32.950316666666666,117.86316666666667
41,5,1970-01-01 05:22:56,1970-01-01 05:26:35,151.73023428734786,-32.93643333333333,117.85114999999999
42,6,1970-01-01 05:26:35,1970-01-01 05:30:44,182.5694647104668,-32.928155555555556,117.88138055555557
43,1,1970-01-01 05:30:44,1970-01-01 05:38:56,5455.032865399762,-32.80238333333333,118.01236666666668
44,1,1970-01-01 05:38:56,1970-01-01 05:43:11,2297.977169388885,-32.6484,118.12893333333335
