cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,1,2020-11-08 02:57:29,2020-11-08 03:00:59,1798.2813613595574,-31.719616666666667,117.23205
2,1,2020-11-08 03:00:59,2020-11-08 03:03:53,1068.0530224463103,-31.775450000000003,117.25785000000002
3,14,2020-11-08 03:03:53,2020-11-08 03:13:26,69.18682602530382,-31.807065476190463,117.29021904761902
4,1,2020-11-08 03:13:26,2020-11-08 03:20:02,3077.8859888065876,-31.907533333333333,117.32991666666666
5,3,2020-11-08 03:20:02,2020-11-08 03:21:47,52.27118290530038,-31.962511111111105,117.34881666666665
6,1,2020-11-08 03:21:47,2020-11-08 03:28:05,3813.9558116872745,-32.06138333333333,117.34818333333334
7,1,2020-11-08 03:28:05,2020-11-08 03:28:20,79.84308575951971,-32.14026666666667,117.32205
8,1,2020-11-08 03:28:20,2020-11-08 03:36:29,4438.451599521947,-32.2445,117.29733333333333
9,1,2020-11-08 03:36:29,2020-11-08 03:41:11,1574.4942454319464,-32.382933333333334,117.29088333333333
10,2,2020-11-08 03:41:11,2020-11-08 03:42:29,71.12154539494578,-32.420775,117.29042500000001
11,1,2020-11-08 03:42:29,2020-11-08 03:48:23,2538.1988323577075,-32.47313333333334,117.28575
12,8,2020-11-08 03:48:23,2020-11-08 03:54:59,130.2812668742459,-32.55571666666667,117.29788958333333
13,1,2020-11-08 03:54:59,2020-11-08 04:08:14,6904.495287120266,-32.7537,117.30265
14,1,2020-11-08 04:08:14,2020-11-08 04:09:08,99.89874891102905,-32.90623333333333,117.27556666666666
15,4,2020-11-08 04:09:08,2020-11-08 04:12:17,204.03886388392445,-32.93476666666666,117.27370416666666
16,1,2020-11-08 04:12:17,2020-11-08 04:17:11,2892.9045805909604,-33.00655,117.2774
17,2,2020-11-08 04:17:11,2020-11-08 04:17:47,71.34531587441984,-33.07106666666667,117.26208333333334
18,1,2020-11-08 04:17:47,2020-11-08 04:21:50,1422.2855465787566,-33.110166666666665,117.26061666666666
19,4,2020-11-08 04:21:50,2020-11-08 04:24:29,65.32963461359137,-33.1392125,117.27253333333333
20,1,2020-11-08 04:24:29,2020-11-08 04:36:53,7689.064734282071,-33.30576666666666,117.34315
21,5,2020-11-08 04:36:53,2020-11-08 04:39:44,70.54071075983674,-33.48631,117.41588333333335
22,1,2020-11-08 04:39:44,2020-11-08 04:48:44,1891.5844311820306,-33.5611,117.44608333333333
23,4,2020-11-08 04:48:44,2020-11-08 04:51:50,252.65779610480507,-33.4787375,117.5354625
24,1,2020-11-08 04:51:50,2020-11-08 04:53:08,767.222907453976,-33.422583333333336,117.53575
25,1,2020-11-08 04:53:08,2020-11-08 04:53:35,194.04366393273432,-33.40128333333333,117.53201666666666
26,5,2020-11-08 04:53:35,2020-11-08 04:56:26,138.42563684475394,-33.37821666666667,117.53102666666666
27,1,2020-11-08 04:56:26,2020-11-08 04:59:59,2052.8070317063866,-33.33801666666667,117.55238333333334
28,1,2020-11-08 04:59:59,2020-11-08 05:03:11,1460.5728000111205,-33.25241666666667,117.62316666666666
29,1,2020-11-08 05:03:11,2020-11-08 05:03:29,125.92475620567218,-33.2406,117.64948333333334
30,1,2020-11-08 05:03:29,2020-11-08 05:08:53,3211.4179861026087,-33.171,117.71125
