cluster_id,n,start_time,end_time,mean_radius_m,center_lat,center_lon
1,1,2020-11-08 03:28:14,2020-11-08 04:17:20,19363.755100419014,-32.56455,117.30121666666666
2,1,2020-11-08 04:17:44,2020-11-08 04:52:59,8599.08902042505,-33.451366666666665,117.40220000000001
3,1,2020-11-08 04:53:02,2020-11-08 04:54:23,542.2424580034842,-33.394016666666666,117.53123333333335
4,1,2020-11-08 04:54:26,2020-11-08 05:20:11,9346.795493833068,-33.151383333333335,117.7414
5,1,2020-11-08 05:20:14,2020-11-08 05:25:41,808.1231398552742,-32.935316666666665,117.84761666666668
6,1,2020-11-08 05:25:44,2020-11-08 05:38:59,6465.905386109246,-32.8742,117.95648333333334
7,1,2020-11-08 05:39:08,2020-11-08 05:40:56,1055.1882728398532,-32.67811666666667,118.11936666666668
8,1,2020-11-08 05:40:59,2020-11-08 05:43:11,1007.3607869995706,-32.62936666666667,118.11943333333333
9,1,2020-11-08 05:43:14,2020-11-08 05:58:02,4788.777844440238,-32.500233333333334,118.24843333333334
10,1,2020-11-08 05:58:05,2020-11-08 05:58:38,74.51139892588834,-32.43775,118.32271666666666
11,1,2020-11-08 06:00:11,2020-11-08 06:05:56,1706.6108985015926,-32.42386666666667,118.33883333333333
12,1,2020-11-08 06:06:05,2020-11-08 06:35:11,13300.722678501103,-32.11665,118.59388333333335
13,1,2020-11-08 06:35:14,2020-11-08 06:35:44,268.69639753931745,-31.846333333333334,118.77501666666667
14,1,2020-11-08 06:35:47,2020-11-08 06:37:41,1102.1967488283804,-31.810166666666667,118.7879
15,1,2020-11-08 06:38:35,2020-11-08 06:41:41,1919.4711599629206,-31.768183333333333,118.84576666666668
16,1,2020-11-08 06:41:44,2020-11-08 06:54:53,3595.996598518312,-31.680150000000005,119.00738333333334
17,1,2020-11-08 06:54:56,2020-11-08 06:58:17,1062.950692644986,-31.57495,119.04526666666666
18,1,2020-11-08 06:58:20,2020-11-08 07:12:05,7027.255737609566,-31.427750000000003,119.19620000000002
19,1,2020-11-08 07:12:08,2020-11-08 07:12:20,99.14374917596301,-31.306366666666666,119.32326666666668
20,1,2020-11-08 07:12:23,2020-11-08 07:26:45,2413.3393022569076,-31.2493,119.389
21,1,2020-11-08 07:26:46,2020-11-08 07:36:47,4262.0618302633275,-31.270566666666667,119.31805
22,1,2020-11-08 08:52:14,2020-11-08 09:40:29,15697.52974515014,-31.59181666666667,117.4883
