cluster_id,n,start_time,end_time,total_gain_m,total_duration_s,mean_mps,center_lat,center_lon
1,2,2020-11-08 03:03:14,2020-11-08 03:13:50,1169.3333333333333,597.0,1.958682300390843,-31.80772730900798,117.29192293804638
2,1,2020-11-08 03:18:44,2020-11-08 03:21:41,431.66666666666674,177.0,2.4387947269303205,-31.96105,117.34543333333332
3,1,2020-11-08 03:39:59,2020-11-08 03:43:14,442.0,195.0,2.2666666666666666,-32.42066666666667,117.28816666666667
4,2,2020-11-08 03:48:02,2020-11-08 03:54:38,906.6666666666665,369.0,2.457091237579042,-32.55729487745098,117.29726306372548
5,1,2020-11-08 04:09:53,2020-11-08 04:12:26,563.0,153.0,3.679738562091503,-32.93456666666667,117.27265000000001
6,1,2020-11-08 04:17:14,2020-11-08 04:18:26,170.33333333333326,72.0,2.3657407407407396,-33.069833333333335,117.26365
7,1,2020-11-08 04:21:05,2020-11-08 04:24:20,722.0000000000002,195.0,3.7025641025641036,-33.13896666666667,117.27215
8,1,2020-11-08 04:36:41,2020-11-08 04:40:32,601.0000000000002,231.0,2.601731601731603,-33.48928333333333,117.41825
9,1,2020-11-08 04:47:20,2020-11-08 04:49:23,308.0000000000002,123.0,2.504065040650408,-33.481833333333334,117.53078333333333
10,1,2020-11-08 04:54:26,2020-11-08 04:56:41,482.0000000000002,135.0,3.570370370370372,-33.3742,117.53383333333333
11,1,2020-11-08 05:02:02,2020-11-08 05:03:14,278.6666666666665,72.0,3.8703703703703685,-33.240716666666664,117.64881666666665
12,1,2020-11-08 05:08:11,2020-11-08 05:12:53,878.3333333333333,282.0,3.114657210401891,-33.138783333333336,117.79491666666668
13,2,2020-11-08 05:22:20,2020-11-08 05:29:47,1475.6666666666665,417.0,3.5387689848121497,-32.93359873503501,117.86478374745877
14,1,2020-11-08 05:52:20,2020-11-08 05:53:23,228.0,63.0,3.619047619047619,-32.4596,118.27551666666665
15,2,2020-11-08 05:54:32,2020-11-08 06:01:32,951.6666666666665,315.0,3.0211640211640205,-32.44586584354933,118.32449883245768
16,1,2020-11-08 06:05:47,2020-11-08 06:07:47,356.0,120.0,2.966666666666667,-32.36391666666667,118.34265
17,1,2020-11-08 06:09:29,2020-11-08 06:12:53,727.3333333333335,204.0,3.5653594771241837,-32.30591666666667,118.41316666666668
18,1,2020-11-08 06:17:53,2020-11-08 06:19:17,245.66666666666697,84.0,2.9246031746031784,-32.163,118.553
19,1,2020-11-08 06:20:50,2020-11-08 06:24:38,769.0000000000002,228.0,3.3728070175438605,-32.10265,118.59908333333334
20,1,2020-11-08 06:36:50,2020-11-08 06:37:50,179.33333333333303,60.0,2.988888888888884,-31.79763333333333,118.80358333333335
21,1,2020-11-08 06:43:59,2020-11-08 06:45:08,234.66666666666652,69.0,3.400966183574877,-31.68745,118.94453333333334
22,1,2020-11-08 06:46:26,2020-11-08 06:51:44,851.0,318.0,2.6761006289308176,-31.68271666666667,119.01103333333333
23,1,2020-11-08 06:58:08,2020-11-08 06:59:20,145.0,72.0,2.013888888888889,-31.56,119.04919999999998
24,2,2020-11-08 07:16:02,2020-11-08 07:24:47,985.6666666666672,513.0,1.9213775178687469,-31.25217634426784,119.39122065719761
25,1,2020-11-08 07:35:44,2020-11-08 07:40:38,632.6666666666665,294.0,2.151927437641723,-31.27953333333333,119.21976666666667
26,1,2020-11-08 07:52:20,2020-11-08 07:58:47,960.0,387.0,2.4806201550387597,-31.30955,118.96715
27,1,2020-11-08 08:09:08,2020-11-08 08:13:41,701.0,273.0,2.567765567765568,-31.363033333333334,118.6971
28,4,2020-11-08 08:36:32,2020-11-08 08:51:56,1078.9999999999998,636.0,1.6965408805031443,-31.510869230769227,118.10448159303881
