cluster_id,n_circles,n_turns_sum,duration_min,alt_gained_m,av_climb_ms,lat,lon,t_start,t_end
1,1,0.8333333333333334,0.4166666666666667,46.57142857142835,1.8628571428571339,-32.09717222222222,116.95284722222222,7891.0,7916.0
2,1,0.6666666666666666,0.3333333333333333,41.119999999999415,2.0559999999999707,-32.099666666666664,116.95253,7916.0,7936.0
3,1,0.6666666666666666,0.3333333333333333,56.07999999999975,2.8039999999999874,-32.10181333333334,116.95251,7936.0,7956.0
4,1,0.8333333333333334,0.4166666666666667,50.79999999999991,2.0319999999999965,-32.10455555555556,116.95277222222222,7956.0,7981.0
5,1,0.6666666666666666,0.3333333333333333,34.87999999999999,1.7439999999999993,-32.10725000000001,116.95311,7981.0,8001.0
6,1,0.8333333333333334,0.4166666666666667,40.45714285714321,1.6182857142857285,-32.10982222222223,116.95336111111112,8001.0,8026.0
7,2,1.5,0.75,10.182857142857271,0.22628571428571714,-32.161796111111116,116.95729638888886,8231.0,8276.0
8,1,0.8333333333333334,0.4166666666666667,22.71428571428594,0.9085714285714376,-32.164625,116.95907777777778,8276.0,8301.0
9,1,0.6666666666666666,0.3333333333333333,17.67999999999914,0.883999999999957,-32.166513333333334,116.95994333333331,8301.0,8321.0
10,1,0.6666666666666666,0.3333333333333333,19.679999999999342,0.9839999999999671,-32.168353333333336,116.96089666666668,8321.0,8341.0
11,1,0.6666666666666666,0.3333333333333333,26.559999999999818,1.327999999999991,-32.170296666666665,116.96180666666666,8341.0,8361.0
12,1,0.8333333333333334,0.4166666666666667,28.68571428571442,1.1474285714285768,-32.17240277777778,116.96291111111113,8361.0,8386.0
13,1,0.8333333333333334,0.4166666666666667,23.48571428571425,0.93942857142857,-32.175066666666666,116.96439166666666,8386.0,8411.0
14,2,1.5,0.75,36.76000000000007,0.8168888888888904,-32.178110833333335,116.96543916666668,8411.0,8456.0
15,1,0.8333333333333334,0.4166666666666667,24.80000000000028,0.9920000000000112,-32.18103333333334,116.96651111111112,8456.0,8481.0
16,1,0.8333333333333334,0.4166666666666667,43.57142857142874,1.7428571428571495,-32.20690555555556,116.97141111111112,8581.0,8606.0
17,1,0.8333333333333334,0.4166666666666667,42.57142857142861,1.7028571428571444,-32.20965555555556,116.97146388888888,8606.0,8631.0
18,1,1.0,0.5,39.557142857142914,1.3185714285714305,-32.211759523809526,116.97222857142856,8631.0,8661.0
19,1,0.8333333333333334,0.4166666666666667,26.428571428571296,1.0571428571428518,-32.21398611111112,116.97208055555556,8661.0,8686.0
20,1,0.8333333333333334,0.4166666666666667,40.0000000000002,1.6000000000000079,-32.21666666666666,116.9729611111111,8686.0,8711.0
21,1,0.8333333333333334,0.4166666666666667,30.17142857142924,1.2068571428571695,-32.219341666666665,116.97383611111113,8711.0,8736.0
22,1,0.8333333333333334,0.4166666666666667,38.08571428571433,1.5234285714285734,-32.22173055555555,116.97446944444444,8736.0,8761.0
23,1,1.0,0.5,14.528571428571302,0.4842857142857101,-32.224488095238094,116.97456904761906,8761.0,8791.0
24,1,0.8333333333333334,0.4166666666666667,18.685714285714067,0.7474285714285627,-32.22707499999999,116.97498611111112,8791.0,8816.0
