lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.122703325017454,116.9452640686822,2.1153846153846154,110.0,52.0,0,1,-32.122595958211015,116.945384741138,-32.122810691823894,116.94514339622643,32.96497319534279,52.0,1.0
-31.823136993846813,117.01388041968949,2.618181818181818,144.0,55.0,6,3,-31.823122201979338,117.0139596489028,-31.823151785714288,117.01380119047619,15.3283289581525,55.0,1.0
-31.496831419057642,117.0784692479458,3.4358974358974357,134.0,39.0,9,4,-31.495872642036854,117.07856594687202,-31.497790196078434,117.0783725490196,214.0095696928914,10.0,0.2564102564102564
-31.28580402951105,117.0896024888655,4.115384615384615,107.0,26.0,10,5,-31.284890775071485,117.0897099160026,-31.286717283950615,117.0894950617284,204.12242858024803,26.0,1.0
-31.260256196608292,117.09005090871577,3.0408163265306123,149.0,49.0,11,8,-31.25938646729066,117.09102774335747,-31.261125925925924,117.08907407407406,268.13301856502505,14.0,0.2857142857142857
-30.90999059594619,117.15178072969348,2.8181818181818183,124.0,44.0,13,11,-30.90997304374423,117.15149294086845,-30.910008148148147,117.15206851851852,55.05019058607902,44.0,1.0
-30.658893082094558,117.16117906859418,5.034188034188034,589.0,117.0,14,12,-30.658100429725835,117.16131830667987,-30.659685734463284,117.16103983050847,178.27923066403477,117.0,1.0
-30.63106717370667,117.22344990523551,3.135135135135135,116.0,37.0,15,16,-30.63101855793965,117.22323665257628,-30.631115789473682,117.22366315789475,42.21578536191883,37.0,1.0
-30.821899336334965,117.5102367997003,2.789473684210526,106.0,38.0,16,20,-30.821268330789582,117.50996334299035,-30.822530341880345,117.51051025641023,149.7324044277506,38.0,1.0
-30.82725062622549,117.51990164052287,4.125,132.0,32.0,17,21,-30.827132625,117.5202228888889,-30.827368627450976,117.51958039215687,66.72582801119567,17.0,0.53125
-31.098288023656217,117.78574925766286,2.975,119.0,40.0,18,24,-31.09820043755634,117.7860245315859,-31.098375609756097,117.78547398373982,55.921989696548074,40.0,1.0
-31.14761687178204,117.8406325935998,3.135593220338983,185.0,59.0,19,26,-31.147700688008523,117.8421054649774,-31.14753305555556,117.83915972222222,280.9503988018012,59.0,1.0
-31.263997066361846,117.97259193936318,2.5434782608695654,234.0,92.0,20,28,-31.26446814706061,117.97318083213139,-31.263525985663076,117.97200304659496,153.3210730364219,92.0,1.0
-31.379378731720816,118.11545680085459,3.0,117.0,39.0,21,31,-31.379313296774967,118.11454068504251,-31.379444166666666,118.11637291666666,174.5441614570143,39.0,1.0
-31.464018936498114,118.24713228733528,3.9901960784313726,407.0,102.0,22,33,-31.46381667558522,118.24675389505892,-31.464221197411003,118.24751067961164,84.70737761518657,102.0,1.0
-31.507616965343914,118.30468106534391,3.1142857142857143,109.0,35.0,23,35,-31.507596893650792,118.30493064920636,-31.507637037037032,118.30443148148146,47.53199260056598,35.0,1.0
-31.69566926805576,118.2085043444914,3.0,126.0,42.0,24,37,-31.6955451252588,118.20871178975801,-31.695793410852716,118.20829689922479,47.98963279858602,42.0,1.0
-31.69579297910262,118.20350950486751,3.2625,261.0,80.0,25,38,-31.69533234709413,118.20348817640169,-31.69625361111111,118.20353083333333,102.51949349405923,51.0,0.6375
-31.75697656626882,118.09880875788947,2.357142857142857,165.0,70.0,26,39,-31.756374303708817,118.10005355181498,-31.75757882882882,118.09756396396396,270.8235290163732,35.0,0.5
-31.82810206036416,117.87036349501489,2.6122448979591835,128.0,49.0,27,42,-31.82690507310928,117.87111508526786,-31.829299047619042,117.86961190476192,301.710488735289,49.0,1.0
-32.02303349739603,117.32389003140521,2.6222222222222222,118.0,45.0,31,45,-32.02279634261815,117.3243485410713,-32.02327065217391,117.32343152173912,101.26974862509142,45.0,1.0
