circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,17693.0,17725.0,32.0,121.09411630953943,26.639999999999613,0.8324999999999879,171.31313057784982,33.95072060283933,-31.59737037037037,117.22024444444443
1,,17725.0,17757.0,32.0,122.42946863520932,34.10666666666645,1.0658333333333265,173.20226767473534,34.2424188523886,-31.59693518518519,117.21834814814815
2,,17757.0,17793.0,36.0,122.44862811832316,49.92000000000016,1.3866666666666712,194.8830443985238,31.18003912005475,-31.596299999999996,117.21628666666668
3,,17793.0,17825.0,32.0,124.8429728739873,44.319999999999744,1.384999999999992,176.61667771717762,34.76454203891656,-31.59571111111111,117.21405370370371
4,,17825.0,17857.0,32.0,124.76781195808019,35.839999999999975,1.1199999999999992,176.51034677234267,34.74838076495064,-31.59522777777778,117.21205555555555
5,,17941.0,17985.0,44.0,120.7443121821458,17.899999999999142,0.4068181818181623,234.8751060824601,26.022909294796253,-31.610154166666664,117.20963472222222
6,,17985.0,18025.0,40.0,118.99650482280362,12.109090909091266,0.30272727272728167,210.43202170230842,27.89121520267032,-31.61250909090909,117.20770151515153
7,,18025.0,18061.0,36.0,123.27485926589102,19.1672727272726,0.5324242424242389,196.19803211124292,31.35097348508313,-31.61264,117.20559333333331
8,,18061.0,18097.0,36.0,121.58737797349954,23.269090909091197,0.6463636363636444,193.51232222065087,31.00120049280741,-31.612218333333335,117.20356000000001
9,,18097.0,18129.0,32.0,122.77802745701119,35.43999999999911,1.1074999999999722,173.6953775364958,34.31822838104494,-31.61185925925926,117.20223703703704
10,,18129.0,18169.0,40.0,118.77457402216616,32.40000000000022,0.8100000000000055,210.03956188068852,27.847016401214248,-31.611151515151516,117.20157272727273
11,,18169.0,18193.0,24.0,119.8087891868943,51.42857142857163,2.1428571428571512,127.12107349966033,41.6098471042585,-31.610635714285714,117.19994285714286
12,,18193.0,18225.0,32.0,117.44752077127745,58.66666666666618,1.8333333333333182,166.15425319677206,33.14387556695396,-31.61069814814815,117.19929074074074
13,,18225.0,18257.0,32.0,119.84021980691465,49.81333333333217,1.5566666666666302,169.53922989768648,33.674982937131425,-31.61082777777778,117.1980425925926
14,,18257.0,18289.0,32.0,115.69786095835023,35.733333333333235,1.1166666666666636,163.67899090382446,32.75138551732012,-31.610583333333334,117.19706666666667
15,,18289.0,18325.0,36.0,119.75082091725568,23.45454545454535,0.6515151515151486,190.58935088293578,30.617590052215792,-31.610505,117.19585833333333
16,,18425.0,18469.0,44.0,117.6826649207476,-2.823076923077706,-0.06416083916085696,228.91950691333986,25.447343972463234,-31.60448194444444,117.21699166666666
17,,18469.0,18513.0,44.0,119.70330680560643,5.269230769230109,0.11975524475522975,232.8501142312642,25.827834199555095,-31.603619444444444,117.21690416666667
18,,18513.0,18541.0,28.0,124.40153759769886,31.500000000000323,1.1250000000000115,153.99315273149142,38.32471480544281,-31.603227083333334,117.21703958333333
19,,18541.0,18569.0,28.0,121.10712581421974,23.850000000000303,0.8517857142857251,149.91509335432895,37.579009090335,-31.603247916666668,117.21555833333332
20,,18569.0,18597.0,28.0,120.38623336396529,41.566666666667054,1.4845238095238233,149.02272093402965,37.41380617731353,-31.602795833333335,117.21443541666667
21,,18597.0,18629.0,32.0,120.9435663135917,49.253333333332584,1.5391666666666433,171.1001459019605,33.91770782930358,-31.602709259259257,117.21328518518516
22,,18629.0,18665.0,36.0,118.69437766247799,43.36363636363602,1.204545454545445,188.90796922199618,30.39553752876467,-31.602263333333333,117.21143333333332
23,,18665.0,18697.0,32.0,120.95816273537116,39.62666666666575,1.2383333333333046,171.12079561465077,33.92090966978318,-31.601577777777777,117.21000555555555
24,,18697.0,18729.0,32.0,119.79289267510734,41.06666666666566,1.283333333333302,169.4722757024021,33.664540653265384,-31.601120370370367,117.2078888888889
25,,18729.0,18761.0,32.0,116.47608642166718,42.98666666666581,1.3433333333333066,164.7799547200633,32.926390230120056,-31.600948148148152,117.20609444444446
26,,18761.0,18793.0,32.0,118.07541253260442,35.65333333333209,1.114166666666628,167.04253833047753,33.283877460647695,-31.600864814814813,117.2045
27,,18793.0,18829.0,36.0,118.87730172500841,48.85090909090852,1.3569696969696812,189.19910190961787,30.434058711568404,-31.60067,117.20231333333336
28,,18829.0,18869.0,40.0,117.67199514101212,56.25454545454531,1.4063636363636327,208.08977433530632,27.62689711037705,-31.59965303030303,117.20055454545455
29,,18869.0,18909.0,40.0,118.3771413586984,33.1818181818181,0.8295454545454526,209.33674662583215,27.767775300786298,-31.60003181818181,117.19832121212121
30,,18909.0,18949.0,40.0,118.01059701879757,65.23636363636341,1.630909090909085,208.68855391963692,27.69459034016237,-31.60027121212121,117.19792575757577
31,,18949.0,18985.0,36.0,118.40235394925753,47.007272727273666,1.3057575757576019,188.44319904740533,30.333978504670196,-31.600566666666662,117.19657333333332
32,,18985.0,19025.0,40.0,121.22819039480657,24.145454545454676,0.6036363636363669,214.3785082602099,28.33366233719094,-31.601263636363637,117.19545757575757
33,,19025.0,19057.0,32.0,123.35023962580834,27.33333333333308,0.8541666666666587,174.5048921601527,34.44238486998611,-31.601301851851854,117.1939925925926
34,,19057.0,19101.0,44.0,124.33203792176286,-23.04615384615412,-0.52377622377623,241.8540473547922,26.690256732224217,-31.60112777777778,117.19268611111112
35,,19253.0,19305.0,52.0,122.52306767604176,-0.04000000000101252,-0.0007692307692502407,281.6688602494703,22.743506611696436,-31.613904761904763,117.23639761904761
