x_bin,count,mean,median,p95,x_mid
"[63.33,63.83)",4.0,37.25,37.5,52.349999999999994,63.580542630258535
"[63.83,64.32)",1.0,50.0,50.0,50.0,64.07533284528
"[64.32,64.82)",7.0,41.42857142857143,44.0,49.8,64.57012306030147
"[64.82,65.31)",5.0,31.0,31.0,45.599999999999994,65.06491327532294
"[65.31,65.81)",6.0,34.666666666666664,31.0,51.25,65.5597034903444
"[65.81,66.30)",6.0,28.833333333333332,27.5,39.75,66.05449370536587
"[66.30,66.80)",2.0,36.5,36.5,54.05,66.54928392038734
"[66.80,67.29)",8.0,27.75,31.0,37.55,67.0440741354088
"[67.29,67.79)",5.0,32.6,28.0,49.8,67.53886435043027
"[67.79,68.28)",4.0,31.0,30.5,38.55,68.03365456545174
"[68.28,68.78)",9.0,32.333333333333336,24.0,56.8,68.52844478047321
"[68.78,69.27)",5.0,30.4,25.0,54.199999999999996,69.02323499549468
"[69.27,69.77)",5.0,34.6,37.0,52.6,69.51802521051614
"[69.77,70.26)",6.0,31.333333333333332,28.0,46.75,70.01281542553761
"[70.26,70.76)",7.0,31.428571428571427,24.0,51.19999999999999,70.50760564055908
"[70.76,71.25)",8.0,37.0,38.5,50.9,71.00239585558055
"[71.25,71.74)",5.0,28.6,25.0,45.199999999999996,71.49718607060201
"[71.74,72.24)",9.0,31.77777777777778,31.0,49.599999999999994,71.99197628562348
"[72.24,72.73)",10.0,34.1,30.5,56.849999999999994,72.48676650064495
"[72.73,73.23)",10.0,25.1,24.0,35.94999999999999,72.98155671566641
"[73.23,73.72)",10.0,33.9,31.0,53.74999999999999,73.47634693068788
"[73.72,74.22)",15.0,33.46666666666667,34.0,48.0,73.97113714570935
"[74.22,74.71)",8.0,29.0,23.0,47.8,74.46592736073082
"[74.71,75.21)",2.0,37.0,37.0,38.8,74.96071757575228
"[75.21,75.70)",8.0,36.125,39.5,52.8,75.45550779077375
"[75.70,76.20)",10.0,32.8,31.0,54.65,75.95029800579522
"[76.20,76.69)",11.0,31.09090909090909,28.0,48.5,76.44508822081669
"[76.69,77.19)",10.0,22.9,24.0,29.099999999999998,76.93987843583815
"[77.19,77.68)",14.0,29.0,25.0,51.099999999999994,77.43466865085962
"[77.68,78.18)",14.0,36.57142857142857,32.5,58.0,77.92945886588109
"[78.18,78.67)",21.0,26.571428571428573,24.0,44.0,78.42424908090256
"[78.67,79.17)",24.0,34.791666666666664,32.0,54.39999999999999,78.91903929592402
"[79.17,79.66)",26.0,35.34615384615385,31.5,51.75,79.41382951094549
"[79.66,80.16)",17.0,30.352941176470587,28.0,45.39999999999999,79.90861972596696
"[80.16,80.65)",34.0,31.205882352941178,28.0,51.349999999999994,80.40340994098842
"[80.65,81.15)",39.0,32.794871794871796,30.0,53.0,80.89820015600989
"[81.15,81.64)",50.0,30.82,28.0,48.0,81.39299037103136
