x_bin,count,mean,median,std,p95,x_mid
"[43.49,43.73)",1939.0,116.90134675874079,114.5530456133074,25.427975857027487,160.1699032146706,43.6102164369418
"[43.73,43.96)",1872.0,115.02101035779468,115.15627908387182,23.612007294919508,149.6368770055032,43.84658617372739
"[43.96,44.20)",1872.0,115.14988091379873,106.5402501066037,24.68840512426248,162.26549256004236,44.08295591051298
"[44.20,44.44)",1733.0,114.75292466029529,107.30843777453272,24.709242365457886,152.05559835852503,44.31932564729858
"[44.44,44.67)",1611.0,114.91811902715877,108.11283420236764,24.9632058642403,153.40832080602542,44.55569538408417
"[44.67,44.91)",1520.0,113.51747553931668,108.72087521755121,24.670347252724753,154.3486303661143,44.79206512086976
"[44.91,45.15)",1515.0,113.83201687140989,109.64875625469196,25.175882826539436,155.56950877228795,45.02843485765535
"[45.15,45.38)",1398.0,114.6784030921027,110.46147784981936,25.452896707242555,156.70600819163937,45.264804594440946
"[45.38,45.62)",1338.0,112.90660386236797,111.16270991544512,24.34454835532756,146.23080435005272,45.50117433122654
"[45.62,45.86)",1184.0,112.20341204485956,112.02974359539414,25.02030153358147,158.8614972690759,45.73754406801213
"[45.86,46.09)",1108.0,110.06000647873745,103.14433236626408,24.082218820145915,148.57151078706667,45.97391380479772
"[46.09,46.33)",1016.0,110.36444552755123,103.9231438426026,23.33464498618545,149.7232547035536,46.210283541583316
"[46.33,46.56)",1065.0,109.75873537686876,104.67018398733023,24.18249043241566,151.0235460029745,46.446653278368906
"[46.56,46.80)",1002.0,109.57044421584263,105.53031032905032,23.013945123096804,151.80723281949673,46.6830230151545
"[46.80,47.04)",832.0,109.44192764414713,106.37434601838294,23.428282971327906,153.1104331902392,46.91939275194009
"[47.04,47.27)",878.0,109.46789515605484,107.12281820812042,23.53681205766975,154.39539122575707,47.155762488725685
"[47.27,47.51)",748.0,109.91655345978401,107.81132742206967,26.539981278249503,168.24373517131994,47.392132225511276
"[47.51,47.75)",722.0,108.98533581290009,108.77038689887084,25.749317535530484,157.04487292231846,47.628501962296866
"[47.75,47.98)",648.0,111.09217217092984,109.69860392828818,26.239964373075093,158.38279312385626,47.86487169908246
"[47.98,48.22)",635.0,106.87656198062061,110.34679492686422,23.15430406863106,146.97142437222305,48.101241435868054
"[48.22,48.46)",539.0,108.87409613143771,101.20883696072806,24.40930782424136,160.5845973695711,48.337611172653645
"[48.46,48.69)",580.0,108.3380356217482,102.02191825825022,23.987350614337963,161.59247116921847,48.573980909439236
"[48.69,48.93)",521.0,108.81867164891983,102.8923621072045,24.54376032869439,150.73759013279434,48.810350646224826
"[48.93,49.16)",489.0,108.36562611474466,103.6764507573591,23.90095025305838,151.83704456881352,49.046720383010424
"[49.16,49.40)",479.0,107.42866733694683,104.3370026103194,24.675169995138127,153.0956374017267,49.283090119796015
"[49.40,49.64)",409.0,109.57935864790412,105.33440323389188,25.88494831253466,154.58639772332427,49.519459856581605
"[49.64,49.87)",384.0,109.02660836277725,105.91086493079075,26.51340104837865,166.58710517412837,49.755829593367196
"[49.87,50.11)",370.0,104.208038725521,101.37911515754558,23.94402739335315,150.5230597107502,49.99219933015279
"[50.11,50.35)",337.0,105.83660440862232,107.36323935334762,25.82985923519449,158.33558865390935,50.228569066938384
"[50.35,50.58)",301.0,106.18399390115682,97.94994450055114,25.845273766077586,158.78256502770404,50.464938803723975
"[50.58,50.82)",300.0,103.92436596024912,98.55462369749459,24.246389848274358,147.06409907200663,50.701308540509565
"[50.82,51.06)",275.0,105.93367381123781,99.39155566602192,24.624809682533986,161.7149800639511,50.93767827729516
"[51.06,51.29)",250.0,103.02398589247748,99.92371262051459,26.47925103854253,149.80039283719722,51.17404801408075
"[51.29,51.53)",241.0,106.6228511281912,101.19176525068796,24.765840540181163,150.9637965564085,51.410417750866344
"[51.53,51.76)",211.0,106.92240195471079,101.7572748564744,27.769988181010028,165.93661191087244,51.646787487651935
"[51.76,52.00)",182.0,103.47733088066062,102.43019429862868,27.21482416360795,153.33785360410243,51.88315722443753
"[52.00,52.24)",158.0,102.52418868772776,103.2494918614164,23.778477635033727,143.01470569509874,52.11952696122312
"[52.24,52.47)",138.0,105.08815901170314,104.05397969919619,27.75946304268652,156.06543472749945,52.35589669800871
"[52.47,52.71)",156.0,104.50230807700463,104.8795928143985,27.18796444589221,156.91224174039124,52.592266434794304
"[52.71,52.95)",135.0,102.5110970928854,94.9819327545326,25.334947856241165,159.1602680672168,52.8286361715799
"[52.95,53.18)",104.0,108.03508326726865,95.81412776774661,32.71761884565909,174.8631633246243,53.06500590836549
"[53.18,53.42)",102.0,102.91590036781763,96.20030270870737,29.696217468268003,160.99982050768992,53.30137564515108
"[53.42,53.66)",107.0,100.81712496837409,97.04359529797068,27.781807079707356,162.89443383816086,53.53774538193667
"[53.66,53.89)",96.0,104.87454161448441,98.19388185523704,25.701198361752414,150.05409995249047,53.77411511872227
"[53.89,54.13)",81.0,105.89546448299339,99.13097446299275,28.339160433681947,151.47520873641295,54.01048485550786
"[54.13,54.37)",74.0,102.02965552382948,99.68369064180591,25.708975315210015,151.77698043753085,54.24685459229345
"[54.37,54.60)",78.0,99.78734113194861,89.46680177212303,27.0203493810059,155.45037908532777,54.48322432907904
"[54.60,54.84)",56.0,103.36636019763932,101.15733063658703,25.795148071454246,147.97753296162418,54.71959406586464
"[54.84,55.07)",47.0,108.74199622742033,102.56138400763486,33.85583956732167,182.28850959439472,54.95596380265023
"[55.07,55.31)",57.0,104.53933132341123,103.14027563378896,28.937333144156565,161.02083630181374,55.19233353943582
"[55.31,55.55)",42.0,94.90129239375982,92.23964302358368,22.85039692218309,129.93764817602258,55.42870327622141
"[55.55,55.78)",47.0,108.25877052702418,105.08168935801328,30.89518038927894,160.75367903022322,55.66507301300701
"[55.78,56.02)",34.0,99.09301333155072,88.45456058556539,27.466092697187626,142.66539701678118,55.9014427497926
"[56.02,56.26)",29.0,106.75305393259421,95.09303083154536,33.45569200511862,173.11827851589325,56.13781248657819
"[56.26,56.49)",26.0,104.6933157624518,95.8480047241879,30.8571720671134,149.64020523938024,56.37418222336378
"[56.49,56.73)",19.0,97.7056184614977,96.72309029390756,22.755370217855354,124.63457007749999,56.61055196014938
"[56.73,56.97)",24.0,108.15904351746974,97.53977156454182,35.30579352544233,181.6089150326148,56.84692169693497
"[56.97,57.20)",13.0,108.07520350988719,97.8975702612146,32.60865985013783,169.43127860997873,57.08329143372056
"[57.20,57.44)",13.0,100.65685058283401,99.10692059675658,27.017204556739635,145.8703748141067,57.31966117050615
"[57.44,57.67)",10.0,93.37892225466025,94.8824015332218,27.729133565652322,126.32652642968483,57.55603090729175
"[57.67,57.91)",16.0,95.65122728626173,88.87555825484475,36.84635443997944,149.95519012094536,57.79240064407734
"[57.91,58.15)",12.0,84.94619234150376,83.75556319926784,10.475360511397934,101.80768342491925,58.02877038086293
"[58.15,58.38)",10.0,93.48572009013614,67.87848818283709,43.27823057026276,154.06248171219505,58.26514011764852
"[58.38,58.62)",9.0,97.96418176350339,103.9491039978553,30.412107748900176,125.52403903781263,58.50150985443412
"[58.62,58.86)",8.0,118.45516904170462,126.38773246503544,42.097931088366266,164.22172120177035,58.73787959121971
"[58.86,59.09)",9.0,109.44565327953245,105.78496636908476,43.234423089016715,175.18291256750095,58.9742493280053
"[59.09,59.33)",5.0,112.38431747247805,106.95362915002366,42.2034894886866,168.94757253863557,59.21061906479089
"[59.33,59.57)",9.0,89.02047955030213,71.31449650325976,34.97992440329907,149.63395441153102,59.44698880157649
"[59.57,59.80)",8.0,120.82156378555871,109.06111735691884,42.053609863778604,175.33324539591544,59.68335853836208
"[59.80,60.04)",3.0,109.89467555891402,109.4157728618351,14.002377688718564,122.6589022285981,59.91972827514767
"[60.04,60.27)",5.0,136.2154614201144,139.9238065383345,38.26181615290738,181.04680517594304,60.15609801193326
"[60.27,60.51)",3.0,107.53408168841014,74.05521781299245,58.32092728354093,164.7947504729753,60.39246774871886
"[60.51,60.75)",4.0,119.21517834856591,107.2494480030877,42.47907396867496,168.71394395521367,60.62883748550445
"[60.75,60.98)",2.0,130.7156990118492,130.7156990118492,94.37663695009715,190.77662298754433,60.86520722229004
"[60.98,61.22)",3.0,87.78165005970133,88.18916224706719,42.463607096656766,125.85494726723002,61.10157695907563
"[61.22,61.46)",5.0,106.6745629861999,116.68936181007396,28.75413434816646,131.1842532692088,61.33794669586123
"[61.46,61.69)",6.0,139.73622902534535,148.51483573600837,35.99272833858974,178.4548622850928,61.57431643264682
"[61.69,61.93)",2.0,66.7542006778717,66.7542006778717,52.62205910335914,100.24267402665778,61.81068616943241
"[61.93,62.17)",2.0,119.81639724267542,119.81639724267542,0.35754156835794354,120.0439353034632,62.047055906218
"[62.17,62.40)",1.0,188.67067766642623,188.67067766642623,,188.67067766642623,62.283425643003596
"[62.40,62.64)",2.0,123.9168085899104,123.9168085899104,43.084861726045126,151.33584669358453,62.51979537978919
"[62.64,62.87)",1.0,30.818786251198304,30.818786251198304,,30.818786251198304,62.75616511657478
"[62.87,63.11)",,,,,,62.99253485336037
"[63.11,63.35)",3.0,116.07820368424329,125.84813572085166,17.297719021597466,126.23717169467044,63.228904590145966
"[63.35,63.58)",,,,,,63.46527432693156
"[63.58,63.82)",,,,,,63.70164406371715
"[63.82,64.06)",1.0,130.65425436914364,130.65425436914364,,130.65425436914364,63.93801380050274
"[64.06,64.29)",2.0,166.9716043657285,166.9716043657285,26.847145990281582,184.0570234524385,64.17438353728832
"[64.29,64.53)",,,,,,64.41075327407393
"[64.53,64.77)",1.0,150.79726416202917,150.79726416202917,,150.79726416202917,64.64712301085953
"[64.77,65.00)",,,,,,64.8834927476451
"[65.00,65.24)",,,,,,65.11986248443071
"[65.24,65.47)",1.0,121.95093428142188,121.95093428142188,,121.95093428142188,65.35623222121629
"[65.47,65.71)",,,,,,65.5926019580019
"[65.71,65.95)",1.0,142.23001404265793,142.23001404265793,,142.23001404265793,65.82897169478747
"[65.95,66.18)",2.0,113.19591144774242,113.19591144774242,95.67701273599322,174.08438950610565,66.06534143157307
"[66.18,66.42)",,,,,,66.30171116835865
"[66.42,66.66)",,,,,,66.53808090514426
