circle_cluster_id,alt_cluster_id,dist_m,time_overlap_s,overlap_frac,circle_lat,circle_lon,alt_lat,alt_lon,lat,lon,lat_mean,lon_mean
1.0,1.0,305.5244411305557,25.0,1.0,-32.09717222222222,116.95284722222222,-32.09991403508772,116.9526359649123,-32.09717222222222,116.95284722222222,-32.09854312865497,116.95274159356725
2.0,1.0,29.261164964622917,20.0,1.0,-32.099666666666664,116.95253,-32.09991403508772,116.9526359649123,-32.099666666666664,116.95253,-32.09979035087719,116.95258298245615
3.0,1.0,211.52537363444455,20.0,1.0,-32.10181333333334,116.95251,-32.09991403508772,116.9526359649123,-32.10181333333334,116.95251,-32.10086368421053,116.95257298245616
4.0,1.0,516.2730856480592,15.0,0.6,-32.10455555555556,116.95277222222222,-32.09991403508772,116.9526359649123,-32.10455555555556,116.95277222222222,-32.102234795321635,116.95270409356726
4.0,2.0,413.12750721313853,5.0,0.2,-32.10455555555556,116.95277222222222,-32.10825151515152,116.9532196969697,-32.10455555555556,116.95277222222222,-32.106403535353536,116.95299595959597
5.0,2.0,111.8416739367319,20.0,1.0,-32.10725000000001,116.95311,-32.10825151515152,116.9532196969697,-32.10725000000001,116.95311,-32.107750757575765,116.95316484848485
6.0,2.0,175.16178982840236,25.0,1.0,-32.10982222222223,116.95336111111112,-32.10825151515152,116.9532196969697,-32.10982222222223,116.95336111111112,-32.10903686868687,116.95329040404042
10.0,4.0,226.50573291865712,20.0,1.0,-32.168353333333336,116.96089666666668,-32.17028974358974,116.9616435897436,-32.168353333333336,116.96089666666668,-32.16932153846154,116.96127012820514
11.0,4.0,15.368596866172062,20.0,1.0,-32.170296666666665,116.96180666666666,-32.17028974358974,116.9616435897436,-32.170296666666665,116.96180666666666,-32.1702932051282,116.96172512820513
12.0,4.0,263.51179705242646,20.0,0.8,-32.17240277777778,116.96291111111113,-32.17028974358974,116.9616435897436,-32.17240277777778,116.96291111111113,-32.17134626068376,116.96227735042737
