cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.1345693548387,116.94487365591395,181.0,211.0,4.933333333333334,148.0,30.0
1,-32.13560252525252,116.9438101010101,212.0,244.0,3.28125,105.0,32.0
2,-32.09433559322034,116.96390621468926,1208.0,1266.0,3.8275862068965516,222.0,58.0
3,-32.253431597222225,116.98452222222222,1953.0,2000.0,3.1702127659574466,149.0,47.0
4,-32.40442333333333,116.9949618181818,2663.0,2717.0,3.0925925925925926,167.0,54.0
5,-32.485419487179485,117.0317123076923,3381.0,3445.0,2.734375,175.0,64.0
6,-32.89565747863248,117.2447829059829,5810.0,5887.0,3.3896103896103895,261.0,77.0
7,-32.669124626865674,117.37020099502487,8195.0,8261.0,3.409090909090909,225.0,66.0
8,-32.354913829787236,117.19378226950353,10491.0,10537.0,3.5,161.0,46.0
