cluster_id,n_circles,n_turns_sum,duration_min,alt_gained_m,av_climb_ms,lat,lon,t_start,t_end
1,2,2.3333333333333335,1.1666666666666667,-6.722352941176536,-0.09603361344537908,-32.10637830882352,116.94773526960785,10488.0,10558.0
2,1,1.2666666666666666,0.6333333333333333,-4.688571428571691,-0.12338345864662344,-32.1084575,116.946225,10558.0,10596.0
3,9,9.333333333333334,4.666666666666667,189.75144161308143,0.6776837200467194,-32.101752420867676,116.952189755971,10700.0,10980.0
4,6,7.466666666666667,3.7333333333333334,61.33842333105031,0.27383224701361747,-32.11210028891673,116.95354409681613,10980.0,11204.0
5,1,2.0,1.0,-9.556451612903263,-0.15927419354838773,-32.11690053763441,116.95496129032256,11204.0,11264.0
6,5,6.2,3.1,-22.062829265677976,-0.11861736164342998,-32.119017379011254,116.95832239446653,11264.0,11450.0
7,1,1.9333333333333333,0.9666666666666667,-13.858064516128582,-0.23893214682980315,-32.103743333333334,116.95339666666663,11660.0,11718.0
8,3,3.3333333333333335,1.6666666666666667,137.7867167919789,1.3778671679197891,-32.08515330246914,116.95958225308642,11822.0,11922.0
9,1,0.9333333333333333,0.4666666666666667,29.03999999999909,1.0371428571428247,-32.08820333333333,116.96075333333332,11922.0,11950.0
10,2,2.466666666666667,1.2333333333333334,100.49187969924648,1.3579983743141417,-32.090860723684216,116.95983980263159,11950.0,12024.0
11,3,2.6666666666666665,1.3333333333333333,23.9584162895925,0.29948020361990624,-31.990078449074076,116.95022372685185,12504.0,12584.0
12,9,7.533333333333333,3.7666666666666666,289.62769230769254,1.2815384615384626,-31.998090669515665,116.95360606430606,12584.0,12810.0
13,1,1.2,0.6,21.839999999999076,0.606666666666641,-31.975229824561403,116.95471754385969,13009.0,13045.0
14,2,2.3333333333333335,1.1666666666666667,83.78218105424017,1.1968883007748596,-31.978085193452387,116.95766418650794,13045.0,13115.0
15,2,2.3333333333333335,1.1666666666666667,121.07647058823522,1.7296638655462175,-31.96595725490196,116.9508062254902,13227.0,13297.0
16,13,13.4,6.7,939.5433503652458,2.3371725133463825,-31.88207386533016,116.93702910319968,13659.0,14061.0
17,1,1.0,0.5,58.68529411764671,1.9561764705882239,-31.8356625,116.93343020833332,14258.0,14288.0
18,5,4.733333333333333,2.3666666666666667,331.3752941176438,2.333628831814393,-31.838721755368816,116.93695743977591,14288.0,14430.0
19,7,7.266666666666667,3.6333333333333333,858.8264160400929,3.939570715780243,-31.80656937263794,116.92994530801208,14570.0,14788.0
20,1,1.2,0.6,131.55789473683902,3.654385964912195,-31.810196491228076,116.93581315789474,14788.0,14824.0
21,1,1.3333333333333333,0.6666666666666666,125.43896103896203,3.135974025974051,-31.81173888888889,116.93829285714288,14824.0,14864.0
22,11,11.133333333333333,5.566666666666666,1652.5763115367529,4.947833268074111,-31.343767308628195,116.86325625276957,16087.0,16421.0
23,1,1.5333333333333334,0.7666666666666667,232.69799999999293,5.05865217391289,-31.34522361111111,116.86553819444444,16421.0,16467.0
24,1,1.6,0.8,157.31446153846025,3.2773846153845887,-31.028201333333335,116.807146,17208.0,17256.0
25,1,1.0666666666666667,0.5333333333333333,159.74117647058554,4.991911764705798,-31.03052745098039,116.80524411764704,17256.0,17288.0
26,1,1.2,0.6,123.0189473684174,3.4171929824560388,-30.69437631578947,116.67149649122808,18062.0,18098.0
27,1,0.9333333333333333,0.4666666666666667,101.14999999999802,3.612499999999929,-30.69547888888889,116.66944555555555,18098.0,18126.0
28,5,5.066666666666666,2.533333333333333,721.8289215686249,4.748874484004111,-30.699188884803924,116.66574098039216,18126.0,18278.0
29,1,1.2,0.6,165.15157894736572,4.587543859649048,-30.27884210526316,116.6850298245614,19413.0,19449.0
30,1,1.4,0.7,190.8474308300423,4.543986448334341,-30.280668181818186,116.68651136363634,19449.0,19491.0
31,1,1.6,0.8,170.51815384615037,3.552461538461466,-30.282059333333336,116.68954533333331,19491.0,19539.0
32,6,6.0,3.0,843.989019607836,4.6888278867102,-30.06672149033224,116.61050229711329,20160.0,20340.0
33,1,1.2666666666666666,0.6333333333333333,177.61428571428527,4.6740601503759285,-30.070951666666662,116.61295583333332,20340.0,20378.0
34,3,3.533333333333333,1.7666666666666666,458.98175438595126,4.330016550810861,-30.074227712800518,116.61252863872646,20378.0,20484.0
35,1,1.1333333333333333,0.5666666666666667,140.45614035087763,4.131062951496401,-30.300644444444444,117.45875185185186,22085.0,22119.0
36,1,1.0,0.5,138.31323529411662,4.610441176470554,-30.303082291666662,117.45828020833332,22119.0,22149.0
37,2,2.2,1.1,309.71243034055095,4.692612580917439,-30.30649605263158,117.45885375548247,22149.0,22215.0
38,3,3.066666666666667,1.5333333333333334,341.0317647058774,3.7068670076725803,-30.38988413943355,117.66446649237473,22585.0,22677.0
39,1,1.0666666666666667,0.5333333333333333,132.4941176470566,4.140441176470519,-30.392150980392156,117.667118627451,22677.0,22709.0
40,1,1.2,0.6,124.07999999999384,3.446666666666496,-30.393260526315785,117.66941315789477,22709.0,22745.0
41,4,4.266666666666667,2.1333333333333333,286.20118679050586,2.235946771800827,-30.6323270458878,118.19552385280501,23753.0,23881.0
42,1,1.5,0.75,116.24067643372108,2.5831261429715795,-30.75167608695652,118.49570797101448,24497.0,24542.0
43,1,1.2666666666666666,0.6333333333333333,161.64571428571213,4.253834586466109,-30.79113,118.57256666666667,24728.0,24766.0
44,1,1.4666666666666666,0.7333333333333333,188.56521739130488,4.285573122529656,-30.79332101449275,118.57378623188406,24766.0,24810.0
45,1,1.1333333333333333,0.5666666666666667,149.38245614034983,4.39360165118676,-30.79585,118.5759212962963,24810.0,24844.0
46,1,1.4,0.7,181.4513833992136,4.32027103331461,-30.797464393939393,118.57714772727272,24844.0,24886.0
47,1,1.1333333333333333,0.5666666666666667,171.89122807017355,5.055624355005104,-30.800001851851853,118.57818703703704,24886.0,24920.0
48,2,2.6,1.3,318.22233766233956,4.079773559773584,-30.802293313492065,118.57938567460317,24920.0,24998.0
49,1,1.2666666666666666,0.6333333333333333,130.48857142857062,3.433909774436069,-30.804610833333335,118.58006666666668,24998.0,25036.0
50,1,1.4666666666666666,0.7333333333333333,124.52173913043566,2.8300395256917197,-30.806119565217383,118.58217101449272,25036.0,25080.0
51,1,1.4666666666666666,0.7333333333333333,104.05217391304195,2.364822134387317,-30.868710144927537,118.7405463768116,25412.0,25456.0
52,2,2.3333333333333335,1.1666666666666667,201.90319327730663,2.884331332532952,-30.87110995098039,118.74098799019606,25456.0,25526.0
53,1,1.6,0.8,122.87630769230476,2.559923076923016,-30.872495333333337,118.743632,25526.0,25574.0
54,1,1.1333333333333333,0.5666666666666667,74.00701754385847,2.1766769865840727,-31.230376851851847,119.29592962962964,26697.0,26731.0
55,2,2.8,1.4,216.3225296442699,2.575268210050832,-31.231277272727276,119.29958636363638,26731.0,26815.0
56,1,1.6666666666666667,0.8333333333333334,107.91965811965989,2.158393162393198,-31.232112820512818,119.30257948717949,26815.0,26865.0
57,4,4.466666666666667,2.2333333333333334,730.6274922600544,5.4524439720899585,-31.26730849476121,119.15636293555067,27189.0,27323.0
