lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.619504166666665,117.18921458333332,594.0,623.0,2.967718922775116,86.06384876047836,29.0,0,,126.29799361317892,161.92431933268207,323.84863866536415,37.76962317392003
-31.620216666666668,117.19046666666668,623.0,651.0,3.02678571428576,84.75000000000128,28.0,1,,126.31823891522961,156.36578320239184,312.7315664047837,38.75163789207448
-31.62135,117.19163333333333,651.0,680.0,2.8872423777891374,83.73002895588499,29.0,2,,129.0637692384246,165.47026905628957,330.94053811257913,38.37213047976344
-31.622824074074074,117.19217222222223,680.0,713.0,2.0635074145712142,68.09574468085007,33.0,3,,122.11070257687267,178.14978426239065,356.2995685247813,33.35838206793853
-31.623825925925928,117.1931388888889,713.0,746.0,1.1516706704520325,38.005132124917075,33.0,4,,120.31941629380096,175.53644031999127,351.07288063998254,32.97064585443592
-31.625053703703706,117.1941462962963,746.0,780.0,1.1669377795851534,39.67588450589522,34.0,5,,120.88677453060195,181.7085395870403,363.4170791740806,32.31619630874482
-31.626548611111108,117.19589722222223,780.0,825.0,0.7516538037485744,33.824421168685845,45.0,6,,130.51362221811365,259.64860146051257,519.2972029210251,27.29384091302916
-31.633397916666667,117.21111666666667,938.0,970.0,3.7087684165355923,118.68058932913895,32.0,7,,149.51747494843397,211.52395748143906,423.0479149628781,39.73626455800259
-31.634720833333333,117.21346041666666,970.0,1002.0,3.059093516924854,97.89099254159532,32.0,8,,150.8257348699782,213.37476666688596,426.7495333337719,39.98183123983965
-31.636609999999997,117.21597833333333,1002.0,1039.0,3.0109072149753056,111.4035669540863,37.0,9,,153.89234266491488,251.73080567977232,503.46161135954463,36.50093187107862
-31.638801190476187,117.2185535714286,1039.0,1075.0,3.453815261044141,124.33734939758908,36.0,10,,153.0311921681832,243.55670680812094,487.11341361624187,37.09969099232819
-31.640700000000002,117.22039230769231,1075.0,1104.0,3.901722546908613,113.14995386034978,29.0,11,,149.20649110936492,191.29487984503288,382.58975969006576,42.47014246121291
-31.641342592592594,117.22270555555555,1104.0,1136.0,3.116666666666652,99.73333333333287,32.0,12,,145.97230745346693,206.50857142888157,413.01714285776313,39.06193313491099
