lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.621839880952383,117.22840714285714,350.0,378.0,1.4478960960048308,40.54109068813526,28.0,0,,119.30460805386831,147.68380748655557,295.36761497311113,37.1645624600212
-31.620573232323235,117.22832222222222,378.0,410.0,1.05280748663097,33.68983957219104,32.0,1,,114.2715970552939,161.6612402342693,323.3224804685386,32.42885943749629
-31.619125000000004,117.22823461538461,410.0,437.0,1.835366834401766,49.55490452884768,27.0,2,,122.53568312341423,146.26619755675134,292.5323951135027,38.91859463045491
-31.618694230769226,117.22670384615384,437.0,463.0,0.8477989234909684,22.04277201076518,26.0,3,,121.49694719077176,139.65495350434546,279.3099070086909,39.73951000858082
-31.61855595238095,117.22550773809522,463.0,490.0,0.7684729064039579,20.748768472906864,27.0,4,,115.85906797129886,138.29657527239078,276.59315054478157,37.35954401194686
-31.617669191919195,117.22504040404039,490.0,522.0,0.9024064171122612,28.87700534759236,32.0,5,,119.13660962417755,168.54382511019847,337.08765022039694,33.51947653035565
-31.618588211382114,117.22366666666667,522.0,562.0,0.45958188153311347,18.38327526132454,40.0,6,,113.86788093820184,201.3626234523803,402.7252469047606,26.860626986134424
-31.643543548387097,117.22541397849461,739.0,769.0,2.4181451612903158,72.54435483870947,30.0,7,,121.44701317965875,161.07410392741045,322.1482078548209,35.762736417796646
-31.644293103448277,117.22569712643677,769.0,797.0,2.4581280788177344,68.82758620689657,28.0,8,,118.15164006853185,146.25658095472113,292.51316190944226,36.897056691863995
-31.645214912280704,117.22476140350878,797.0,834.0,1.8169383958857777,67.22672064777377,37.0,9,,116.70061386713542,190.89409546558002,381.78819093116005,29.299007294056373
-31.64598970588235,117.22473823529413,834.0,867.0,1.5390374331550998,50.788235294118294,33.0,10,,118.30497531090384,172.5975314533707,345.1950629067414,32.530503162095705
-31.645278455284554,117.22453455284553,867.0,907.0,0.8935540069686446,35.742160278745786,40.0,11,,116.64034195085563,206.26541094897377,412.53082189794753,27.420132572391335
-31.646845833333337,117.22477976190476,907.0,934.0,1.1256157635467985,30.39162561576356,27.0,12,,119.15110016011893,142.22614923990338,284.45229847980676,38.13659117573081
-31.64763492063492,117.22282023809525,934.0,975.0,1.394700591524204,57.182724252492356,41.0,13,,119.45549868849915,216.52479359085123,433.04958718170246,27.400372179197596
-31.64875625,117.22121145833333,975.0,1006.0,0.8962609970674594,27.784090909091244,31.0,14,,123.38437351203042,169.09839480189643,338.19678960379287,35.303071191047664
-31.64626178861789,117.21763658536585,1006.0,1047.0,0.7978424684698818,32.71154120726516,41.0,15,,123.05322025201153,223.04601636828266,446.09203273656533,28.100913989291953
-31.653237179487178,117.23218717948718,1145.0,1171.0,2.731903550224144,71.02949230582774,26.0,16,,116.42831705849702,133.82880460249618,267.65760920499235,38.54425604036029
-31.653227619047616,117.23165142857142,1171.0,1205.0,1.4109243697479592,47.971428571430614,34.0,17,,120.31854401920913,180.85441524817102,361.70883049634205,32.19435711284528
-31.65170333333333,117.23176399999998,1205.0,1230.0,4.04697500301895,101.17437507547376,25.0,18,,118.9471237503866,131.46543549609314,262.93087099218627,40.24761071180605
-31.651274747474748,117.23086818181818,1230.0,1262.0,2.851270053475911,91.24064171122915,32.0,19,,119.4063653882864,168.92545145051363,337.85090290102727,33.579162121945025
-31.650494871794876,117.23064743589741,1262.0,1288.0,3.5590455681789503,92.53518477265271,26.0,20,,123.29198971805747,141.71826938579542,283.43653877159085,40.15314432529801
-31.650233854166668,117.22961041666667,1288.0,1319.0,2.030241935483935,62.93750000000198,31.0,21,,119.54265216205319,163.8333122386334,327.6666244772668,34.452918835469305
-31.65088928571429,117.22880535714283,1319.0,1346.0,1.964969896004385,53.0541871921184,27.0,22,,124.44061672455248,148.54004454837383,297.08008909674766,39.35129325513833
-31.651017857142858,117.22755634920635,1346.0,1387.0,-1.1023417875374684,-45.1960132890362,41.0,23,,122.04693163903272,221.2220196782162,442.4440393564324,27.905879511806223
