circle_cluster_id,alt_cluster_id,dist_m,time_overlap_s,overlap_frac,circle_lat,circle_lon,alt_lat,alt_lon,lat,lon,lat_mean,lon_mean
2.0,4.0,57.68632865538795,27.0,1.0,-31.626173996913582,117.2263999228395,-31.626375595238095,117.22696130952384,-31.626173996913582,117.2263999228395,-31.62627479607584,117.22668061618168
3.0,5.0,173.0424760316476,15.0,0.7142857142857143,-31.629020634920636,117.22615912698414,-31.62993787878787,117.22763560606062,-31.629020634920636,117.22615912698414,-31.629479256854253,117.22689736652238
8.0,7.0,401.631894029135,24.0,1.0,-31.63812385907107,117.23679354339752,-31.63506933333333,117.23452933333334,-31.63812385907107,117.23679354339752,-31.6365965962022,117.23566143836544
8.0,8.0,308.7538421694977,35.0,1.0,-31.63812385907107,117.23679354339752,-31.635794444444443,117.23501851851852,-31.63812385907107,117.23679354339752,-31.636959151757758,117.23590603095802
8.0,9.0,145.36260327968077,52.0,1.0,-31.63812385907107,117.23679354339752,-31.637129874213837,117.23579622641508,-31.63812385907107,117.23679354339752,-31.637626866642453,117.2362948849063
8.0,10.0,89.73395369882941,20.0,1.0,-31.63812385907107,117.23679354339752,-31.638707936507934,117.2374476190476,-31.63812385907107,117.23679354339752,-31.6384158977895,117.23712058122257
8.0,11.0,132.2888770309542,26.0,1.0,-31.63812385907107,117.23679354339752,-31.63888271604938,117.23786975308644,-31.63812385907107,117.23679354339752,-31.638503287560226,117.23733164824199
8.0,12.0,218.0267296185812,38.0,1.0,-31.63812385907107,117.23679354339752,-31.63980598290598,117.23797692307691,-31.63812385907107,117.23679354339752,-31.638964920988524,117.23738523323722
8.0,13.0,407.9917809129545,23.0,1.0,-31.63812385907107,117.23679354339752,-31.64129861111111,117.23895416666667,-31.63812385907107,117.23679354339752,-31.63971123509109,117.23787385503209
8.0,14.0,561.6668549395131,28.0,1.0,-31.63812385907107,117.23679354339752,-31.642578160919545,117.23959137931034,-31.63812385907107,117.23679354339752,-31.640351009995307,117.23819246135393
8.0,15.0,667.5618171401968,48.0,1.0,-31.63812385907107,117.23679354339752,-31.643201020408164,117.2405568027211,-31.63812385907107,117.23679354339752,-31.640662439739614,117.2386751730593
8.0,16.0,880.1956084030613,22.0,1.0,-31.63812385907107,117.23679354339752,-31.644315217391306,117.24258695652178,-31.63812385907107,117.23679354339752,-31.641219538231187,117.23969024995965
9.0,17.0,168.41056580562736,77.0,0.9166666666666666,-31.648309537748496,117.24512460874855,-31.64704431372549,117.24414666666668,-31.648309537748496,117.24512460874855,-31.647676925736995,117.24463563770762
9.0,18.0,116.0615484946189,29.0,1.0,-31.648309537748496,117.24512460874855,-31.649157222222215,117.24584,-31.648309537748496,117.24512460874855,-31.648733379985355,117.24548230437428
10.0,20.0,436.28234072058746,15.0,0.25,-31.420110268475888,117.19213534080087,-31.416463114754094,117.19044016393444,-31.420110268475888,117.19213534080087,-31.41828669161499,117.19128775236766
10.0,21.0,220.13288126936715,41.0,1.0,-31.420110268475888,117.19213534080087,-31.41874166666667,117.19045912698414,-31.420110268475888,117.19213534080087,-31.41942596757128,117.1912972338925
10.0,22.0,69.26403191228212,51.0,1.0,-31.420110268475888,117.19213534080087,-31.41994647435898,117.1914310897436,-31.420110268475888,117.19213534080087,-31.420028371417434,117.19178321527224
10.0,23.0,107.26248312445679,57.0,1.0,-31.420110268475888,117.19213534080087,-31.4209066091954,117.19277327586208,-31.420110268475888,117.19213534080087,-31.420508438835643,117.19245430833148
11.0,26.0,29.938991692152374,42.0,1.0,-31.220394010416666,117.13047204861113,-31.22053720930233,117.13020542635655,-31.220394010416666,117.13047204861113,-31.220465609859495,117.13033873748384
12.0,27.0,283.56790644991105,27.0,1.0,-31.22613361763273,117.1313756767392,-31.223680357142857,117.1305613095238,-31.22613361763273,117.1313756767392,-31.224906987387794,117.13096849313149
12.0,28.0,67.8905222845654,63.0,1.0,-31.22613361763273,117.1313756767392,-31.225621614583332,117.13098671875,-31.22613361763273,117.1313756767392,-31.22587761610803,117.1311811977446
12.0,29.0,172.4077569095339,35.0,1.0,-31.22613361763273,117.1313756767392,-31.227570833333328,117.13205601851853,-31.22613361763273,117.1313756767392,-31.22685222548303,117.13171584762887
12.0,30.0,301.851244304087,21.0,0.875,-31.22613361763273,117.1313756767392,-31.228831333333332,117.13172933333334,-31.22613361763273,117.1313756767392,-31.22748247548303,117.13155250503627
14.0,32.0,181.99962867637015,59.0,0.7023809523809523,-31.167727100278256,117.10988009436834,-31.166090588235292,117.10984666666664,-31.167727100278256,117.10988009436834,-31.166908844256774,117.10986338051748
14.0,33.0,110.9776903911153,121.0,0.9307692307692308,-31.167727100278256,117.10988009436834,-31.168664885496185,117.11027926208652,-31.167727100278256,117.10988009436834,-31.16819599288722,117.11007967822744
15.0,33.0,465.38913028171623,9.0,0.2647058823529412,-31.172348095238092,117.1126023809524,-31.168664885496185,117.11027926208652,-31.172348095238092,117.1126023809524,-31.17050649036714,117.11144082151947
16.0,35.0,180.3397564577621,32.0,0.9696969696969697,-31.105184490815574,117.10005541572522,-31.103653921568625,117.10068186274508,-31.105184490815574,117.10005541572522,-31.104419206192098,117.10036863923514
16.0,36.0,172.27548030710588,38.0,1.0,-31.105184490815574,117.10005541572522,-31.10366880341881,117.10043034188034,-31.105184490815574,117.10005541572522,-31.104426647117194,117.10024287880279
16.0,37.0,148.37332521438495,44.0,1.0,-31.105184490815574,117.10005541572522,-31.106501851851853,117.10030333333336,-31.105184490815574,117.10005541572522,-31.105843171333714,117.10017937452929
20.0,39.0,208.41650073762264,24.0,1.0,-30.89141740740741,117.0269551851852,-30.889988,117.028368,-30.89141740740741,117.0269551851852,-30.890702703703703,117.02766159259261
21.0,40.0,238.60500346086752,12.0,0.41379310344827586,-30.89116722222222,117.03047500000002,-30.89214696969697,117.03269969696971,-30.89116722222222,117.03047500000002,-30.891657095959594,117.03158734848486
22.0,40.0,27.33719445828261,27.0,1.0,-30.891901190476187,117.03269285714286,-30.89214696969697,117.03269969696971,-30.891901190476187,117.03269285714286,-30.89202408008658,117.03269627705629
23.0,40.0,191.39103923122795,15.0,0.5,-30.893088172043015,117.03437903225807,-30.89214696969697,117.03269969696971,-30.893088172043015,117.03437903225807,-30.892617570869994,117.03353936461389
23.0,41.0,145.73852969932796,11.0,0.39285714285714285,-30.893088172043015,117.03437903225807,-30.89359425287356,117.03578793103448,-30.893088172043015,117.03437903225807,-30.89334121245829,117.03508348164627
24.0,41.0,218.5913058430534,17.0,0.6071428571428571,-30.894665495303,117.03770878795464,-30.89359425287356,117.03578793103448,-30.894665495303,117.03770878795464,-30.89412987408828,117.03674835949457
24.0,42.0,155.0875422923656,23.0,1.0,-30.894665495303,117.03770878795464,-30.893370138888884,117.03710625,-30.894665495303,117.03770878795464,-30.894017817095943,117.03740751897732
24.0,43.0,87.19663912123895,53.0,0.9814814814814815,-30.894665495303,117.03770878795464,-30.895334545454546,117.03818545454546,-30.894665495303,117.03770878795464,-30.895000020378774,117.03794712125006
25.0,44.0,55.92262119294709,21.0,1.0,-30.89848440795826,117.04180463872795,-30.89834621212121,117.04236818181818,-30.89848440795826,117.04180463872795,-30.898415310039738,117.04208641027307
25.0,45.0,29.856623174189398,30.0,1.0,-30.89848440795826,117.04180463872795,-30.8986311827957,117.04206666666666,-30.89848440795826,117.04180463872795,-30.89855779537698,117.0419356526973
27.0,46.0,89.27987370669763,39.0,1.0,-30.905013317369093,117.04839209770115,-30.904256250000003,117.04808041666664,-30.905013317369093,117.04839209770115,-30.90463478368455,117.0482362571839
28.0,47.0,306.54820660570755,26.0,0.6046511627906976,-30.901240326923872,117.048876307951,-30.89873333333333,117.04753977272728,-30.901240326923872,117.048876307951,-30.8999868301286,117.04820804033915
28.0,48.0,80.95535672264202,77.0,1.0,-30.901240326923872,117.048876307951,-30.90053824786325,117.04865170940172,-30.901240326923872,117.048876307951,-30.90088928739356,117.04876400867636
28.0,49.0,144.63885089418238,53.0,1.0,-30.901240326923872,117.048876307951,-30.902319753086424,117.04972222222224,-30.901240326923872,117.048876307951,-30.90178004000515,117.04929926508663
28.0,50.0,258.0857845297684,23.0,1.0,-30.901240326923872,117.048876307951,-30.903340277777776,117.05002847222222,-30.901240326923872,117.048876307951,-30.902290302350824,117.04945239008661
28.0,51.0,405.7169941360059,11.0,0.44,-30.901240326923872,117.048876307951,-30.904865384615388,117.04935961538465,-30.901240326923872,117.048876307951,-30.90305285576963,117.04911796166783
29.0,52.0,117.42929064631154,26.0,0.7428571428571429,-30.73691134615385,116.93644625457875,-30.73602453703704,116.93711342592592,-30.73691134615385,116.93644625457875,-30.736467941595443,116.93677984025234
29.0,53.0,172.2301429628161,12.0,0.5217391304347826,-30.73691134615385,116.93644625457875,-30.738390972222223,116.93697916666666,-30.73691134615385,116.93644625457875,-30.737651159188037,116.93671271062271
30.0,53.0,342.1064478006099,11.0,0.4782608695652174,-30.741462911155203,116.93717691468254,-30.738390972222223,116.93697916666666,-30.741462911155203,116.93717691468254,-30.739926941688715,116.9370780406746
30.0,54.0,80.42917180771623,27.0,1.0,-30.741462911155203,116.93717691468254,-30.74081130952381,116.93754226190477,-30.741462911155203,116.93717691468254,-30.74113711033951,116.93735958829365
30.0,55.0,91.46965901288891,32.0,1.0,-30.741462911155203,116.93717691468254,-30.74227323232323,116.9370121212121,-30.741462911155203,116.93717691468254,-30.74186807173922,116.93709451794732
