circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,11836.0,11871.0,35.0,110.92554152056893,85.90900900900866,2.4545431145431045,171.63949685695383,29.416945412589907,-31.609481944444447,117.22954120370372
1,,11987.0,12022.0,35.0,119.17261367654581,44.44954954955019,1.2699871299871484,184.40051921475214,31.20675089647383,-31.625843055555556,117.22572453703702
2,,12022.0,12048.0,26.0,105.3415743729727,37.61904761904842,1.4468864468864777,121.08512198279705,35.78531731210844,-31.62650493827161,117.22707530864199
3,,12048.0,12089.0,41.0,118.62898460774427,99.16146179401991,2.4185722388785345,215.02665585169152,27.238162968592352,-31.629020634920636,117.22615912698414
4,,12496.0,12519.0,23.0,107.44463102765148,23.70399999999963,1.0306086956521578,109.25219865136611,39.73074605122788,-31.656115277777776,117.21319305555555
5,,12519.0,12544.0,25.0,85.27954038923987,95.47692307692338,3.8190769230769352,94.2545860941143,31.253333420723195,-31.657006410256407,117.21394230769229
6,,12544.0,12567.0,23.0,124.73261883248567,101.8380000000002,4.427739130434792,126.83102655436349,43.975172186990456,-31.65823888888889,117.21493124999999
7,,12844.0,12876.0,32.0,102.0504819214881,51.87593582887647,1.6211229946523897,144.37189904635494,29.56967671820337,-31.627593939393943,117.22290909090908
8,,12876.0,12900.0,24.0,99.69420382456707,31.25169230769258,1.3021538461538575,105.77883557527191,36.46582552516591,-31.628435333333336,117.22441466666665
9,,12900.0,12927.0,27.0,107.78108222249648,7.488177339902294,0.27733990147786275,128.6541900562824,35.382772582119,-31.628451190476188,117.22480595238096
10,,12927.0,12955.0,28.0,125.73100306309385,100.12965517241345,3.5760591133004804,155.6388605130615,38.621376061347824,-31.630593103448277,117.2266488505747
11,,12955.0,12986.0,31.0,110.86154386766471,15.686363636364039,0.5060117302052916,151.9358455181869,32.46654548747918,-31.63159010416667,117.22950208333333
12,,12986.0,13009.0,23.0,101.76701803988671,20.569999999999684,0.8943478260869427,103.47906977491981,38.209980722337846,-31.632853472222223,117.23249027777779
13,,13009.0,13040.0,31.0,99.48430093077039,62.33522727272808,2.0108137829912285,136.34332384677398,29.72438494610169,-31.633310416666667,117.23315989583334
14,,13040.0,13064.0,24.0,111.06029802598725,34.00984615384648,1.4170769230769367,117.83863608063292,39.46448659039237,-31.633295999999994,117.23288533333334
15,,13064.0,13089.0,25.0,92.61401603724102,42.31623931623951,1.6926495726495805,102.36096147165955,33.38849824670155,-31.633719871794877,117.23320769230769
