lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.29223178601491,116.91614394510583,2.45,147.0,60.0,2,6,-32.29177785774411,116.91525773148149,-32.29268571428571,116.91703015873017,194.80054439937425,60.0,1.0
-32.461053907943906,116.89862290209791,3.3,198.0,60.0,3,8,-32.46128797461797,116.90290135975138,-32.460819841269846,116.89434444444444,804.5090124166292,60.0,1.0
-32.725897777777774,116.82332924242425,2.5238095238095237,106.0,42.0,5,10,-32.72555,116.82251181818182,-32.72624555555556,116.82414666666668,171.3763543699643,42.0,1.0
-32.76553334415584,116.80298706709956,2.9523809523809526,186.0,63.0,6,15,-32.76474396103897,116.80235140692639,-32.76632272727272,116.80362272727275,212.01134295248346,63.0,1.0
-32.92784460217251,116.72557109427609,2.8461538461538463,111.0,39.0,7,17,-32.92869991863075,116.72570052188553,-32.926989285714285,116.72544166666667,191.7421065758827,39.0,1.0
-33.25733843201755,116.6796162609649,3.7777777777777777,204.0,54.0,8,18,-33.25626458333333,116.67894041666665,-33.25841228070176,116.68029210526318,269.86727669875467,42.0,0.7777777777777778
-33.326306344211346,116.65021754370629,3.0833333333333335,111.0,36.0,9,20,-33.32719858585859,116.65098765151515,-33.3254141025641,116.64944743589743,244.64390316565007,36.0,1.0
-33.582868926767674,116.47797212121213,2.6837606837606836,314.0,117.0,10,26,-33.58298868686869,116.47784924242426,-33.582749166666666,116.47809500000001,35.03744685716619,87.0,1.0
-33.679848304924235,116.97138140467172,2.8222222222222224,127.0,45.0,11,35,-33.67910181818181,116.9704451010101,-33.680594791666664,116.97231770833332,239.9659276719342,27.0,0.6
-33.041108775252525,116.87984975505051,3.361581920903955,595.0,177.0,12,42,-33.04014727272727,116.87958812121212,-33.042070277777775,116.88011138888889,219.3210566752038,117.0,0.8297872340425532
-32.55045436031253,116.88702210921176,2.7866666666666666,209.0,75.0,13,45,-32.55242923344557,116.88889998765428,-32.54847948717949,116.88514423076923,562.8575184863435,75.0,1.0
