lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.626894074074077,117.19754333333334,181.0,225.0,6.224110671936765,273.8608695652177,44.0,0,,141.4358367468373,275.12482003841376,550.2496400768275,29.76495784562624
-31.62363255813954,117.2028546511628,225.0,267.0,3.548323769254042,149.02959830866976,42.0,1,,130.34305545386317,242.0219850204724,484.0439700409448,28.90472004891603
-31.622871839080457,117.20033735632185,267.0,295.0,4.946798029556647,138.51034482758612,28.0,2,,112.93715301178787,139.80171458206937,279.60342916413873,35.66351766218857
-31.621121333333335,117.20020933333333,295.0,320.0,3.904756649376452,97.6189162344113,25.0,3,,113.24776557096375,125.1662616995211,250.3325233990422,38.86642621952031
-31.620187356321832,117.20175,320.0,348.0,1.8906403940886787,52.937931034483,28.0,4,,136.28206387169533,168.6997209329111,337.3994418658222,40.890678645210116
-31.619770967741935,117.20272849462368,348.0,378.0,3.0927419354838324,92.78225806451498,30.0,5,,133.58028623293563,177.1663571133497,354.3327142266994,38.38592083910273
-31.619779761904763,117.2012755952381,378.0,405.0,2.207170224411615,59.59359605911361,27.0,6,,142.60628660631969,170.22371572031494,340.4474314406299,43.21901106487755
-31.619011507936506,117.19918968253967,405.0,446.0,3.3104286524592927,135.727574750831,41.0,7,,124.89159469864137,226.37825014545868,452.75650029091736,28.455395133308382
-31.615981182795704,117.19672150537633,446.0,476.0,4.33306451612905,129.9919354838715,30.0,8,,117.97182933575783,156.46499820316106,312.9299964063221,34.97760374219556
-31.614809523809527,117.19671714285712,476.0,510.0,2.4215686274509904,82.33333333333367,34.0,9,,112.88769839304486,169.68488812768982,339.36977625537963,30.570871727964633
-31.61872727272727,117.20071590909092,571.0,592.0,2.7476002258610235,57.699604743081494,21.0,10,,129.5326998231992,120.25865523525484,240.51731047050967,47.659048544344074
-31.618715873015873,117.20141746031744,592.0,612.0,1.9467532467531634,38.93506493506327,20.0,11,,131.6689740654103,116.42093374638122,232.84186749276245,49.51047073377949
-31.618898717948717,117.20172371794871,612.0,637.0,2.8779487179487044,71.94871794871761,25.0,12,,131.94351916726393,145.82960614173814,291.6592122834763,43.1974926603496
-31.61853550724638,117.20237753623188,637.0,659.0,3.3043478260869246,72.69565217391234,22.0,13,,128.3681976555887,124.85264728862681,249.70529457725362,46.07121495921621
-31.617892666666666,117.20232466666667,659.0,683.0,2.792307692307675,67.01538461538419,24.0,14,,126.40660499091909,134.12157349179614,268.2431469835923,43.13893550342337
-31.617480000000008,117.20268999999999,683.0,702.0,1.1819548872179522,22.45714285714109,19.0,15,,133.65169327130965,112.26534030496778,224.53068060993556,51.37360138193133
-31.616973118279567,117.20222043010753,702.0,732.0,3.310483870967729,99.31451612903187,30.0,16,,121.24445434696915,160.8054519316648,321.6109038633296,35.717391824416815
-31.61643686868687,117.20392575757576,732.0,764.0,2.5795454545453897,82.54545454545247,32.0,17,,123.79793918541817,175.13825747510356,350.2765149502071,34.53926850436651
-31.61813080808081,117.20698232323232,764.0,796.0,2.54278074866301,81.36898395721632,32.0,18,,122.56962989705904,173.40055529832094,346.8011105966419,34.272919555195145
