lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.10311159474206,116.95791789847884,3.159090909090909,139.0,44.0,0,1,-32.10287596726191,116.957869130291,-32.10334722222222,116.95796666666668,53.2005068668094,44.0,1.0
-32.11148973639455,116.96323816090324,3.7864583333333335,727.0,192.0,1,4,-32.110947499999995,116.96317087962962,-32.11203197278911,116.96330544217687,121.25220004821477,152.0,0.9743589743589743
-31.759442067901237,116.893372341821,2.6607142857142856,149.0,56.0,2,7,-31.75956080246914,116.89376801697533,-31.759323333333334,116.89297666666668,79.3413554194482,56.0,1.0
-31.5293129985755,116.84783220772283,3.5384615384615383,184.0,52.0,3,13,-31.52965933048433,116.84868584401708,-31.528966666666665,116.8469785714286,179.2099449435895,52.0,1.0
-31.26644564814815,116.81522787037036,3.6166666666666667,217.0,60.0,4,16,-31.26638087962963,116.8151349074074,-31.266510416666666,116.81532083333333,22.79803783241584,60.0,1.0
-31.111304887590105,116.7819411887269,2.5454545454545454,224.0,88.0,5,18,-31.111180065035274,116.78246788470017,-31.111429710144936,116.78141449275363,104.05540683167595,72.0,0.8181818181818182
-30.47110987739113,116.63921713853276,5.55,111.0,20.0,7,28,-30.472528088115588,116.64018149928776,-30.469691666666666,116.63825277777777,365.5705956815074,20.0,1.0
-30.683676091269838,117.17699993386243,4.785714285714286,134.0,28.0,8,38,-30.684129265873015,117.17757486772486,-30.683222916666665,117.17642500000001,149.15731606906388,28.0,1.0
-30.681962886804556,117.16968426727594,3.7,148.0,40.0,9,40,-30.6819151675485,117.1696003527337,-30.68201060606061,117.16976818181818,19.240654965401173,40.0,1.0
-30.910836458333335,117.55305879629631,3.5714285714285716,100.0,28.0,10,46,-30.9119375,117.55268009259262,-30.909735416666667,117.5534375,255.29992122112628,28.0,1.0
-31.23608723290598,117.44208726979039,2.1041666666666665,101.0,48.0,11,52,-31.23591805555555,117.44263607804233,-31.236256410256413,117.44153846153844,110.93195627471245,48.0,1.0
