,points
0,6
1,2921
2,6
3,14
4,5
5,592
6,5
7,5
8,18
9,162
10,19
11,26
12,14
13,14
14,8
15,34
16,258
17,8
18,6
19,22
20,5
21,11
22,17
23,8
24,26
25,20
26,7
27,5
28,55
29,7
30,16
31,6
32,19
33,9
34,13
35,6
36,12
37,7
38,9
39,5
40,9
41,18
42,5
43,18
44,9
45,11
46,33
47,15
48,32
49,8
50,15
51,5
52,9
53,9
54,22
55,14
56,8
57,9
58,8
59,17
60,21
61,12
62,8
63,23
64,9
65,6
66,5
67,28
68,15
69,6
70,6
71,15
72,10
73,6
74,9
75,12
76,7
77,10
78,6
79,7
80,14
81,16
82,8
83,8
84,5
85,10
86,28
87,17
88,5
89,9
90,6
91,6
92,10
93,7
94,6
95,5
96,6
97,22
98,27
99,19
100,11
101,5
102,36
103,6
104,50
105,13
106,18
107,5
108,6
109,9
110,10
111,5
112,6
113,14
114,8
115,9
116,21
117,10
118,13
119,6
120,7
121,31
122,5
123,8
124,9
125,6
126,16
127,15
128,5
129,53
130,6
131,7
132,9
133,9
134,6
135,7
136,16
137,6
138,6
139,27
140,11
141,17
142,6
143,23
144,32
145,16
146,7
147,15
148,18
149,7
150,10
151,54
152,12
153,10
154,7
155,18
156,9
157,7
158,7
159,25
160,7
161,8
162,11
163,7
164,6
165,6
166,6
167,11
168,6
169,6
170,23
171,9
172,12
173,5
174,7
175,10
176,15
177,20
178,9
179,5
180,26
181,11
182,7
183,5
184,12
185,5
186,6
187,12
188,15
189,10
190,8
191,7
192,7
193,5
194,15
195,10
196,5
197,7
198,6
199,6
200,7
201,5
202,10
203,9
204,7
205,7
206,12
207,19
208,8
209,7
210,8
211,6
212,6
213,6
214,7
215,6
216,7
217,6
218,5
219,5
220,5
221,7
222,5
223,11
224,7
225,6
226,8
227,11
228,13
229,9
230,15
231,18
232,5
233,6
234,9
235,6
236,10
237,7
238,10
239,7
240,12
241,8
242,8
243,6
244,6
245,10
246,11
247,5
248,6
249,7
250,8
251,6
252,26
253,7
254,7
255,5
256,7
257,11
258,5
259,7
260,6
261,6
262,6
263,5
264,7
265,7
266,10
267,6
268,5
269,13
270,8
271,6
272,5
273,5
274,6
275,5
276,7
277,5
278,7
279,8
280,10
281,5
282,5
283,8
284,5
285,8
286,5
287,5
288,7
289,5
290,5
291,8
292,14
293,7
294,6
295,5
296,6
297,6
298,11
299,5
300,9
301,12
302,7
303,5
304,6
305,9
306,5
307,5
308,6
309,5
310,6
311,9
312,6
313,5
314,7
315,7
316,5
317,5
318,5
319,3
320,8
321,6
322,5
323,7
324,5
325,5
326,5
327,6
328,5
329,11
330,6
331,4
332,5
333,5
334,6
335,7
336,5
337,5
338,3
339,3
340,5
341,9
342,5
343,5
344,4
345,5
346,8
347,5
348,7
349,5
350,6
351,5
352,5
353,6
354,10
355,6
356,5
357,5
358,5
359,8
360,8
361,9
362,5
363,5
364,8
365,5
366,6
367,5
368,8
369,5
370,5
371,5
372,5
373,5
374,8
375,3
376,6
377,5
378,5
379,5
380,5
381,6
382,4
383,6
384,4
385,5
386,10
387,8
388,8
389,5
390,8
391,5
392,5
393,7
394,5
395,4
396,5
397,5
398,5
399,4
400,5
401,7
402,3
403,4
404,5
405,5
406,5
407,5
408,5
409,5
410,5
411,3
412,5
413,5
414,5
415,6
416,5
417,5
418,4
419,5
420,5
421,4
422,5
423,5
424,5
425,5
426,5
427,5
428,5
429,5
430,5
431,6
432,5
433,6
434,5
435,5
436,5
437,6
438,5
439,7
440,5
441,6
