lat,lon,strength
-31.574477742063493,117.97734417460318,5.0
-31.61084089682539,117.69004992559525,3.0
-31.600720723967616,117.88865870039682,3.3
-31.530764429012343,117.77328673471848,3.4
-31.508944615656805,117.56550209440113,3.5
-31.558465541125535,117.7961479758089,3.0
-31.559786345602735,117.74376995192308,3.3
-31.639464293981483,117.8330532844964,3.2
-31.627226101509486,117.7466949765719,3.4
-31.595359027777786,117.7971490668852,3.0
-31.55820262276786,117.5076977245219,3.0
-31.62481135149573,117.39002942485754,3.3
-31.658762081113768,117.74760649418178,3.5
-31.57518470883191,117.60280242215056,3.0
-31.524857481211882,117.74182602498092,3.3
-31.614822755432712,117.85600119052376,3.4
-31.629593907755208,117.36733826442548,3.2
-31.571900129015717,117.83895569829309,3.3
-31.621176940722172,117.79101620806188,3.1
-31.655647835659252,117.76348895818312,3.3
-31.616810668609094,117.62028312169312,2.6
-31.580927247308615,117.77116696328889,2.3
-31.650844640723676,117.73246970366104,2.1
