cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.63148601286963,117.23907244954209,340.0,455.0,0.894204314204328,1.4605128205128408,22.162474562474923,26.333333333333332,3
1,-31.617609487385934,117.22483349267905,651.0,860.0,0.15093611166073834,1.6956521739130481,3.8762077589611312,23.22222222222222,9
2,-31.732748188617677,117.20099671923276,1293.0,1425.0,2.9505689509297315,2.7126928157203443,64.6378091090272,22.0,6
3,-31.733087414601073,117.1917086991978,1480.0,1772.0,2.649059388904861,2.618271221532075,63.790095424418524,24.333333333333332,12
4,-31.940800848321103,117.19086467883157,2381.0,2768.0,2.0408827053515455,1.9846496106785265,50.79330647297009,25.0,11
5,-32.0693329280398,117.1881352240978,3402.0,3940.0,3.170396722943011,3.1163184641444714,74.16578277215056,23.391304347826086,23
6,-32.38841101133037,117.1517914936915,4866.0,4941.0,1.8382754372270522,1.8745299145299281,45.16257473112313,25.0,3
7,-32.460631925202,117.15278356203162,5360.0,5518.0,1.6976527728431952,1.8904824805339242,40.58462240523017,26.333333333333332,6
8,-32.482580435377514,117.13797876287832,5666.0,5867.0,2.1879251257345977,2.1874236874237223,55.00104627529271,25.125,8
9,-32.91517818528378,117.19048524634226,7410.0,7650.0,2.791705181541771,2.740334448160544,66.18980816501526,24.0,10
10,-32.81555835833522,117.31811884323562,8215.0,8608.0,-0.09969947092917782,0.5197192513367812,-13.54642733331625,27.4,5
11,-32.62714150601456,117.54652026590692,9404.0,9562.0,5.9917293233082445,7.0,144.17619047619,23.333333333333332,3
12,-32.48086455938697,117.71016056477931,10036.0,10118.0,2.6758157551261057,2.74285714285716,73.25495347564328,27.333333333333332,3
13,-31.725910835249046,117.3274379770115,13644.0,13786.0,1.8464230096933065,1.879310344827583,52.52035595105664,28.4,5
