cluster_id,n_circles,n_turns_sum,duration_min,alt_gained_m,av_climb_ms,lat,lon,t_start,t_end
1,1,1.2,0.6,48.22909090909067,1.3396969696969632,-32.161705,116.983345,15627.0,15663.0
2,1,1.2,0.6,24.796363636364028,0.6887878787878896,-32.16101833333333,116.98086333333336,15663.0,15699.0
3,8,9.2,4.6,675.9766933066926,2.4491909177778717,-32.16160218215812,116.97916093839031,15699.0,15975.0
4,2,2.8,1.4,73.97742257742223,0.8806836021121695,-32.16109198717949,116.97067705128205,15975.0,16059.0
5,3,4.266666666666667,2.1333333333333333,70.84475524475471,0.5534746503496462,-32.13751359427609,117.050392003367,16351.0,16479.0
6,1,1.3333333333333333,0.6666666666666666,27.363636363636846,0.6840909090909212,-32.133512121212114,117.0484606060606,16479.0,16519.0
7,1,1.6,0.8,-43.71428571428518,-0.9107142857142746,-32.13146666666667,117.04750512820512,16519.0,16567.0
8,1,1.8666666666666667,0.9333333333333333,-63.74999999999948,-1.1383928571428479,-32.13008555555555,117.04538999999998,16567.0,16623.0
9,1,1.8666666666666667,0.9333333333333333,19.810000000000095,0.3537500000000017,-32.13150777777778,117.04126555555555,16623.0,16679.0
10,1,1.3333333333333333,0.6666666666666666,110.89090909090976,2.772272727272744,-32.13467272727272,117.03671666666663,16679.0,16719.0
11,1,1.3333333333333333,0.6666666666666666,80.25454545454565,2.0063636363636412,-32.13429242424242,117.03377272727276,16719.0,16759.0
12,1,1.2,0.6,81.72000000000041,2.2700000000000116,-32.13328333333334,117.031895,16759.0,16795.0
13,1,1.4666666666666666,0.7333333333333333,58.60769230769137,1.3319930069929857,-32.132419444444444,117.0297847222222,16795.0,16839.0
14,6,9.866666666666667,4.933333333333334,41.82263736263448,0.14129269379268405,-32.12925866402116,117.02581200396826,16839.0,17135.0
15,1,1.8666666666666667,0.9333333333333333,-13.77000000000044,-0.245892857142865,-32.12866999999999,117.0194355555556,17135.0,17191.0
16,1,1.6,0.8,19.635164835165636,0.40906593406595076,-32.12779871794872,117.01505256410256,17191.0,17239.0
17,1,1.7333333333333334,0.8666666666666667,4.782857142856805,0.0919780219780155,-32.12574047619048,117.01397261904764,17239.0,17291.0
18,1,1.6,0.8,3.9560439560439673,0.08241758241758265,-32.12501153846154,117.0117628205128,17291.0,17339.0
19,1,1.3333333333333333,0.6666666666666666,58.67272727272774,1.4668181818181936,-32.167292424242426,117.13390454545451,17747.0,17787.0
20,1,1.2,0.6,68.38909090909162,1.8996969696969894,-32.16780833333333,117.13097166666668,17787.0,17823.0
21,8,10.266666666666667,5.133333333333334,346.38078588078525,1.1246129411713808,-32.16658345621393,117.12349980391716,17823.0,18131.0
22,2,3.2,1.6,-42.23736263736286,-0.43997252747252974,-32.16634102564103,117.11617115384615,18131.0,18227.0
23,1,1.8666666666666667,0.9333333333333333,-20.950000000000067,-0.374107142857144,-32.22995,117.17283888888888,18475.0,18531.0
24,2,2.1333333333333333,1.0666666666666667,99.67424242424286,1.5574100378787947,-32.20113958333333,117.19223020833333,18667.0,18731.0
25,5,6.8,3.4,142.0371561771535,0.6962605694958505,-32.19700163179412,117.18808230254929,18731.0,18935.0
26,7,8.8,4.4,519.1349184149184,1.9664201455110546,-32.12298924242424,116.9885841089466,19439.0,19703.0
27,2,2.0,1.0,139.98999999999955,2.333166666666659,-32.03781574074074,117.00228900462963,20001.0,20061.0
28,3,3.2,1.6,221.74181818181785,2.3098106060606027,-31.867987577160495,117.05084552469135,20497.0,20593.0
29,1,1.0666666666666667,0.5333333333333333,30.47999999999965,0.952499999999989,-31.558435185185186,117.16203148148148,21481.0,21513.0
30,1,1.8666666666666667,0.9333333333333333,33.490000000000336,0.5980357142857203,-31.553953333333332,117.15979,21513.0,21569.0
31,5,5.733333333333333,2.8666666666666667,297.7466666666653,1.7310852713178215,-31.549513164983164,117.15831792592591,21569.0,21741.0
32,6,6.266666666666667,3.1333333333333333,598.0384848484841,3.1810557704706603,-31.475247831790128,117.1692230169753,21941.0,22129.0
33,2,2.0,1.0,171.67000000000064,2.8611666666666773,-31.38642939814815,117.30707986111112,22643.0,22703.0
34,3,3.2,1.6,413.49029304029375,4.30719055250306,-31.393008697089943,117.65703981481482,23557.0,23653.0
35,8,8.4,4.2,571.1829870129884,2.266599154813446,-31.40393451291186,118.19222994641355,24869.0,25121.0
36,2,2.1333333333333333,1.0666666666666667,152.01515151515173,2.3752367424242458,-31.392704166666668,118.26816250000002,25325.0,25389.0
