circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,10856.0,10901.0,45.0,106.2062575356794,75.69818181818317,1.6821818181818482,211.29063592617794,22.77753876661691,-32.13846666666667,116.93429666666668
1,,11021.0,11056.0,35.0,114.9123694529402,37.18333333333389,1.0623809523809684,177.80847409147617,30.29034339112315,-32.14712291666667,116.93462083333333
2,,11056.0,11086.0,30.0,112.77057762105368,27.771428571429567,0.9257142857143189,149.56662386432473,33.77379156867844,-32.15069761904762,116.93449047619049
3,,11086.0,11131.0,45.0,111.32991854585184,62.47636363636477,1.3883636363636616,221.4838356323799,23.757036516589622,-32.15357,116.93485333333334
4,,11131.0,11161.0,30.0,101.47617238142595,15.514285714285855,0.5171428571428618,134.5869536712434,31.039470657618942,-32.154735714285714,116.93489285714284
5,,11161.0,11201.0,40.0,101.26690205696252,8.773333333332873,0.21933333333332183,179.07920037742676,24.247666413246645,-32.156111111111116,116.93508148148148
6,,11201.0,11226.0,25.0,108.48564425730987,12.428571428571349,0.49714285714285394,119.9029620698594,37.6696290040738,-32.15753888888889,116.93314166666666
7,,11226.0,11256.0,30.0,103.51558450506808,13.885714285714212,0.46285714285714036,137.29180800856994,31.545482177461512,-32.159509523809525,116.93198333333335
8,,11256.0,11306.0,50.0,104.29755534551542,16.472727272728076,0.3294545454545615,230.54821507832375,20.360816531506288,-32.16242272727274,116.93025000000002
9,,11544.0,11568.0,24.0,105.67332163720559,52.845803768045116,2.2019084903352133,112.12287661000673,38.073798261395744,-32.134131249999996,116.94700416666666
10,,11568.0,11611.0,43.0,111.48349726200738,74.79959062592646,1.7395253633936385,211.9320654122419,24.762221841156823,-32.13559871794872,116.94597435897437
11,,11611.0,11646.0,35.0,109.15978311100618,66.30000000000082,1.8942857142857377,168.90726872595943,29.025236786322235,-32.13956666666667,116.94463541666667
12,,11646.0,11681.0,35.0,113.05646080046108,73.0500000000006,2.087142857142874,174.93675290844357,29.885669165334306,-32.14264791666667,116.944175
13,,11681.0,11711.0,30.0,108.1087490232104,49.285714285714654,1.6428571428571552,143.3836816543754,32.665261233221216,-32.14525714285715,116.94411904761905
14,,11711.0,11741.0,30.0,107.80209458587579,55.92857142857156,1.8642857142857185,142.97696857501816,32.59135603359111,-32.147547619047614,116.94359761904762
15,,11741.0,11776.0,35.0,108.18476720434319,73.0166666666665,2.0861904761904713,167.39858788155595,28.807659748093776,-32.14982083333333,116.94483541666666
16,,11776.0,11811.0,35.0,109.59904611822907,48.600000000000854,1.388571428571453,169.58695782654073,29.12296102075618,-32.15217708333333,116.9458875
17,,12218.0,12248.0,30.0,107.08354982139974,58.24285714285697,1.9414285714285657,142.02396898252513,32.41770496707547,-32.06822619047619,116.93948095238095
18,,12248.0,12278.0,30.0,107.83860865654974,69.98571428571393,2.3328571428571308,143.0253968653529,32.600162503170196,-32.07094047619047,116.93873095238095
19,,12278.0,12308.0,30.0,106.26145892972058,72.385714285715,2.4128571428571663,140.9336370735121,32.218206764920275,-32.07253095238095,116.93818333333333
20,,13297.0,13327.0,30.0,104.81581119723397,75.34285714285721,2.511428571428574,139.01628721855516,31.86525564617432,-31.74739761904762,116.90226190476191
21,,13327.0,13357.0,30.0,101.59302892237937,61.11428571428555,2.0371428571428516,134.74193947228807,31.068611436497594,-31.748957142857144,116.90189047619049
22,,13357.0,13392.0,35.0,93.62823058087821,76.1333333333339,2.1752380952381114,144.87468051286345,25.451385642475458,-31.750022916666666,116.90125
23,,13392.0,13428.0,36.0,101.68211939780933,83.2048808564519,2.311246690456997,161.8321192622165,26.68028940140838,-31.751462500000002,116.8997875
24,,13428.0,13458.0,30.0,104.30542406388592,71.40000000000016,2.3800000000000052,138.3393652588648,31.739995592630017,-31.753490476190475,116.89907380952381
25,,13458.0,13488.0,30.0,107.38967088718456,70.2857142857147,2.3428571428571567,142.42997465589357,32.49176739979458,-31.755238095238095,116.89860238095238
26,,13488.0,13518.0,30.0,102.7284557962977,66.81428571428543,2.2271428571428475,136.24784613481705,31.350826385855175,-31.756083333333333,116.8989738095238
27,,13518.0,13543.0,25.0,101.60446104539763,66.9714285714289,2.678857142857156,112.29758483029829,35.86961220919054,-31.756755555555554,116.89881944444444
28,,13543.0,13593.0,50.0,97.82833518918468,111.61818181818303,2.2323636363636608,216.24809888624372,19.192965957612007,-31.758048484848484,116.89913787878787
29,,13593.0,13623.0,30.0,99.31046807789687,66.25714285714284,2.2085714285714277,131.71459912805972,30.496172074860144,-31.757700000000003,116.90005
30,,13623.0,13658.0,35.0,105.62955702938568,106.06666666666766,3.030476190476219,163.44480967338603,28.233130983866058,-31.759308333333333,116.89929583333334
31,,13658.0,13698.0,40.0,104.44854572842719,80.37333333333221,2.009333333333305,184.7055816826562,24.918147317517302,-31.76103333333333,116.89966851851854
32,,14418.0,14448.0,30.0,109.24551988142645,77.09999999999962,2.5699999999999874,144.89137083144124,32.93816426083411,-31.537985714285714,116.87243571428571
33,,14448.0,14468.0,20.0,107.23991513050993,76.3999999999998,3.8199999999999905,94.8209032765333,43.650530436866894,-31.53827,116.87086
34,,14468.0,14493.0,25.0,117.05607927516823,113.88571428571437,4.555428571428575,129.37537246944296,39.79542187784742,-31.538972222222224,116.87034444444446
35,,14493.0,14518.0,25.0,113.91280936032123,111.22857142857126,4.44914285714285,125.90129646652672,39.03043911713218,-31.53991666666667,116.86932222222224
