lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.13433378968254,116.95526629794973,2.4078947368421053,183.0,76.0,0,0,-32.133560912698414,116.95336509589947,-32.135106666666665,116.9571675,397.1554093076424,8.0,0.10526315789473684
-32.126157762896824,116.94660319704272,1.7,102.0,60.0,1,1,-32.12645198412698,116.94661160241876,-32.12586354166666,116.94659479166667,65.45105378824954,60.0,1.0
-32.09405176528945,116.95770804252257,2.3875,191.0,80.0,2,2,-32.092754324229695,116.95699624377528,-32.095349206349205,116.95841984126984,318.18008725344913,80.0,1.0
-31.835966871075357,116.99970449880806,2.1715686274509802,443.0,204.0,3,7,-31.835866113945578,116.99976027966741,-31.836067628205132,116.9996487179487,24.762066747561743,192.0,0.9411764705882353
-31.593972132285153,116.9989879792468,2.65,106.0,40.0,5,8,-31.593950325176365,116.9989411100088,-31.593993939393943,116.99903484848483,10.116543047691898,40.0,1.0
-31.572402797318425,117.00805164892978,1.9673913043478262,181.0,92.0,6,10,-31.57322156685907,117.00846232563731,-31.571584027777778,117.00764097222223,198.01532816505534,92.0,1.0
-31.47947136183261,117.0158420508658,2.0625,264.0,128.0,7,11,-31.47920130952381,117.01579773809524,-31.47974141414141,117.01588636363635,60.64217979109026,88.0,0.6875
-31.471029008838386,117.01239090458152,2.5625,328.0,128.0,8,12,-31.470875694444445,117.01219494047619,-31.471182323232327,117.01258686868685,50.43925582224306,76.0,1.0
-31.271787202380953,117.01765979662699,2.85,171.0,60.0,10,13,-31.27144107142857,117.01761646825396,-31.272133333333336,117.017703125,77.41545172670008,48.0,0.8
-31.258842885795623,117.01921319167161,2.5113636363636362,221.0,88.0,11,15,-31.258946641156463,117.01861189058958,-31.25873913043478,117.01981449275362,116.61661082278911,80.0,0.9090909090909091
-31.25125133101852,117.33481144179895,3.0372340425531914,571.0,188.0,12,19,-31.25171759259259,117.33433746693122,-31.250785069444447,117.33528541666668,137.37665140557033,176.0,0.9361702127659575
-31.312297739651413,117.43082284688182,3.878787878787879,512.0,132.0,13,21,-31.312418518518516,117.43072216435186,-31.312176960784313,117.43092352941177,32.9757479027971,104.0,0.8666666666666667
-31.507328916489435,117.69624909828127,3.215,643.0,200.0,14,25,-31.507756852586713,117.69601028806584,-31.506900980392157,117.6964879084967,105.3912517475866,200.0,1.0
-31.566515856481484,117.74568846450617,2.75,121.0,44.0,15,27,-31.566912268518518,117.74537970679012,-31.56611944444445,117.74599722222223,105.80473533453834,44.0,1.0
-31.763296576140874,117.95602936631944,3.1944444444444446,115.0,36.0,16,29,-31.76283148561508,117.95699539930555,-31.76376166666667,117.95506333333333,209.9115177609848,36.0,1.0
-31.857050643404946,118.12356541529714,2.5185185185185186,544.0,216.0,17,32,-31.856987044385658,118.12360143665491,-31.857114242424238,118.12352939393936,15.695313962647672,216.0,1.0
-31.905661251653438,118.20372865410053,2.4705882352941178,168.0,68.0,18,35,-31.90719657738095,118.2025943452381,-31.904125925925925,118.20486296296296,403.04021752272735,68.0,1.0
-32.029308414021166,118.3734181031746,2.7193877551020407,533.0,196.0,19,39,-32.029296494708994,118.37314087301587,-32.02932033333334,118.37369533333333,52.33538201034499,184.0,0.9387755102040817
-32.169776463081675,118.27194483024691,3.05,305.0,100.0,20,40,-32.169859336419755,118.27195632716048,-32.16969358974359,118.27193333333334,18.556855021765028,72.0,0.782608695652174
-32.22693041747888,118.20459943957115,3.9054054054054053,578.0,148.0,21,43,-32.226925308641974,118.20448703703704,-32.2269355263158,118.20471184210527,21.176711423162693,96.0,1.0
-32.59773354001323,117.62246710069444,2.1333333333333333,128.0,60.0,22,50,-32.597721246693126,117.62255295138888,-32.597745833333335,117.62238124999999,16.31548833389971,60.0,1.0
-32.6780046541807,117.51441135950277,1.9921875,255.0,128.0,23,52,-32.67995223765433,117.51522776951059,-32.67605707070707,117.51359494949496,459.2939667816137,128.0,1.0
-32.75190210929585,117.42468764121074,2.717391304347826,500.0,184.0,24,53,-32.75188648809524,117.42475648809523,-32.75191773049646,117.42461879432625,13.337155986637281,124.0,1.0
-32.74773860158918,117.42178168423298,2.630434782608696,484.0,184.0,25,54,-32.74752330246914,117.42156797839505,-32.74795390070921,117.42199539007092,62.37241302656417,124.0,1.0
-32.910866966991335,117.18020937770564,2.5,100.0,40.0,27,56,-32.91150363095238,117.18005511904762,-32.910230303030296,117.18036363636365,144.48720709552035,40.0,1.0
-32.78674306191493,117.16124875992062,2.2291666666666665,107.0,48.0,28,57,-32.7860271494709,117.16111418650793,-32.78745897435898,117.16138333333333,161.18763137638416,48.0,1.0
-32.45895077584453,117.06538496642247,2.5,120.0,48.0,30,59,-32.462964372201874,117.0656660866911,-32.45493717948718,117.06510384615385,894.1417803228941,48.0,1.0
