circle_cluster_id,alt_cluster_id,dist_m,time_overlap_s,overlap_frac,circle_lat,circle_lon,alt_lat,alt_lon,lat,lon,lat_mean,lon_mean
8.0,5.0,103.76165091365694,112.0,1.0,-32.12984681818182,116.95866929292932,-32.12901814814814,116.95917592592588,-32.12984681818182,116.95866929292932,-32.129432483164976,116.95892260942759
9.0,5.0,463.8253888555494,8.0,0.2222222222222222,-32.13312499999999,116.96003833333334,-32.12901814814814,116.95917592592588,-32.13312499999999,116.96003833333334,-32.13107157407407,116.9596071296296
9.0,6.0,150.22739604837363,24.0,0.6666666666666666,-32.13312499999999,116.96003833333334,-32.13439803921568,116.96057254901962,-32.13312499999999,116.96003833333334,-32.13376151960784,116.96030544117647
10.0,6.0,152.91922825842155,40.0,0.9090909090909091,-32.13573333333334,116.96096111111112,-32.13439803921568,116.96057254901962,-32.13573333333334,116.96096111111112,-32.135065686274515,116.96076683006537
11.0,7.0,199.56168953905959,32.0,1.0,-32.14006277777778,116.9614763888889,-32.13827222222222,116.96162037037035,-32.14006277777778,116.9614763888889,-32.1391675,116.96154837962962
11.0,8.0,70.88606586777999,28.0,1.0,-32.14006277777778,116.9614763888889,-32.13948333333333,116.9611625,-32.14006277777778,116.9614763888889,-32.13977305555555,116.96131944444446
11.0,9.0,77.43719660731645,20.0,1.0,-32.14006277777778,116.9614763888889,-32.140502777777776,116.9621138888889,-32.14006277777778,116.9614763888889,-32.14028277777778,116.9617951388889
11.0,10.0,302.4357055185052,20.0,0.625,-32.14006277777778,116.9614763888889,-32.14277777777778,116.96166851851854,-32.14006277777778,116.9614763888889,-32.14142027777778,116.96157245370372
12.0,10.0,121.05669610870962,12.0,0.375,-32.14356500000001,116.96255666666666,-32.14277777777778,116.96166851851854,-32.14356500000001,116.96255666666666,-32.143171388888895,116.9621125925926
13.0,11.0,175.0285744652838,28.0,0.6363636363636364,-32.146519230769236,116.96299615384616,-32.14805277777778,116.96341527777776,-32.146519230769236,116.96299615384616,-32.14728600427351,116.96320571581197
14.0,11.0,256.03967187939395,16.0,0.36363636363636365,-32.14982435897436,116.96515256410255,-32.14805277777778,116.96341527777776,-32.14982435897436,116.96515256410255,-32.14893856837607,116.96428392094015
17.0,15.0,148.19733288784104,12.0,0.5,-32.390163333333334,116.99329,-32.38885,116.99302142857144,-32.390163333333334,116.99329,-32.38950666666666,116.99315571428572
17.0,16.0,120.03460217134223,20.0,0.625,-32.390163333333334,116.99329,-32.391201851851854,116.99363888888888,-32.390163333333334,116.99329,-32.3906825925926,116.99346444444444
18.0,16.0,92.01526619919547,12.0,0.375,-32.39185370370371,116.99424259259256,-32.391201851851854,116.99363888888888,-32.39185370370371,116.99424259259256,-32.39152777777778,116.99394074074073
20.0,20.0,184.10321290174417,24.0,0.75,-32.313657407407405,116.99012037037036,-32.31201862745098,116.9898411764706,-32.313657407407405,116.99012037037036,-32.31283801742919,116.98998077342048
