cluster_id,n_circles,n_turns_sum,duration_min,alt_gained_m,av_climb_ms,lat,lon,t_start,t_end
1,1,0.8,0.4,42.853333333332955,1.7855555555555398,-31.673924074074073,117.22668148148148,10616.0,10640.0
2,1,1.3,0.65,66.36571428571364,1.701684981684965,-31.76078333333334,117.24488452380947,10865.0,10904.0
3,1,0.9,0.45,28.91999999999939,1.0711111111110885,-31.797706666666663,117.274585,11024.0,11051.0
4,1,0.9,0.45,27.239999999999977,1.008888888888888,-31.799525,117.27717833333334,11051.0,11078.0
5,20,15.8,7.9,932.2666666666635,1.96680731364275,-31.80769011468855,117.29061527609426,11078.0,11552.0
6,3,2.4,1.2,116.6933333333314,1.6207407407407137,-31.816912345679015,117.30802592592595,11552.0,11624.0
7,1,1.0,0.5,67.27272727272633,2.242424242424211,-31.954998484848485,117.33912121212124,11924.0,11954.0
8,1,1.3,0.65,112.21714285714296,2.87736263736264,-31.95816547619048,117.34367738095236,11954.0,11993.0
9,1,0.9,0.45,68.11636363636458,2.5228282828283177,-31.960138333333333,117.34636666666664,11993.0,12020.0
10,3,2.6,1.3,158.14424242424246,2.027490287490288,-31.96249716049383,117.34957604938273,12020.0,12098.0
11,7,6.0,3.0,347.6874125874106,1.9315967365967257,-32.420987751322755,117.28965121693122,13226.0,13406.0
12,1,0.9,0.45,57.39272727272742,2.125656565656571,-32.54293,117.29296499999998,13721.0,13748.0
13,1,0.8,0.4,53.439999999998975,2.226666666666624,-32.54381296296296,117.29522962962965,13748.0,13772.0
14,1,0.9,0.45,69.91636363636397,2.589494949494962,-32.559401666666666,117.29515166666664,13859.0,13886.0
15,1,0.8,0.4,51.46666666666532,2.1444444444443884,-32.56039444444444,117.2970925925926,13886.0,13910.0
16,1,0.8,0.4,54.42666666666656,2.2677777777777735,-32.56157592592593,117.29895925925926,13910.0,13934.0
17,1,0.8,0.4,56.66666666666541,2.3611111111110588,-32.56253888888889,117.30080925925928,13934.0,13958.0
18,1,0.8,0.4,55.49333333333299,2.312222222222208,-32.56375185185185,117.30248703703704,13958.0,13982.0
19,1,0.8,0.4,51.999999999999815,2.166666666666659,-32.56524259259258,117.30427962962962,13982.0,14006.0
20,2,1.6,0.8,107.30666666666644,2.235555555555551,-32.5668462962963,117.30696574074074,14006.0,14054.0
21,4,3.1,1.55,315.12333333333345,3.3884229390681018,-32.935530671296306,117.27326805555555,15026.0,15119.0
22,1,1.0,0.5,76.58181818181727,2.552727272727242,-33.07095454545454,117.26119545454544,15428.0,15458.0
23,1,1.0,0.5,56.527272727272816,1.8842424242424272,-33.07158484848485,117.26325454545454,15458.0,15488.0
24,8,6.4,3.2,618.6333333333326,3.2220486111111075,-33.13963677662038,117.2724763773148,15692.0,15884.0
25,1,0.8,0.4,83.38666666666643,3.4744444444444347,-33.484205555555555,117.41216481481482,16622.0,16646.0
26,1,0.8,0.4,68.4266666666669,2.851111111111121,-33.48550185185186,117.41390925925928,16646.0,16670.0
27,1,0.8,0.4,58.31999999999958,2.4299999999999824,-33.48684074074074,117.41583703703704,16670.0,16694.0
28,1,0.8,0.4,58.453333333333205,2.4355555555555504,-33.48793518518518,117.4179962962963,16694.0,16718.0
29,2,1.8,0.9,105.6109090909107,1.9557575757576056,-33.48853166666667,117.4212425,16718.0,16772.0
30,1,0.8,0.4,31.65333333333156,1.318888888888815,-33.48325555555555,117.53096851851852,17297.0,17321.0
31,2,2.8,1.4,144.19999999999885,1.716666666666653,-33.48119,117.53481500000001,17321.0,17405.0
32,1,0.9,0.45,70.72363636363623,2.6193939393939343,-33.37554666666667,117.534015,17726.0,17753.0
33,1,0.9,0.45,80.44363636363543,2.979393939393905,-33.37573999999999,117.53646166666668,17753.0,17780.0
34,1,1.4,0.7,-29.060000000001505,-0.6919047619047978,-33.375532222222226,117.54006,17780.0,17822.0
35,2,1.6,0.8,152.0799999999998,3.1683333333333294,-33.13718240740741,117.79098055555556,18545.0,18593.0
36,1,0.8,0.4,71.99999999999994,2.999999999999998,-33.138562962962965,117.79365185185183,18593.0,18617.0
37,1,0.8,0.4,77.54666666666562,3.2311111111110673,-33.13972962962963,117.79558703703702,18617.0,18641.0
38,1,0.8,0.4,70.66666666666728,2.94444444444447,-33.14083518518518,117.79745925925926,18641.0,18665.0
39,4,3.3,1.65,244.91151515151435,2.4738536883991347,-33.143426990740736,117.80170259259259,18665.0,18764.0
40,6,4.9,2.45,435.5199999999982,2.962721088435362,-32.937648827160494,117.84940969135802,19388.0,19535.0
41,1,0.8,0.4,100.45333333333322,4.185555555555551,-32.92614074074074,117.87599444444444,19619.0,19643.0
42,1,0.8,0.4,103.28000000000031,4.303333333333346,-32.92740925925926,117.87754629629627,19643.0,19667.0
43,1,0.9,0.45,98.70545454545476,3.6557575757575838,-32.92881166666667,117.87932333333332,19667.0,19694.0
44,1,0.8,0.4,69.97333333333304,2.9155555555555437,-32.930112962962966,117.88098148148148,19694.0,19718.0
45,1,0.9,0.45,58.12363636363808,2.1527272727273363,-32.93141,117.88257000000002,19718.0,19745.0
46,2,2.0,1.0,215.9531468531457,3.5992191142190952,-32.45251805555556,118.30873944444446,21272.0,21332.0
47,1,1.2,0.6,159.23076923076724,4.423076923076867,-32.43949487179487,118.32353589743592,21488.0,21524.0
48,1,0.9,0.45,78.57818181818187,2.9103030303030324,-32.44015333333333,118.32607166666664,21524.0,21551.0
49,1,0.8,0.4,64.63999999999935,2.6933333333333063,-32.44105925925926,118.32869444444444,21551.0,21575.0
50,2,1.6,0.8,154.9066666666664,3.227222222222217,-32.44218055555556,118.33163703703704,21575.0,21623.0
51,1,1.1,0.55,75.23846153846011,2.2799533799533367,-32.44368333333333,118.33455555555554,21623.0,21656.0
52,1,0.9,0.45,72.08727272727117,2.669898989898932,-32.363328333333335,118.34447666666668,22001.0,22028.0
53,1,0.9,0.45,63.68727272727291,2.3587878787878855,-32.364583333333336,118.34662666666664,22028.0,22055.0
54,1,0.9,0.45,92.61818181818067,3.430303030302988,-32.30652833333333,118.40921500000002,22229.0,22256.0
55,1,1.0,0.5,84.9454545454525,2.8315151515150836,-32.30722424242425,118.41171212121212,22256.0,22286.0
56,2,2.2,1.1,200.7948051948046,3.042345533254615,-32.30872297619048,118.41328523809526,22286.0,22352.0
57,1,0.9,0.45,73.00363636363647,2.703838383838388,-32.31012833333333,118.41534833333333,22352.0,22379.0
58,1,1.2,0.6,117.29670329670228,3.25824175824173,-32.09957435897435,118.59796666666668,22916.0,22952.0
59,1,1.0,0.5,82.78181818181687,2.7593939393938958,-32.100972727272726,118.59932121212124,22952.0,22982.0
60,2,1.6,0.8,143.86666666666574,2.9972222222222027,-31.68013703703704,119.00667129629629,24452.0,24500.0
61,1,0.8,0.4,69.49333333333334,2.8955555555555557,-31.68149814814815,119.00951296296296,24500.0,24524.0
62,1,0.9,0.45,66.77454545454542,2.473131313131312,-31.68283166666667,119.01163833333337,24524.0,24551.0
63,1,0.8,0.4,57.520000000000394,2.396666666666683,-31.68447962962963,119.01395555555554,24551.0,24575.0
64,1,0.9,0.45,72.22909090909107,2.675151515151521,-31.685239999999993,119.01652333333334,24575.0,24602.0
65,2,1.6,0.8,130.50666666666436,2.718888888888841,-31.68627685185185,119.01979351851853,24602.0,24650.0
66,1,0.9,0.45,54.10909090909068,2.0040404040403956,-31.686791666666664,119.02289999999998,24650.0,24677.0
67,2,2.3,1.15,42.214545454545984,0.6118050065876229,-31.686609999999998,119.02552,24677.0,24746.0
68,1,1.3,0.65,23.148571428571312,0.5935531135531106,-31.25159047619048,119.37317023809524,26099.0,26138.0
69,1,1.9,0.95,46.47428571428487,0.8153383458646468,-31.249644166666663,119.3818125,26138.0,26195.0
70,15,12.2,6.1,749.5151515151451,2.047855605232637,-31.250192827160493,119.38961881481482,26195.0,26561.0
71,1,1.3,0.65,55.199999999999186,1.4153846153845946,-31.255014285714285,119.39938095238097,26561.0,26600.0
72,3,2.7,1.35,115.0145454545457,1.419932659932663,-31.25664055555556,119.40230111111111,26600.0,26681.0
73,1,1.0,0.5,51.09090909090808,1.7030303030302691,-31.277287878787877,119.2153181818182,27410.0,27440.0
74,3,2.4,1.2,136.5333333333323,1.8962962962962822,-31.278788271604938,119.2199,27440.0,27512.0
75,4,3.4,1.7,209.68848484848354,2.0557694592988582,-31.280970972222224,119.22610532407407,27512.0,27614.0
76,2,1.9,0.95,119.08363636363447,2.08918660287078,-31.31117409090909,118.97173409090908,28244.0,28301.0
77,13,11.4,5.7,798.7121212121187,2.3354155590997623,-31.308349397176894,118.96660500777003,28370.0,28712.0
78,1,1.0,0.5,79.41818181818061,2.647272727272687,-31.363101515151516,118.69481212121214,29429.0,29459.0
79,1,1.1,0.55,74.86923076922916,2.26876456876452,-31.36447638888889,118.69679583333334,29459.0,29492.0
80,2,2.0,1.0,145.1999999999995,2.419999999999992,-31.36665378787879,118.69953333333333,29492.0,29552.0
81,1,1.1,0.55,70.09999999999793,2.1242424242423614,-31.368365277777773,118.70239444444444,29552.0,29585.0
82,1,1.1,0.55,67.19999999999807,2.036363636363578,-31.36961666666667,118.70465972222222,29585.0,29618.0
83,1,0.9,0.45,48.741818181817905,1.805252525252515,-31.505926666666664,118.090695,31037.0,31064.0
84,1,0.9,0.45,49.04727272727301,1.8165656565656672,-31.506083333333333,118.09319666666666,31064.0,31091.0
85,1,0.9,0.45,53.89090909090895,1.9959595959595906,-31.50629499999999,118.09557,31091.0,31118.0
86,1,0.9,0.45,49.3199999999998,1.8266666666666593,-31.506711666666668,118.09797999999998,31118.0,31145.0
87,1,0.9,0.45,52.21090909090832,1.9337373737373453,-31.507413333333336,118.1001883333333,31145.0,31172.0
88,2,1.8,0.9,87.92727272727276,1.628282828282829,-31.508796666666665,118.10296083333334,31172.0,31226.0
89,1,1.0,0.5,48.8727272727262,1.6290909090908734,-31.50424242424242,118.09798333333332,31316.0,31346.0
90,1,0.9,0.45,47.934545454545656,1.7753535353535428,-31.505159999999997,118.10080666666668,31346.0,31373.0
91,1,0.9,0.45,39.94909090909067,1.4795959595959507,-31.506083333333333,118.103315,31373.0,31400.0
92,1,0.9,0.45,36.610909090909104,1.3559595959595965,-31.50690666666667,118.10536833333332,31400.0,31427.0
93,1,0.9,0.45,36.78545454545488,1.362424242424255,-31.507773333333336,118.10751666666668,31427.0,31454.0
