t_start,t_end,duration_s,alt_gain_m,climb_rate_ms,lat,lon,cluster_id
9931,10063,132,404,3.0606060606060606,-31.637220370370375,117.2016940740741,0
10066,10093,27,65,2.4074074074074074,-31.658456666666666,117.20245833333334,1
10096,10195,99,232,2.3434343434343434,-31.64564460784314,117.22442450980392,2
10198,10233,35,95,2.7142857142857144,-31.622674999999997,117.23424000000003,3
10250,10303,53,135,2.547169811320755,-31.62256,117.2177,4
10559,10583,24,58,2.4166666666666665,-31.671777777777777,117.22415555555555,5
10589,10610,21,52,2.4761904761904763,-31.673404166666664,117.22523541666666,6
10865,10901,36,65,1.8055555555555556,-31.760742307692315,117.24468846153844,7
11009,11030,21,32,1.5238095238095237,-31.797133333333335,117.273525,8
11108,11129,21,37,1.7619047619047619,-31.801652083333334,117.28034375000001,9
11138,11189,51,124,2.4313725490196076,-31.80247314814815,117.28287592592594,10
11201,11288,87,219,2.5172413793103448,-31.80505388888889,117.28642111111111,11
11333,11384,51,101,1.9803921568627452,-31.809578703703703,117.29285555555556,12
11420,11477,57,134,2.3508771929824563,-31.812213333333336,117.29818500000002,13
11483,11507,24,53,2.2083333333333335,-31.813862962962965,117.30088333333333,14
11582,11633,51,85,1.6666666666666667,-31.817600925925927,117.30967777777778,15
11882,11912,30,129,4.3,-31.95065606060606,117.3352893939394,16
11924,11981,57,158,2.7719298245614037,-31.95628750000001,117.341095,17
11984,12017,33,93,2.8181818181818183,-31.959881944444447,117.34561527777778,18
12020,12053,33,85,2.5757575757575757,-31.96132916666667,117.34861944444445,19
12452,12476,24,144,6.0,-32.13900555555555,117.31932222222223,20
13196,13220,24,88,3.6666666666666665,-32.41596666666666,117.28583518518518,21
13223,13244,21,59,2.8095238095238093,-32.41876875,117.28503541666666,22
13247,13304,57,129,2.263157894736842,-32.419686666666664,117.287925,23
13307,13328,21,53,2.5238095238095237,-32.42119375,117.29051666666666,24
13331,13364,33,63,1.9090909090909092,-32.422670833333335,117.2920763888889,25
13565,13586,21,82,3.9047619047619047,-32.49624166666666,117.28552291666666,26
13682,13769,87,230,2.6436781609195403,-32.542675,117.29207111111114,27
13814,13868,54,205,3.7962962962962963,-32.55810175438596,117.29309122807021,28
13871,13907,36,82,2.2777777777777777,-32.56024871794872,117.29609871794871,29
13955,13988,33,86,2.606060606060606,-32.56395138888889,117.30265972222223,30
14009,14069,60,128,2.1333333333333333,-32.56705873015873,117.30740317460318,31
14294,14318,24,148,6.166666666666667,-32.67382962962964,117.28258703703702,32
14894,14918,24,50,2.0833333333333335,-32.904494444444445,117.27660740740741,33
14987,15149,162,568,3.506172839506173,-32.934609696969694,117.27286,34
15392,15425,33,147,4.454545454545454,-33.066697222222224,117.26074583333336,35
15662,15842,180,669,3.716666666666667,-33.13871639344262,117.27036256830601,36
16619,16712,93,269,2.89247311827957,-33.4858421875,117.4147859375,37
16739,16760,21,57,2.7142857142857144,-33.48862916666667,117.42178333333334,38
16949,16970,21,84,4.0,-33.56353541666667,117.43058125,39
17252,17279,27,141,5.222222222222222,-33.483176666666665,117.52668000000001,40
17282,17309,27,64,2.3703703703703702,-33.483250000000005,117.53043166666666,41
17339,17366,27,52,1.9259259259259258,-33.481743333333334,117.535635,42
17384,17411,27,81,3.0,-33.47961833333333,117.53405833333336,43
17486,17507,21,122,5.809523809523809,-33.44665416666667,117.5391875,44
17630,17654,24,137,5.708333333333333,-33.38580185185185,117.52925185185187,45
17687,17720,33,116,3.515151515151515,-33.375463888888895,117.530775,46
17723,17744,21,72,3.4285714285714284,-33.37541875,117.53324375,47
17747,17786,39,116,2.9743589743589745,-33.375745238095234,117.53643571428573,48
18119,18146,27,158,5.851851851851852,-33.24012166666667,117.641435,49
18155,18176,21,86,4.095238095238095,-33.240624999999994,117.64799375000001,50
18488,18632,144,507,3.5208333333333335,-33.137611224489795,117.78882380952382,51
18635,18746,111,303,2.72972972972973,-33.14234254385966,117.79998421052635,52
18806,18827,21,68,3.238095238095238,-33.14189375,117.81187499999999,53
19223,19250,27,97,3.5925925925925926,-32.96794833333333,117.87469166666668,54
19265,19298,33,97,2.9393939393939394,-32.955130555555556,117.86647777777779,55
19340,19508,168,595,3.5416666666666665,-32.93648421052632,117.848566374269,56
19511,19532,21,78,3.7142857142857144,-32.940164583333335,117.85214583333334,57
19577,19760,183,705,3.8524590163934427,-32.928585215053765,117.87800161290323,58
20135,20162,27,149,5.518518518518518,-32.775394999999996,118.030855,59
20468,20492,24,189,7.875,-32.64117962962963,118.12589444444444,60
20498,20519,21,56,2.6666666666666665,-32.633808333333334,118.12180833333333,61
20777,20801,24,95,3.9583333333333335,-32.55560185185185,118.20874814814813,62
20951,20975,24,55,2.2916666666666665,-32.51884259259259,118.21997592592591,63
21179,21200,21,68,3.238095238095238,-32.45828958333334,118.2759375,64
21272,21320,48,194,4.041666666666667,-32.45232843137255,118.30867058823529,65
21341,21386,45,97,2.1555555555555554,-32.44672291666667,118.32075416666666,66
21485,21506,21,108,5.142857142857143,-32.43971875,118.32292083333333,67
21509,21590,81,260,3.2098765432098766,-32.440806547619054,118.32737559523811,68
21593,21635,42,130,3.0952380952380953,-32.44295777777777,118.33297666666665,69
21674,21695,21,54,2.5714285714285716,-32.444112499999996,118.34552500000001,70
21965,22070,105,291,2.7714285714285714,-32.363312500000006,118.34437685185185,71
22169,22253,84,364,4.333333333333333,-32.3079224137931,118.40417298850575,72
22256,22325,69,198,2.869565217391304,-32.30779652777778,118.41279583333333,73
22352,22379,27,78,2.888888888888889,-32.31012833333333,118.41534833333333,74
22721,22760,39,154,3.948717948717949,-32.155367857142856,118.56118928571428,75
22850,22931,81,331,4.08641975308642,-32.10234583333334,118.59879047619047,76
22934,22964,30,111,3.7,-32.10065757575757,118.5978924242424,77
22967,23000,33,75,2.272727272727273,-32.101734722222226,118.600075,78
23018,23081,63,211,3.3492063492063493,-32.099964393939395,118.59300984848483,79
23141,23177,36,207,5.75,-32.06557564102564,118.6170692307692,80
23264,23288,24,193,8.041666666666666,-32.012616666666666,118.64356111111111,81
23387,23417,30,170,5.666666666666667,-31.961813636363637,118.65975454545455,82
23597,23633,36,128,3.5555555555555554,-31.889080769230766,118.74947179487178,83
24086,24107,21,155,7.380952380952381,-31.736897916666667,118.88987708333335,84
24203,24227,24,54,2.25,-31.697444444444443,118.93732777777778,85
24254,24278,24,98,4.083333333333333,-31.687033333333336,118.94245925925927,86
24425,24452,27,95,3.5185185185185186,-31.678795,119.00354,87
24458,24494,36,121,3.361111111111111,-31.680287179487184,119.00705128205128,88
24497,24539,42,133,3.1666666666666665,-31.681750000000005,119.01026,89
24542,24596,54,139,2.574074074074074,-31.684298245614034,119.01441578947369,90
24599,24668,69,180,2.608695652173913,-31.686235416666666,119.02026944444445,91
24872,24899,27,146,5.407407407407407,-31.62267833333333,119.05482500000001,92
25007,25034,27,80,2.962962962962963,-31.573343333333337,119.03784166666667,93
25043,25076,33,92,2.787878787878788,-31.570913888888885,119.04353611111111,94
25082,25103,21,44,2.0952380952380953,-31.569710416666666,119.04586666666667,95
25112,25145,33,86,2.606060606060606,-31.561466666666664,119.04861944444444,96
26156,26282,126,258,2.0476190476190474,-31.248725581395345,119.38510813953486,97
26285,26483,198,436,2.202020202020202,-31.250262935323388,119.38969477611938,98
26588,26612,24,49,2.0416666666666665,-31.25556111111111,119.4005111111111,99
26615,26636,21,37,1.7619047619047619,-31.256277083333334,119.40164166666668,100
26921,26945,24,66,2.75,-31.260840740740743,119.39276666666666,101
27101,27122,21,38,1.8095238095238095,-31.269529166666665,119.31940416666667,102
27344,27374,30,139,4.633333333333334,-31.277265151515152,119.21213333333334,103
27422,27476,54,106,1.962962962962963,-31.27833421052631,119.21766228070175,104
27479,27581,102,224,2.196078431372549,-31.280310476190472,119.22419714285715,105
27614,27641,27,55,2.037037037037037,-31.281950000000002,119.23037333333332,106
27734,27755,21,141,6.714285714285714,-31.28683125,119.17734583333333,107
27962,27995,33,123,3.727272727272727,-31.270854166666666,119.05805416666665,108
28166,28193,27,107,3.962962962962963,-31.306418333333333,118.96566499999999,109
28223,28250,27,54,2.0,-31.30886,118.96707666666666,110
28295,28319,24,64,2.6666666666666665,-31.31068148148148,118.97342407407407,111
28340,28373,33,140,4.242424242424242,-31.304934722222217,118.9592152777778,112
28391,28424,33,83,2.515151515151515,-31.30538611111111,118.9599236111111,113
28454,28517,63,143,2.2698412698412698,-31.30711287878788,118.96512575757575,114
28520,28547,27,50,1.8518518518518519,-31.308128333333332,118.96800833333334,115
28565,28655,90,245,2.7222222222222223,-31.309990860215056,118.96923064516129,116
28658,28703,45,94,2.088888888888889,-31.312184375,118.97265208333334,117
28895,28928,33,123,3.727272727272727,-31.33442638888889,118.87696111111113,118
29003,29027,24,150,6.25,-31.359548148148146,118.83403333333334,119
29156,29177,21,94,4.476190476190476,-31.379754166666668,118.7796,120
29210,29234,24,156,6.5,-31.364305555555557,118.76169074074076,121
