cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.15158913043479,116.93820652173912,194.0,216.0,5.681818181818182,125.0,22.0
1,-32.1515079710145,116.93248333333335,217.0,239.0,4.863636363636363,107.0,22.0
2,-32.150463888888886,116.93554861111112,323.0,346.0,5.086956521739131,117.0,23.0
3,-32.106129629629635,116.94641666666666,626.0,661.0,3.2285714285714286,113.0,35.0
4,-32.345616269841265,116.98807738095238,1629.0,1671.0,6.0,252.0,42.0
5,-32.34505,116.99018749999999,1672.0,1687.0,7.866666666666666,118.0,15.0
6,-32.343202777777776,116.99188611111111,1746.0,1757.0,11.727272727272727,129.0,11.0
7,-32.45509918699187,116.99411016260166,2145.0,2185.0,5.025,201.0,40.0
8,-32.500864814814804,117.00316666666669,2361.0,2378.0,5.9411764705882355,101.0,17.0
9,-32.62297067901234,117.03076728395061,2802.0,2855.0,4.849056603773585,257.0,53.0
10,-32.76460172413793,117.00571149425286,3387.0,3415.0,4.535714285714286,127.0,28.0
11,-32.86189722222221,117.19186527777778,4564.0,4575.0,10.454545454545455,115.0,11.0
12,-32.85064015151515,117.24177954545456,4695.0,4716.0,9.0,189.0,21.0
13,-32.84828222222222,117.30193222222222,4888.0,4902.0,8.142857142857142,114.0,14.0
14,-32.84465964912281,117.3092298245614,5052.0,5070.0,6.611111111111111,119.0,18.0
15,-32.84324615384616,117.30736282051285,5075.0,5087.0,8.666666666666666,104.0,12.0
