circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,10107.0,10131.0,24.0,99.22456082762493,22.371428571428453,0.9321428571428522,105.28052887892636,36.33659927936351,-32.12862619047619,116.95406904761903
1,,10131.0,10155.0,24.0,97.43016627298508,35.27142857142897,1.4696428571428737,103.37661712407228,35.838887500339666,-32.12821666666667,116.95358095238097
2,,10155.0,10183.0,28.0,97.0885323437576,41.53333333333375,1.4833333333333483,120.18315431147185,31.670641846554474,-32.12835833333333,116.95355833333333
3,,10183.0,10211.0,28.0,102.23972688692413,36.666666666667034,1.3095238095238226,126.55967266770593,33.009199378705475,-32.128647916666665,116.95328749999999
4,,10211.0,10239.0,28.0,106.8839644724798,47.05,1.6803571428571427,132.3086433126398,34.18221353446322,-32.12899375,116.9523
5,,10239.0,10267.0,28.0,104.10356876824684,6.566666666667022,0.2345238095238222,128.86686993423862,33.48379200404142,-32.12909583333334,116.95201458333334
6,,10267.0,10299.0,32.0,109.95669706491714,14.586666666666805,0.45583333333333764,155.55690545724144,31.43895192429925,-32.12944444444445,116.95069814814815
7,,10299.0,10335.0,36.0,101.30278672797779,-13.865454545454737,-0.38515151515152046,161.22839256741716,26.594469209589953,-32.130026666666666,116.94934
8,,10335.0,10379.0,44.0,114.09866202469757,-2.346153846154317,-0.05332167832168902,221.9478074171373,24.766524697996736,-32.1311013888889,116.94690555555555
9,,10379.0,10411.0,32.0,104.69409188634091,24.453333333332733,0.7641666666666479,148.11184209980667,30.202707285889986,-32.13312037037037,116.94432777777777
10,,10411.0,10439.0,28.0,98.94348496287047,26.966666666667166,0.9630952380952559,122.47934781117351,32.15722273503129,-32.13375833333333,116.94317083333334
11,,10439.0,10467.0,28.0,94.88406525388115,16.799999999999994,0.5999999999999998,117.45430671184884,31.085677553181128,-32.13451458333333,116.94227083333334
12,,10467.0,10495.0,28.0,101.06923586250495,9.000000000000783,0.32142857142859943,125.11075486029806,32.70851741058999,-32.13525416666667,116.94178958333333
13,,10495.0,10531.0,36.0,99.49277507114432,6.589090909090988,0.1830303030303052,158.34766954502717,26.18319906769444,-32.136354999999995,116.94076666666668
14,,10531.0,10583.0,52.0,102.82221238117904,-0.8971428571427844,-0.017252747252745854,236.37847075713472,19.381712007772645,-32.13578452380953,116.94048095238095
15,,10583.0,10619.0,36.0,104.16176229669973,-3.687272727272873,-0.10242424242424647,165.77859350682775,27.238101866772112,-32.134528333333336,116.94213833333333
16,,10619.0,10651.0,32.0,110.99148468958293,1.0133333333331902,0.031666666666662194,157.02083048404927,31.67829300356861,-32.135953703703706,116.9414111111111
17,,10651.0,10695.0,44.0,111.8498188594996,-21.99230769230814,-0.499825174825185,217.57329678849678,24.335475131157757,-32.135538888888895,116.94158194444445
18,,10695.0,10723.0,28.0,108.84003486308556,23.90000000000012,0.8535714285714329,134.7300076480889,34.66674765111876,-32.13749166666666,116.94407916666668
19,,10723.0,10743.0,20.0,102.33742745885698,22.171428571428528,1.1085714285714263,90.48615246325194,42.31345519488803,-32.13849166666667,116.94410833333335
20,,10743.0,10771.0,28.0,106.25296736487437,24.916666666666515,0.889880952380947,131.5275498001235,34.024710797169675,-32.139116666666666,116.94385
21,,10987.0,11015.0,28.0,107.13464003691222,47.516666666667035,1.6970238095238226,132.61894751968688,34.24462181691786,-32.085377083333334,116.96280833333333
22,,11015.0,11039.0,24.0,100.96139740331432,40.45714285714267,1.685714285714278,107.12336972135148,36.81236471648597,-32.085528571428576,116.96150952380951
23,,11039.0,11063.0,24.0,102.06042205751775,24.94285714285739,1.0392857142857246,108.28947109666039,37.11039654155459,-32.085699999999996,116.96106904761905
24,,11063.0,11087.0,24.0,101.86039947127168,31.542857142857606,1.3142857142857336,108.0772405411198,37.056328307328094,-32.08642380952381,116.9607761904762
25,,11087.0,11115.0,28.0,103.86118216480138,16.350000000000545,0.5839285714285909,128.5668263980795,33.42236419094547,-32.087035416666666,116.95995624999999
26,,11115.0,11147.0,32.0,109.14895924073414,-6.13333333333366,-0.19166666666667687,154.41419019109907,31.25127247586103,-32.087588888888895,116.95858518518519
27,,11303.0,11331.0,28.0,110.55383937354425,1.5833333333330728,0.05654761904760974,136.85147788734312,35.0866654330853,-32.05196458333334,116.97078125
28,,11331.0,11351.0,20.0,105.62982717104218,19.914285714285246,0.9957142857142622,93.39727295674422,43.21780404650275,-32.05283333333333,116.96892777777778
29,,11351.0,11375.0,24.0,106.00164463880098,26.87142857142895,1.119642857142873,112.4712381342379,38.16011538327939,-32.05280238095238,116.96862857142858
30,,11375.0,11403.0,28.0,106.40811749914054,23.70000000000031,0.8464285714285824,131.71960577293333,34.063492080522536,-32.052452083333336,116.96750833333334
31,,11403.0,11431.0,28.0,108.14702985645818,21.100000000000033,0.7535714285714298,133.87215630726084,34.49572710729271,-32.053020833333335,116.96692291666666
32,,11431.0,11455.0,24.0,105.23036285330463,24.814285714285916,1.0339285714285797,111.65288274304797,37.95701936207875,-32.054204761904764,116.96619285714287
33,,11455.0,11483.0,28.0,106.43596034717088,1.516666666666737,0.05416666666666918,131.75407164877385,34.070447917374516,-32.054464583333335,116.96531875
34,,11639.0,11663.0,24.0,111.86661627103138,22.41428571428599,0.933928571428583,118.69416630999262,39.66800706788238,-32.02397142857143,116.97275238095237
35,,11663.0,11687.0,24.0,94.43363254478881,29.142857142857395,1.2142857142857248,100.19719609084547,34.99361770312742,-32.024540476190474,116.9716
36,,11687.0,11711.0,24.0,94.79904292020001,10.414285714285802,0.43392857142857505,100.58490854087052,35.097644346801104,-32.02490238095238,116.97133571428571
37,,11711.0,11743.0,32.0,105.07724753055653,-5.4666666666668196,-0.1708333333333381,148.65389645314423,30.293789513343878,-32.02477222222222,116.97159259259259
38,,11743.0,11775.0,32.0,106.82136659160703,-8.239999999999908,-0.2574999999999971,151.12132018565072,30.70626093777892,-32.02445185185185,116.97155555555557
39,,11775.0,11815.0,40.0,107.93059231625206,7.072727272727439,0.17681818181818598,190.86319197741835,25.643666380034038,-32.023377272727274,116.97065303030304
40,,11815.0,11847.0,32.0,106.74973015329101,15.279999999999758,0.47749999999999243,151.0199753566419,30.689388328141398,-32.0228537037037,116.96992222222222
41,,11847.0,11875.0,28.0,102.41004436036434,13.75000000000054,0.49107142857144787,126.77050386165094,33.052781628627784,-32.023056249999996,116.96809375000001
42,,11875.0,11903.0,28.0,97.74952459894197,16.833333333333833,0.601190476190494,121.00137797070116,31.844620002131077,-32.023520833333336,116.96654166666667
43,,11903.0,11931.0,28.0,97.72001974772124,-13.733333333332947,-0.4904761904761767,120.9648547480136,31.836868046029583,-32.02402708333334,116.96488124999999
44,,12079.0,12103.0,24.0,97.76794128611066,27.04285714285725,1.1267857142857187,103.73500754401806,35.933058157284755,-31.996335714285713,116.97639761904762
45,,12103.0,12127.0,24.0,95.79656881646441,15.171428571428535,0.6321428571428557,101.64331638922154,35.38027738624948,-31.996866666666666,116.97606904761903
46,,12127.0,12151.0,24.0,96.40795782307187,18.685714285714344,0.778571428571431,102.29202027291234,35.55253231920296,-31.997069047619046,116.97544523809525
47,,12151.0,12183.0,32.0,107.1086445601796,-14.186666666667465,-0.4433333333333583,151.52773537444824,30.77386456800115,-31.99665925925926,116.97416296296296
48,,12299.0,12323.0,24.0,95.93708287526836,32.957142857142834,1.3732142857142848,101.79240643610522,35.419931638562225,-31.980073809523812,116.98411666666667
49,,12323.0,12347.0,24.0,99.21411222491324,39.000000000000185,1.6250000000000078,105.26944256712656,36.333719368961795,-31.980654761904763,116.98349047619047
50,,12347.0,12375.0,28.0,95.32878743711674,44.51666666666687,1.5898809523809596,118.0048157522399,31.204273068770526,-31.98113958333333,116.98279166666667
51,,12375.0,12403.0,28.0,95.14661718978735,41.98333333333346,1.4994047619047666,117.77931234398744,31.155729008945276,-31.98164583333333,116.98225416666668
52,,12403.0,12431.0,28.0,94.02749433925487,39.95000000000068,1.4267857142857385,116.39398174940371,30.856416730200156,-31.98195,116.98213333333334
53,,12431.0,12459.0,28.0,99.29817644572194,24.166666666667076,0.8630952380952527,122.91841038826111,32.24967756468305,-31.982945833333332,116.98200208333333
54,,12459.0,12491.0,32.0,102.98616953848904,19.679999999999634,0.6149999999999886,145.69562624133783,29.794652683226943,-31.983568518518513,116.98103703703704
55,,12491.0,12519.0,28.0,102.36738002302741,18.36666666666682,0.6559523809523864,126.71769088246606,33.04186837022312,-31.9839,116.98077083333334
56,,12519.0,12567.0,48.0,107.06628950049188,-10.905494505494257,-0.22719780219779703,227.20172283348236,21.64535855696089,-31.983974358974358,116.98023846153845
57,,12815.0,12839.0,24.0,98.13963092465264,49.88571428571464,2.0785714285714434,104.12938249915136,36.03642546387741,-31.926511904761902,116.98117857142857
58,,12839.0,12863.0,24.0,95.66590883097102,37.45714285714277,1.5607142857142822,101.50468183885096,35.34336902773104,-31.927385714285716,116.98091904761905
59,,12863.0,12891.0,28.0,98.1564223645319,54.36666666666686,1.9416666666666735,121.5050652319087,31.951393437717876,-31.92791041666667,116.98040208333333
60,,12891.0,12919.0,28.0,98.38369683045013,50.016666666667135,1.7863095238095406,121.78640187949335,32.01092440003102,-31.928341666666668,116.98037083333332
61,,12919.0,12947.0,28.0,102.12907595719874,25.483333333333462,0.9101190476190523,126.42270100441195,32.98086199631683,-31.92871875,116.98068333333333
62,,12947.0,12975.0,28.0,103.53775694933552,41.31666666666742,1.475595238095265,128.1664674510421,33.340263262566964,-31.929391666666668,116.98079583333333
63,,12975.0,13003.0,28.0,101.85725741510922,29.700000000000113,1.0607142857142897,126.08622450198632,32.91117277266902,-31.9302625,116.98120833333334
64,,13003.0,13027.0,24.0,102.09648439354719,19.971428571428813,0.8321428571428672,108.32773442358389,37.12013637008115,-31.93113333333334,116.98110476190475
65,,13027.0,13055.0,28.0,103.08908587145413,29.400000000000126,1.0500000000000045,127.6110701854084,33.22611206925969,-31.932333333333332,116.98076041666667
66,,13055.0,13083.0,28.0,100.77683197652695,21.91666666666688,0.7827380952381029,124.74879634159947,32.633084763835,-31.9333375,116.98027916666666
67,,13083.0,13111.0,28.0,101.26425325094009,19.81666666666668,0.7077380952380957,125.35216138197393,32.75875606837689,-31.9342125,116.97975833333334
68,,13287.0,13335.0,48.0,108.42724304299699,26.1758241758242,0.5453296703296708,230.08975594825722,21.894625343435624,-31.891587179487182,116.96198461538462
69,,13335.0,13359.0,24.0,96.15068105962592,47.27142857142873,1.9696428571428637,102.01904114861162,35.480136155402256,-31.891054761904762,116.96055
70,,13359.0,13383.0,24.0,94.3573265243324,33.64285714285704,1.40178571428571,100.11623288855674,34.97186111735082,-31.891628571428573,116.96002380952382
71,,13383.0,13407.0,24.0,96.35752041469112,40.28571428571452,1.6785714285714384,102.23850452050873,35.53834981917872,-31.892066666666665,116.9600261904762
72,,13407.0,13431.0,24.0,97.58207651085395,56.44285714285717,2.3517857142857155,103.53779889249293,35.88126733078682,-31.89297619047619,116.9600380952381
73,,13431.0,13455.0,24.0,96.7186828244763,55.37142857142897,2.307142857142874,102.62170973901735,35.639794509241426,-31.893728571428568,116.9597619047619
74,,13455.0,13479.0,24.0,97.11315357269625,46.8428571428572,1.9517857142857167,103.04025620224643,35.75030144913724,-31.894526190476192,116.95954761904761
75,,13479.0,13503.0,24.0,97.77035907874352,45.38571428571371,1.8910714285714045,103.73757290167734,35.93373142346055,-31.895533333333333,116.9590857142857
76,,13503.0,13531.0,28.0,102.14740116363603,53.23333333333364,1.9011904761904872,126.44538526031609,32.9855562860565,-31.896420833333334,116.95871666666666
77,,13531.0,13563.0,32.0,100.17140724125967,49.013333333333485,1.5316666666666714,141.71355216815783,29.114832372829696,-31.89753888888889,116.95878703703706
78,,13563.0,13587.0,24.0,98.67860186098774,38.35714285714295,1.5982142857142894,104.70124842382202,36.18583325633378,-31.89902619047619,116.95896428571429
79,,13587.0,13615.0,28.0,98.97190750358959,42.03333333333356,1.5011904761904842,122.51453127223435,32.164638357009565,-31.89986041666667,116.95896875
80,,13615.0,13647.0,32.0,101.23270616651591,22.506666666666476,0.7033333333333274,143.21498301307025,29.372226802100965,-31.900729629629627,116.95886666666667
81,,13647.0,13679.0,32.0,101.48862091908515,42.95999999999893,1.3424999999999665,143.57702832757278,29.434099454736803,-31.902557407407407,116.95803888888888
82,,13679.0,13707.0,28.0,97.91382252583831,38.05000000000029,1.3589285714285817,121.20475773785351,31.88776299068386,-31.903583333333334,116.95685416666666
83,,13707.0,13735.0,28.0,102.1208658484644,50.68333333333292,1.8101190476190328,126.41253794250224,32.9787586859512,-31.90386458333333,116.95589375
84,,13735.0,13767.0,32.0,100.7495585847244,67.7333333333319,2.116666666666622,142.53146900520343,29.255210664808892,-31.904264814814812,116.95547222222223
85,,13767.0,13803.0,36.0,107.32479328718449,14.487272727272835,0.4024242424242454,170.81271367971277,27.94161042979467,-31.90518166666667,116.95441166666667
86,,13803.0,13835.0,32.0,104.67584210872691,73.01333333333211,2.2816666666666285,148.08602394587245,30.198364808524968,-31.902598148148147,116.95495185185185
87,,13835.0,13863.0,28.0,108.2976509402268,81.8000000000004,2.9214285714285855,134.05860589627133,34.53295741714282,-31.9039375,116.95547083333334
88,,13863.0,13891.0,28.0,108.05112397262728,81.11666666666676,2.8970238095238128,133.75343712016863,34.47200388473354,-31.904735416666668,116.95542916666668
89,,13891.0,13919.0,28.0,104.48163614951415,82.38333333333493,2.942261904761962,129.33486887629806,33.57943160010435,-31.9058,116.9568
90,,13919.0,13947.0,28.0,104.13409559099318,58.249999999999815,2.080357142857136,128.9046582266373,33.49152221888417,-31.906622916666663,116.95713125
91,,13947.0,13979.0,32.0,105.26860325155498,59.306666666666146,1.853333333333317,148.92460942101815,30.33921460346542,-31.907568518518516,116.95682777777776
92,,13979.0,14007.0,28.0,106.87500626424671,70.48333333333441,2.5172619047619436,132.29755419947222,34.17998158462445,-31.90769791666667,116.95603958333334
93,,14007.0,14039.0,32.0,104.21301752677633,70.15999999999991,2.1924999999999972,147.43126110141134,30.088109089747405,-31.908599999999996,116.95579444444444
94,,14039.0,14075.0,36.0,105.46525087366297,52.99636363636332,1.4721212121212033,167.85316000970295,27.52911202048219,-31.909311666666667,116.95562500000001
95,,14259.0,14291.0,32.0,116.98012095755364,57.75999999999948,1.8049999999999837,165.49301772339984,33.03936781679346,-31.852342592592592,116.96095370370371
96,,14659.0,14691.0,32.0,98.05035757667592,101.09333333333291,3.1591666666666534,138.7128807133853,28.59654121247765,-31.724474074074074,116.98896666666666
97,,14691.0,14731.0,40.0,100.67633558639284,139.16363636363718,3.4790909090909294,178.03484956614344,24.1224257311726,-31.725266666666666,116.98855606060606
98,,14731.0,14779.0,48.0,97.78620446243158,144.60659340659393,3.0126373626373737,207.50877075187657,19.922905203472556,-31.72688076923077,116.98737307692309
99,,14779.0,14823.0,44.0,101.09811991909146,114.71538461538368,2.607167832167811,196.65880082958523,22.234183641664117,-31.728111111111115,116.98615555555556
100,,14823.0,14859.0,36.0,102.26891957090548,89.58545454545518,2.488484848484866,162.76604074377084,26.812792870367694,-31.728843333333334,116.98544499999998
101,,14859.0,14899.0,40.0,111.03894514661896,54.20000000000031,1.3550000000000078,196.35996661993585,26.28396311253994,-31.730183333333333,116.9851893939394
102,,14899.0,14935.0,36.0,107.35384935683159,110.07272727272678,3.057575757575744,170.85895785082437,27.948031086833595,-31.728386666666673,116.98338833333332
103,,14935.0,14963.0,28.0,105.33899197372006,97.71666666666746,3.489880952380981,130.39616545616138,33.79553328080859,-31.727695833333335,116.98442708333334
104,,14963.0,14991.0,28.0,106.353357977679,81.9500000000012,2.926785714285757,131.65182050665146,34.04980845628636,-31.727666666666668,116.984875
105,,14991.0,15023.0,32.0,104.243846537684,98.61333333333319,3.081666666666662,147.47487523009218,30.09546094646866,-31.728042592592594,116.98516296296296
106,,15023.0,15055.0,32.0,107.94293185259062,102.53333333333335,3.204166666666667,152.70801045485686,30.969655297093773,-31.728287037037035,116.98557777777779
107,,15055.0,15083.0,28.0,118.27205389065588,89.3666666666673,3.191666666666689,146.40563782700266,36.925082670414994,-31.728779166666666,116.98614583333334
108,,15083.0,15115.0,32.0,105.2927005946084,122.47999999999818,3.8274999999999433,148.95870018779445,30.3449319795442,-31.72945,116.98615925925924
109,,15655.0,15711.0,56.0,132.27736970446279,-1.6000000000007215,-0.028571428571441456,327.48484607470135,22.794494100698593,-31.54574777777778,116.93725222222223
110,,15711.0,15739.0,28.0,96.67302820424953,111.31666666666774,3.9755952380952766,119.66881346286632,31.560943150995335,-31.543170833333335,116.93378541666667
111,,15739.0,15767.0,28.0,99.59184328304616,103.9500000000004,3.712500000000014,123.28193227879021,32.32608337149746,-31.543491666666668,116.93339375
112,,15767.0,15795.0,28.0,102.72564596542398,106.26666666666692,3.7952380952381044,127.16117818215187,33.13342646763056,-31.543687499999997,116.93303333333334
113,,15795.0,15823.0,28.0,104.16658596425435,83.21666666666616,2.972023809523791,128.9448771428061,33.49974814175546,-31.544347916666666,116.93292708333334
114,,15823.0,15851.0,28.0,108.25382407264198,93.06666666666736,3.3238095238095484,134.00435385369966,34.522127784974366,-31.54476875,116.93203333333332
115,,15851.0,15879.0,28.0,107.17495850846106,89.60837226686559,3.2002990095309136,132.66885661781396,34.25465089014324,-31.544822916666668,116.93214583333332
116,,15879.0,15915.0,36.0,111.60950319419233,97.33090909090923,2.7036363636363676,177.63204129386392,28.880167761899134,-31.545148333333334,116.93236666666667
117,,15915.0,15947.0,32.0,110.19598402501478,95.67999999999908,2.9899999999999713,155.8954272573923,31.49440694741541,-31.54593333333333,116.93145555555556
118,,15947.0,15983.0,36.0,108.61520349748814,86.55272727272822,2.4042424242424505,172.86646531557358,28.226022276410532,-31.545555,116.93140000000001
119,,15983.0,16015.0,32.0,104.4784249916619,71.81333333333306,2.244166666666658,147.8067358567005,30.151365536575277,-31.545229629629635,116.93220370370369
120,,16015.0,16047.0,32.0,108.89555946990785,19.279999999999784,0.6024999999999933,154.05570284794035,31.192240200984386,-31.545029629629628,116.93248148148147
121,,16119.0,16147.0,28.0,110.89101283844192,89.96666666666673,3.21309523809524,137.26885540437115,35.16877546805682,-31.52871875,116.9355625
122,,16147.0,16175.0,28.0,109.37901561274289,114.90000000000057,4.103571428571449,135.39719670783933,34.799271746942345,-31.528983333333333,116.9358875
