circle_cluster_id,alt_cluster_id,dist_m,time_overlap_s,overlap_frac,circle_lat,circle_lon,alt_lat,alt_lon,lat,lon,lat_mean,lon_mean
1.0,1.0,17.993323067339492,24.0,1.0,-32.12892622519841,116.95235607060184,-32.128947619047615,116.95216666666668,-32.12892622519841,116.95235607060184,-32.12893692212302,116.95226136863425
5.0,2.0,39.468946188958014,40.0,1.0,-32.13836666666666,116.94401250000004,-32.13801212121212,116.94399242424242,-32.13836666666666,116.94401250000004,-32.13818939393939,116.94400246212123
6.0,3.0,158.8988268473832,48.0,1.0,-32.08627562830688,116.9607840884039,-32.08538717948718,116.96210512820512,-32.08627562830688,116.9607840884039,-32.08583140389703,116.9614446083045
6.0,4.0,28.340737137544167,56.0,1.0,-32.08627562830688,116.9607840884039,-32.08652444444445,116.96071888888888,-32.08627562830688,116.9607840884039,-32.086400036375665,116.9607514886464
8.0,5.0,215.97424191825888,20.0,1.0,-32.0239473502886,116.9698928162578,-32.02439444444445,116.9721222222222,-32.0239473502886,116.9698928162578,-32.024170897366524,116.97100751924
10.0,7.0,343.3922824723586,8.0,0.4,-31.982205855435716,116.98209274719622,-31.979566666666667,116.98398333333334,-31.982205855435716,116.98209274719622,-31.98088626105119,116.98303804026477
10.0,8.0,241.62797951919123,44.0,1.0,-31.982205855435716,116.98209274719622,-31.98040416666667,116.983525,-31.982205855435716,116.98209274719622,-31.98130501105119,116.98280887359812
10.0,9.0,61.711856260376464,20.0,1.0,-31.982205855435716,116.98209274719622,-31.98173055555555,116.98243055555557,-31.982205855435716,116.98209274719622,-31.981968205495633,116.9822616513759
10.0,10.0,29.942423437719437,20.0,1.0,-31.982205855435716,116.98209274719622,-31.98205833333333,116.98235833333337,-31.982205855435716,116.98209274719622,-31.982132094384525,116.98222554026479
10.0,11.0,34.479039871611455,16.0,0.6666666666666666,-31.982205855435716,116.98209274719622,-31.98245714285714,116.9818785714286,-31.982205855435716,116.98209274719622,-31.982331499146426,116.98198565931241
11.0,13.0,350.1318334556517,36.0,1.0,-31.92995811688312,116.98067824675326,-31.926821666666665,116.98100666666669,-31.92995811688312,116.98067824675326,-31.92838989177489,116.98084245670998
11.0,14.0,248.30993871726375,32.0,1.0,-31.92995811688312,116.98067824675326,-31.927737037037033,116.98040555555556,-31.92995811688312,116.98067824675326,-31.928847576960077,116.98054190115441
11.0,15.0,51.5236503644185,20.0,1.0,-31.92995811688312,116.98067824675326,-31.929536111111116,116.98045277777776,-31.92995811688312,116.98067824675326,-31.929747113997117,116.98056551226551
11.0,16.0,296.7051635141191,32.0,1.0,-31.92995811688312,116.98067824675326,-31.932570370370367,116.98003703703704,-31.92995811688312,116.98067824675326,-31.931264243626742,116.98035764189515
12.0,18.0,538.4452598436716,20.0,1.0,-31.89512903263048,116.9596401042156,-31.890600000000003,116.96165833333332,-31.89512903263048,116.9596401042156,-31.892864516315242,116.96064921877445
12.0,19.0,470.0981321345264,40.0,1.0,-31.89512903263048,116.9596401042156,-31.891030303030306,116.9608606060606,-31.89512903263048,116.9596401042156,-31.893079667830392,116.9602503551381
12.0,20.0,303.8423179067504,20.0,1.0,-31.89512903263048,116.9596401042156,-31.89243333333333,116.96016666666668,-31.89512903263048,116.9596401042156,-31.893781182981904,116.95990338544114
12.0,21.0,140.5958367573944,192.0,1.0,-31.89512903263048,116.9596401042156,-31.896278911564632,116.95902074829932,-31.89512903263048,116.9596401042156,-31.895703972097557,116.95933042625745
13.0,22.0,218.82188113313617,48.0,0.9230769230769231,-31.90389036111111,116.95613413888888,-31.90261428571429,116.95789880952375,-31.90389036111111,116.95613413888888,-31.9032523234127,116.95701647420631
13.0,23.0,34.3222012246174,76.0,1.0,-31.90389036111111,116.95613413888888,-31.904136666666663,116.95591499999998,-31.90389036111111,116.95613413888888,-31.904013513888884,116.95602456944442
14.0,24.0,250.65824522732728,72.0,1.0,-31.90631912037037,116.95600776748972,-31.9041254385965,116.95539649122809,-31.90631912037037,116.95600776748972,-31.905222279483432,116.95570212935891
14.0,25.0,87.37463682147784,52.0,1.0,-31.90631912037037,116.95600776748972,-31.906376190476188,116.95693095238092,-31.90631912037037,116.95600776748972,-31.90634765542328,116.95646935993531
14.0,26.0,150.08416562314582,52.0,1.0,-31.90631912037037,116.95600776748972,-31.907658333333337,116.95620595238096,-31.90631912037037,116.95600776748972,-31.906988726851853,116.95610685993535
14.0,27.0,288.87024412373034,40.0,1.0,-31.90631912037037,116.95600776748972,-31.90890303030303,116.9556909090909,-31.90631912037037,116.95600776748972,-31.9076110753367,116.9558493382903
14.0,28.0,331.3100602160617,24.0,0.8571428571428571,-31.90631912037037,116.95600776748972,-31.909270833333338,116.95552916666668,-31.90631912037037,116.95600776748972,-31.907794976851854,116.9557684670782
