circle_id,seg_id,t_start,t_end,duration_s,avg_speed_kmh,alt_gained_m,climb_rate_ms,turn_radius_m,bank_angle_deg,lat,lon
0,,13945.0,13965.0,20.0,103.20653316066138,13.019999999999254,0.6509999999999627,91.25461062164928,42.5547497169136,-32.13438,116.95502666666667
1,,13965.0,13998.0,33.0,104.83598017562201,22.82121933446707,0.6915521010444566,152.94734087264675,29.475282279880446,-32.13288571428571,116.95501904761906
2,,13998.0,14032.0,34.0,117.99441456532027,-2.349605516556771,-0.06910604460461091,177.3609465001033,31.692613197379654,-32.131573958333334,116.95582031250001
3,,14032.0,14057.0,25.0,133.7416444546477,-12.547008547007913,-0.5018803418803165,147.81697091802747,43.58465517351562,-32.13147307692308,116.95509423076925
4,,14057.0,14084.0,27.0,122.12715908366991,-10.776354679802346,-0.3991242474000869,145.7785579045225,38.82510588349637,-32.130923214285716,116.95434523809524
5,,14084.0,14114.0,30.0,112.4008957851088,23.18951612903166,0.772983870967722,149.07631810130874,33.68690965423761,-32.129261290322574,116.95535000000001
6,,14114.0,14136.0,22.0,101.3845872504749,18.23043478260818,0.8286561264821901,98.60802242038385,39.348115004567205,-32.128766666666664,116.95592246376812
7,,14136.0,14163.0,27.0,97.2999790943011,-7.995073891624943,-0.29611384783796085,116.14329476697073,32.66582444060646,-32.129199404761906,116.95546785714286
8,,14387.0,14413.0,26.0,96.46698964917009,21.853968253968844,0.8405372405372632,110.88420956787866,33.42904503357259,-32.140527160493825,116.93336913580248
9,,14413.0,14441.0,28.0,94.24245743208915,11.67999999999964,0.41714285714284427,116.66007849567958,30.914055006142284,-32.14037068965518,116.93307183908047
10,,14441.0,14467.0,26.0,94.66770526591048,21.64126984127046,0.8323565323565562,108.81601787503998,32.934920652096444,-32.13984074074074,116.93300925925926
11,,14467.0,14490.0,23.0,93.89648441567326,9.225999999999813,0.4011304347826005,95.4761282153408,35.99177044132528,-32.13911319444444,116.93332986111112
12,,14490.0,14516.0,26.0,91.428908716679,25.025396825397358,0.962515262515283,105.09317551602379,32.03139106965978,-32.13861604938271,116.93389259259258
13,,14516.0,14550.0,34.0,93.29874914542334,27.84952380952481,0.8191036414566121,140.240150490746,26.022019819031907,-32.137999523809526,116.93598333333335
14,,14550.0,14573.0,23.0,91.99188790521112,-1.0879999999998662,-0.04730434782608114,93.53949020633542,35.43528805969042,-32.13783541666667,116.93675
15,,14715.0,14736.0,21.0,105.56273375648404,-0.36047430830146393,-0.017165443252450664,98.00484682122234,41.80734527620299,-32.149837878787885,116.92670833333335
16,,14736.0,14760.0,24.0,105.13998095975094,-14.532923076923076,-0.6055384615384615,111.55698457554749,37.93314590786408,-32.14881333333333,116.92738333333332
17,,14760.0,14783.0,23.0,106.24977457013634,-6.790000000000138,-0.2952173913043538,108.03724082790151,39.41610972107396,-32.14794166666667,116.92872361111112
18,,14955.0,14981.0,26.0,103.01015264078907,19.136507936508906,0.7360195360195733,118.40526375478838,35.17923456444769,-32.171994444444444,116.95712283950617
19,,14981.0,15009.0,28.0,98.01937180810353,-11.489655172413753,-0.4103448275862055,121.33541421572703,31.915457867970613,-32.172074137931034,116.95882183908046
20,,15009.0,15033.0,24.0,102.709613938092,3.5076923076924036,0.14615384615385016,108.97828507538382,37.285349209986336,-32.171338,116.96064533333335
