cluster_id,lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s
0,-32.916401282051275,117.10042692307691,187.0,235.0,3.5833333333333335,172.0,48.0
1,-32.89419090909091,117.0962984848485,323.0,363.0,2.525,101.0,40.0
2,-32.89097575757576,117.0892787878788,387.0,427.0,2.575,103.0,40.0
3,-32.88559102564103,117.07800641025639,475.0,523.0,2.875,138.0,48.0
4,-32.76690277777779,117.06271111111113,1055.0,1123.0,2.0441176470588234,139.0,68.0
5,-32.700425555555555,117.05858666666668,1371.0,1427.0,2.0714285714285716,116.0,56.0
6,-32.60973030303031,117.00925000000002,1803.0,1887.0,2.0357142857142856,171.0,84.0
7,-32.3762862745098,116.9601225490196,2831.0,2895.0,2.078125,133.0,64.0
8,-32.11998571428571,116.9510095238095,3547.0,3571.0,4.375,105.0,24.0
