cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-31.614304497354496,117.22783478835979,519.0,578.0,1.0824052645460256,1.0824052645460256,31.805473315081137,29.5,2
1,-31.63259201388889,117.22549837962963,825.0,886.0,2.1023215523215346,2.1023215523215346,64.3673250173245,30.5,2
2,-31.63931759259259,117.22500277777777,982.0,1049.0,3.1848962264261553,3.1848962264261553,106.58418285258341,33.5,2
3,-31.643212345679014,117.22627530864197,1086.0,1184.0,2.7588598534884583,2.733566280847325,90.0104307206747,32.666666666666664,3
4,-31.60724947916667,117.2092515625,2142.0,2254.0,2.8928571428571597,2.901785714285732,81.00000000000047,28.0,4
5,-31.614612222222224,117.20669375,2318.0,2418.0,2.214105339105353,1.8363636363636284,71.6919191919197,33.333333333333336,3
6,-31.61835982142857,117.20168313492064,2454.0,2516.0,2.460731187298225,2.460731187298225,76.41400443164844,31.0,2
7,-31.91957083333333,117.25107291666667,3473.0,3529.0,2.197916666666736,2.197916666666736,61.541666666668604,28.0,2
8,-32.44157693452381,117.3054955357143,4917.0,4969.0,3.638392857142869,3.638392857142869,94.1964285714289,26.0,2
9,-32.445868915343915,117.30633068783067,5001.0,5057.0,2.930357142857162,2.930357142857162,80.37857142857186,28.0,2
10,-32.894312847222224,117.30231550925926,6597.0,6657.0,3.8559523809524068,3.8559523809524068,116.20000000000071,30.0,2
11,-33.111423148148155,117.68958148148148,9643.0,9713.0,2.04262502646781,2.04262502646781,71.18203003048171,35.0,2
12,-33.12073298611111,117.69357141203704,9841.0,9903.0,2.543433250738766,2.543433250738766,79.22507039650486,31.0,2
13,-32.98980925925926,117.87743055555556,10518.0,10583.0,4.044565316299044,4.044565316299044,131.24357210453513,32.5,2
14,-32.99239296296297,117.87657509259259,10583.0,10653.0,2.5382320329702805,2.5382320329702805,88.81693063567873,35.0,2
15,-32.979137227833895,117.89950906004488,10817.0,11034.0,3.2595699595278838,3.22494666097715,117.20556799026002,36.166666666666664,6
16,-32.68470228174603,118.33840009920635,12284.0,12383.0,0.980719560931564,0.980719560931564,48.78991551101058,49.5,2
17,-32.62653668981481,118.45122379629629,12719.0,12871.0,1.9721271484247018,2.113803887605862,73.24079062852374,38.0,4
18,-32.63007916666666,118.45427916666668,12871.0,12944.0,1.7335254490516783,1.7335254490516783,63.218471917942395,36.5,2
19,-32.527619791666666,118.71355875,13760.0,13826.0,2.183260847737566,2.183260847737566,72.01144680147974,33.0,2
20,-32.47311149691358,118.66553987093153,14479.0,14581.0,1.7553971631518372,1.7806313536650535,58.1362582745653,34.0,3
21,-32.344331851851855,118.4188050925926,15754.0,15852.0,2.4753116118010285,2.5758835758835175,80.30778454539318,32.666666666666664,3
22,-32.286837460317464,118.29538024691358,16155.0,16278.0,1.87600947344579,1.754166666666623,74.78783568723125,41.0,3
23,-32.15657115384615,118.12277248168498,16922.0,17127.0,2.1861958327201023,2.442611868766171,112.63287716565873,51.25,4
24,-31.87483916666666,117.62755666666666,18340.0,18414.0,1.604006160732373,1.604006160732373,59.3482279470978,37.0,2
25,-31.875892553310887,117.62434665544333,18414.0,18525.0,2.0548070568318964,2.079211087420024,75.88463270196961,37.0,3
