lat,lon,t_start,t_end,climb_rate_ms,alt_gain_m,duration_s,circle_id,seg_id,avg_speed_kmh,turn_radius_m,circle_diameter_m,bank_angle_deg
-31.641736666666667,117.24059666666668,418.0,445.0,1.6969696969697057,45.818181818182055,27.0,0,,122.17022289601158,145.82996154404168,291.65992308808336,38.834972426877705
-31.640296969696973,117.24090151515155,445.0,475.0,1.0212121212121137,30.63636363636341,30.0,1,,122.14809768996663,162.00394613858262,324.00789227716524,35.919281979401106
-31.638650000000002,117.24109333333335,475.0,502.0,1.284848484848482,34.69090909090902,27.0,2,,122.32733466858231,146.01749990821088,292.03499981642176,38.87094582505757
-31.637129999999996,117.24163333333334,502.0,529.0,0.9656565656565762,26.07272727272756,27.0,3,,119.98028075550756,143.21591066844323,286.43182133688646,38.329746281213815
-31.635263888888886,117.24161805555558,529.0,562.0,0.4930069930069602,16.269230769229686,33.0,4,,124.23277174157408,181.24571406955425,362.4914281391085,33.813288203671945
-31.651698148148153,117.23569074074074,658.0,682.0,2.0499999999999834,49.199999999999605,24.0,5,,122.8347887489257,130.33175875360172,260.66351750720344,42.32039322312641
-31.650453703703704,117.23540185185185,682.0,706.0,1.8499999999999737,44.399999999999366,24.0,6,,124.65349960575777,132.26147090639986,264.52294181279973,42.73988115826815
-31.649144444444442,117.2350685185185,706.0,730.0,1.8055555555555491,43.33333333333318,24.0,7,,128.0101294112416,135.82296574421545,271.6459314884309,43.4994373372981
-31.648275,117.23477666666668,730.0,757.0,1.543434343434325,41.672727272726775,27.0,8,,126.11979403809107,150.54441482170458,301.08882964340916,39.72832100458241
-31.64782727272727,117.23480757575757,757.0,787.0,0.9515151515151341,28.545454545454024,30.0,9,,124.6820292111785,165.3646771973929,330.7293543947858,36.479947954495614
-31.64777272727272,117.23488636363636,787.0,817.0,1.1363636363636156,34.09090909090847,30.0,10,,127.42111971111662,168.99750880273623,337.99501760547247,37.0770151793572
-31.646677272727274,117.23553333333334,817.0,847.0,0.3636363636363619,10.909090909090859,30.0,11,,124.63283554513217,165.29943207139218,330.59886414278435,36.46913954490443
-31.64584696969697,117.23648636363636,847.0,877.0,0.12424242424240305,3.7272727272720916,30.0,12,,126.3023738059294,167.51372596211658,335.02745192423316,36.83427427278535
-31.67093,117.23473499999997,997.0,1024.0,1.76161616161618,47.56363636363686,27.0,13,,124.88398919433932,149.0692814498546,298.1385628997092,39.45124247156773
-31.670546969696975,117.23599393939394,1024.0,1054.0,1.360606060606049,40.81818181818147,30.0,14,,124.37073140163528,164.9518056543722,329.9036113087444,36.41150143825708
-31.67010303030303,117.23675000000001,1054.0,1084.0,1.1939393939393779,35.81818181818134,30.0,15,,123.94890369400665,164.39233928102036,328.7846785620407,36.318559366770565
-31.669099999999997,117.23724666666669,1084.0,1111.0,1.3575757575757341,36.654545454544824,27.0,16,,125.96753854828809,150.3626732180919,300.7253464361838,39.69430356608526
-31.668246296296292,117.23734814814816,1111.0,1135.0,1.26111111111109,30.26666666666616,24.0,17,,123.4351017228544,130.96871060162138,261.93742120324276,42.45947956624526
-31.668001851851855,117.23740555555557,1135.0,1159.0,1.7277777777777619,41.466666666666285,24.0,18,,120.82633653909805,128.20072477254897,256.40144954509793,41.85055176089282
-31.667738888888884,117.23732037037037,1159.0,1183.0,1.8333333333333346,44.00000000000003,24.0,19,,122.92874855333926,130.43145320243082,260.86290640486163,42.34220345000742
-31.667753333333337,117.23707666666667,1183.0,1210.0,0.8424242424242269,22.745454545454127,27.0,20,,125.28317291746673,149.54577192038624,299.0915438407725,39.540985444747044
-31.667413333333332,117.237225,1210.0,1237.0,1.1494949494949704,31.0363636363642,27.0,21,,123.68940620364765,147.643353040589,295.286706081178,39.18129341911411
-31.667144999999994,117.23731666666667,1237.0,1264.0,0.8909090909090914,24.05454545454547,27.0,22,,125.57818336161601,149.89791469876195,299.7958293975239,39.60715979696152
-31.666778787878783,117.2372909090909,1264.0,1294.0,0.5181818181817925,15.545454545453776,30.0,23,,126.21783437470114,167.40160205906528,334.80320411813057,36.81586832121237
-31.70859722222222,117.23290000000001,2413.0,2446.0,2.148018648018624,70.88461538461459,33.0,24,,122.28921534906998,178.41022017164286,356.8204403432857,33.396834580407116
-31.707290740740746,117.23246666666667,2446.0,2470.0,2.3888888888888755,57.333333333333016,24.0,25,,121.83866487115945,129.27483849307927,258.54967698615854,42.088237682500996
-31.70622962962963,117.23275555555557,2470.0,2494.0,1.9055555555555541,45.7333333333333,24.0,26,,120.06910363414582,127.39727570658242,254.79455141316484,41.67159726524941
-31.705390740740743,117.23283888888889,2494.0,2518.0,2.194444444444444,52.66666666666666,24.0,27,,119.70060135417532,127.0062826439295,254.012565287859,41.584148634959405
-31.70455740740741,117.23337777777778,2518.0,2542.0,1.9055555555555541,45.7333333333333,24.0,28,,118.06649791040019,125.27244503992749,250.54489007985498,41.19349288130858
-31.703598148148146,117.23408703703704,2542.0,2566.0,1.7111111111111013,41.06666666666643,24.0,29,,122.56766020302005,130.04832656345616,260.0966531269123,42.25830387114636
-31.703628205128208,117.23589230769231,2566.0,2602.0,0.003663003662973549,0.13186813186704777,36.0,30,,127.26606998084385,202.55024125330374,405.1004825066075,32.167981110250246
-31.699818333333333,117.23558916666666,2602.0,2659.0,0.12781954887217473,7.28571428571396,57.0,31,,135.4878210263846,341.4229770474031,682.8459540948062,22.92331629625306
