lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.10602411604599,116.94107200918296,2.41,241.0,100.0,3,0,-32.10593733465608,116.94100299272488,-32.1061108974359,116.94114102564103,23.27008474575806,80.0,0.8
-32.209656076806425,116.96154459058172,1.5595238095238095,131.0,84.0,4,1,-32.209600789976484,116.96180357510288,-32.209711363636366,116.96128560606058,50.25898043324803,84.0,1.0
-32.306463122294375,116.97319882305194,1.9615384615384615,102.0,52.0,6,2,-32.30709291125541,116.97165359848485,-32.30583333333333,116.97474404761905,322.45335327936647,52.0,1.0
-32.32818335058661,116.961954466682,2.25,198.0,88.0,7,3,-32.328142063492066,116.96182125220459,-32.32822463768117,116.96208768115942,26.66433698950398,64.0,0.8
-32.4723835109848,117.00361991039105,2.0972222222222223,151.0,72.0,9,4,-32.472073162320484,117.00290999622071,-32.47269385964912,117.00432982456141,150.01376802309417,68.0,0.9444444444444444
-32.605935957032386,117.02428838377232,2.875,138.0,48.0,10,6,-32.60648601662887,117.02348958805746,-32.6053858974359,117.02508717948717,193.28298508715736,24.0,0.5
-32.629121390960236,117.02730804770627,2.9375,141.0,48.0,11,7,-32.62926585884354,117.02708917233561,-32.62897692307693,117.02752692307695,52.0836141294031,36.0,0.75
-32.80553167237855,117.06643070135881,2.191860465116279,377.0,172.0,13,8,-32.805772814454066,117.06587200877824,-32.805290530303026,117.06698939393938,117.39660957857808,172.0,1.0
-32.92879416776896,117.0827197123016,3.4078947368421053,259.0,76.0,14,10,-32.92907333553792,117.08199692460317,-32.928515000000004,117.08344250000002,148.51643214860948,40.0,0.5263157894736842
-32.7038130109127,117.05542641369047,3.232142857142857,181.0,56.0,16,14,-32.70343824404762,117.05468616071428,-32.70418777777778,117.05616666666667,161.66707772872766,24.0,0.42857142857142855
-32.53713936011904,117.02958700892857,1.7708333333333333,170.0,96.0,17,15,-32.53709538690476,117.02942068452381,-32.53718333333333,117.02975333333333,32.680690659132814,96.0,1.0
-32.37985053926313,117.00144918554005,2.69375,431.0,160.0,18,17,-32.38018522486773,117.00106178571428,-32.37951585365853,117.00183658536584,104.08517619914771,160.0,1.0
-32.12398541666667,116.92205792824075,1.9833333333333334,119.0,60.0,20,21,-32.12392395833333,116.92225231481481,-32.124046875000005,116.92186354166668,39.079212629112874,60.0,1.0
-32.15133332158521,116.87920252192981,2.736111111111111,197.0,72.0,21,22,-32.150840327380955,116.87897083333333,-32.15182631578948,116.87943421052631,117.9970603397306,56.0,0.7777777777777778
-32.131523381466785,116.9461286871693,2.340909090909091,103.0,44.0,24,23,-32.1309050962669,116.94655459656084,-32.13214166666667,116.94570277777775,159.1855838365684,44.0,1.0
-32.090782194444444,116.96837934606481,1.8125,174.0,96.0,25,29,-32.090943055555556,116.96833535879628,-32.09062133333333,116.96842333333333,36.72137490554959,96.0,1.0
-31.941252392454565,116.96615515681314,2.852272727272727,251.0,88.0,26,30,-31.94111058201058,116.96663712522047,-31.941394202898547,116.96567318840582,96.26857162624351,72.0,0.8181818181818182
