lat,lon,climb_rate_ms,alt_gain_m,duration_s,circle_cluster_id,alt_cluster_id,circle_lat,circle_lon,alt_lat,alt_lon,dist_m,time_overlap_s,overlap_frac
-32.13668752066799,116.99945529062951,1.9166666666666667,46.0,24.0,0,10,-32.13681313657408,117.00261772411616,-32.136561904761905,116.99629285714286,596.1912656982638,24.0,1.0
-32.13649657738095,116.9967189401455,1.9166666666666667,46.0,24.0,1,10,-32.13643125,116.99714502314814,-32.136561904761905,116.99629285714286,81.54300666356127,20.0,0.8333333333333334
-32.088746750992065,116.95197094907407,1.9166666666666667,46.0,24.0,2,13,-32.08833159722223,116.95229189814815,-32.0891619047619,116.95164999999999,110.36720425472372,24.0,1.0
-32.118743874643876,116.97704919871796,2.65,53.0,20.0,4,17,-32.11970997150997,116.97641506410257,-32.11777777777778,116.97768333333335,245.81880838955823,20.0,1.0
-32.11782119191919,116.97745402188553,2.65,53.0,20.0,5,17,-32.11786460606061,116.97722471043771,-32.11777777777778,116.97768333333335,44.25786007635955,20.0,1.0
-32.12119027777778,117.02905,2.0,40.0,20.0,6,22,-32.12099166666667,117.02873333333334,-32.12138888888889,117.02936666666666,74.217654288359,20.0,1.0
-32.118082834295336,117.03038097342473,1.3333333333333333,32.0,24.0,7,25,-32.118039478114476,117.03083337542087,-32.11812619047619,117.02992857142858,85.75562470508778,24.0,1.0
-32.11673248611111,117.02687890277778,1.6785714285714286,47.0,28.0,8,28,-32.11651288888889,117.02752655555555,-32.11695208333333,117.02623125,131.4021838938059,28.0,1.0
-31.957243557098764,116.96308430555555,3.0,84.0,28.0,9,31,-31.957297530864196,116.96312277777777,-31.95718958333333,116.96304583333333,14.027575309791674,28.0,1.0
-31.714163128306875,116.92457586640211,2.5,60.0,24.0,10,39,-31.715647685185182,116.92381601851852,-31.71267857142857,116.92533571428571,360.0885387139011,24.0,1.0
-31.491968854166664,116.9097810763889,3.0277777777777777,109.0,36.0,12,50,-31.491704375,116.90823548611111,-31.49223333333333,116.91132666666667,298.9414874076719,36.0,1.0
-31.285277233796297,116.90653982060186,3.0725806451612905,381.0,124.0,13,54,-31.28499925925926,116.90658537037038,-31.285555208333335,116.90649427083335,62.421996159121775,68.0,1.0
-31.289868027447092,116.90849604993386,3.3,264.0,80.0,14,55,-31.291090023148147,116.90857622685185,-31.288646031746037,116.90841587301585,272.1866445566096,80.0,1.0
