cluster_id,lat,lon,t_start,t_end,climb_rate_ms,climb_rate_ms_median,alt_gain_m_mean,duration_s_mean,n_circles
0,-32.92845156544316,117.08719084487628,375.0,558.0,2.1345025160618167,2.1182266009852158,53.72386376210612,26.142857142857142,7
1,-32.93462714156315,117.08194813907221,880.0,982.0,1.814115836274367,1.8048418972331928,45.848971516676855,25.5,4
2,-32.886204916666664,117.0965197962963,1179.0,1250.0,1.290033444816057,1.251538461538491,30.673846153846245,23.666666666666668,3
3,-32.7996540265252,117.08054413174182,1609.0,1686.0,0.24164961475306845,0.2538461538461758,6.098496905393566,25.666666666666668,3
4,-32.734099364988914,117.0695450724913,1991.0,2066.0,1.2561090761090847,1.2400000000000155,31.534163614163827,25.0,3
5,-32.66566195003758,117.0565163331319,2578.0,3018.0,0.9473220467873116,0.9203283672848712,22.741746085831505,24.444444444444443,18
6,-32.758518353870784,117.07148334482041,3510.0,3624.0,2.4761828814460025,2.655707450444247,46.951811346547494,19.0,6
7,-32.88883885039303,116.97307113152199,4371.0,4526.0,2.616653540967003,2.423849148563063,50.39800699872136,19.375,8
